班比 /nr 7	 是/vshi, 班比/nr, 夜总会/ni
高见俊介 /nr 6	 , 叫/vi, 高见俊介/nrj, 。/w],
牧村小姐 /nr 6	 是/vshi, 牧村小姐/nrj, 的/ude
芝田一 /nr 5	  了/ule, 芝田一/nrj, 眼/n, 
江崎洋子 /nr 5	 , 名叫/v, 江崎洋子/nrj, 的/ude
才对 /nr 4	 , 喝过/v, 才对/nr, 。/w], 
和绘里 /nr 3	 , 子/ng, 和绘里/nrj, 。/w],
与绘里 /nr 3	 , 她/rr, 与绘里/nrj, 之间/f,
江崎 /nr 3	  [之前/f, 江崎/nr, 洋子/nz,
门链 /nr 3	  [解开/v, 门链/nr, ，/w], 
高见先生 /nr 2	 ……/w], [高见先生/nrj, 吧/y, 
田也 /nr 2	  [芝/ng, 田也/nr, 一下子/m,
田用 /nr 2	 , 芝/ng, 田用/nr, 手指/n, 
丸本先生 /nr 2	 , 就是/v, 丸本先生/nrj, 。/w],
丸本一 /nr 2	 ["/w], [丸本一/nrj, 脸/n, 
田点 /nr 2	 , 芝/ng, 田点/nr, 了/ule,
牧村绘里 /nr 2	 的/ude1, 牧村绘里/nrj, ，/w],
高见便 /nr 2	  ，/w], [高见便/nr, 将/d, 目
名刑警 /nr 2	 p, 两/m, 名刑警/nrj, 脸上/s,
维兹 /nr 2	 , '/nx, 维兹/nrf, '/nx,
小田小姐 /nr 2	  ，/w], [小田小姐/nrj, 在/p, 
福哇 /nr 1	 , 来自/v, 福哇/nr, txt/nx
高见正 /nr 1	  。/w], [高见正/nr, 热心/a, 
一场派 /nr 1	 的/ude1, 一场派/nrj, 对/p, 
卡拉扬 /nr 1	 的/ude1, 卡拉扬/nrf, 的/ude
一口刚 /nr 1	  了/ule, 一口刚/nrj, 端来/nz
田端起 /nr 1	  [芝/ng, 田端起/nr, 杯子/n, 
加藤一 /nr 1	  了/ule, 加藤一/nrj, 眼/n, 
那条 /nr 1	 , 和/cc, 那条/nr, 项链/n, 
高见看 /nr 1	  ，/w], [高见看/nr, 了/ule,
盛上 /nr 1	 , 盘里/s, 盛上/nr, 菜肴/n, 
那张 /nr 1	 , 与/cc, 那张/nr, 桌子/n, 
一场密 /nr 1	 是/vshi, 一场密/nrj, 室/n, 
高见在 /nr 1	 , 和/cc, 高见在/nr, 休息室/n,
高见和 /nr 1	  。/w], [高见和/nr, 西原/ns,
包站 /nr 1	 着/uzhe, 包站/nr, 起身/vi,
田嘟 /nr 1	  [芝/ng, 田嘟/nr, 起/vf, 
都快 /nr 1	 的/ude1, 都快/nr, 流泪/vi,
高圆寺 /nr 1	 , 驶向/v, 高圆寺/nr, 公寓/n, 
浅冈绫子一 /nr 1	  ，/w], [浅冈绫子一/nrj, 边/k, 
才行 /nr 1	  用心/ad, 才行/nr, 的/ude1
田比 /nr 1	  [芝/ng, 田比/nr, 了/ule,
田两人 /nr 1	 , 芝/ng, 田两人/nr, 都/d, 没
都在聊 /nr 1	 [大伙/rr, 都在聊/nr, 有关/vn,
方地扑 /nr 1	 z, 下/f, 方地扑/nr, 在/p, 桌
安地望 /nr 1	 n, 不/d, 安地望/nrj, 着/uzh
