阿部 /nr 35	 , 叫/vi, 阿部/nr, 。/w], 
真锅 /nr 33	 是/vshi, 真锅/nr, 夫人/n, 
智男 /nr 23	 阿部佐/nr, 智男/nr, 的/ude1
武藤 /nr 13	  ，/w], [武藤/nr, 指着/v, 
阿部佐 /nr 12	 , 先生/n, 阿部佐/nr, 智男/nr,
真锅先生 /nr 12	 , [“/w, 真锅先生/nrj, 没有/v,
公一 /nr 11	 , [在/p, 公一/nr, 离开/v, 
笠井 /nr 11	 z, 使/v, 笠井/nr, 不由得/d,
阿部先生 /nr 10	 , 和/cc, 阿部先生/nrj, 都/d, 
真锅秋子 /nr 5	 , [“/w, 真锅秋子/nrj, ，/w],
小村刑警 /nr 5	  [对于/p, 小村刑警/nrj, 的/ude
松本 /nr 3	 是/vshi, 松本/nr, ，/w], 
和佐智 /nr 3	  秋子/nz, 和佐智/nrj, 男/b, 
和秋子 /nr 2	 , 我/rr, 和秋子/nrj, 就/d, 
铃木小姐 /nr 2	  ，/w], [铃木小姐/nrj, 是/vsh
阿部芙美子 /nr 2	 d, 在/p, 阿部芙美子/nrj, 家/q, 
赤根 /nr 2	 就职/vi, 于赤根/nr, 工业/n, 
松本君 /nr 2	 , [“/w, 松本君/nr, 看见/v, 
兴信 /nr 2	 d, 请/v, 兴信/nr, 所/usuo
小村一 /nr 2	 [”/w], [小村一/nrj, 边/k, 
日本美女 /nr 1	 的/ude1, 日本美女/nrj, 啊/y, 
车从 /nr 1	 n, ”/w, 车从/nr, 车库/n, 
都是公 /nr 1	  ，/w], [都是公/nr, 一/m, 自
阿部美美子 /nr 1	 , 记得/v, 阿部美美子/nrj, 来/vf,
好朋友了 /nr 1	 , 不是/c, 好朋友了/nrj, 。/w],
时竟然 /nr 1	  这些/rz, 时竟然/nr, 一点/m, 
曾同芙 /nr 1	 t, 也/d, 曾同芙/nr, 美/b, 子
笠井和 /nr 1	 务员/nnt, 笠井和/nr, 旅馆/nis
都站在 /nr 1	  ，/w], [都站在/nr, 走廊/n, 
来对 /nr 1	 v, 脸/n, 来对/nr, 侦探/nnd
不动了 /nr 1	 d, 也/d, 不动了/nrj, 。/w],
时都跟 /nr 1	 d, 当/p, 时都跟/nr, 大家/rr,
阿部后 /nr 1	  [邀请/v, 阿部后/nr, 又/d, 邀
小村刚 /nr 1	 [”/w], [小村刚/nrj, 开口/vi
武藤从 /nr 1	 , 和/cc, 武藤从/nr, 停车场/n,
山本 /nr 1	 , 叫/vi, 山本/nr, 真子/nz,
钟后 /nr 1	 , 十分/d, 钟后/nr, 就/d, 到
前上了 /nr 1	 , 车站/n, 前上了/nrj, 出租车/n
武藤一 /nr 1	 , [”/w, 武藤一/nrj, 旁/f, 
来旅馆 /nr 1	 , [就/d, 来旅馆/nrj, 登记/vn
公一先 /nr 1	 z, 让/v, 公一先/nr, 喝点/nz,
武藤在 /nr 1	 刑警/nnt, 武藤在/nr, 小/a, 村
上芙美子 /nr 1	 , 晚/tg, 上芙美子/nrj, 则/d, 
阿部家 /nr 1	 , [“/w, 阿部家/nr, 也/d, 一
小村伸 /nr 1	 [”/w], [小村伸/nrj, 手/n, 
东野圭吾 /nr 1	 
才同 /nr 1	 部长/nnt, 才同/nr, 这个/rz,
井野里子 /nr 1	  ，/w], [井野里子/nrj, 到/v, 
那也 /nr 1	 , [“/w, 那也/nr, 是/vshi
名刑警 /nr 1	 , [两/m, 名刑警/nrj, 又/d, 
刚洗刷 /nr 1	 是/vshi, 刚洗刷/nr, 过/uguo
那里好 /nr 1	  ，/w], [那里好/nrj, 像/v, 
车子亮 /nr 1	  ，/w], [车子亮/nrj, 得/ude
才会卷 /nr 1	 [我们/rr, 才会卷/nr, 到/v, 这
佐藤小姐 /nr 1	 的/ude1, 佐藤小姐/nrj, 拿起/v,
伊豆旅馆 /nr 1	 , -/nx, 伊豆旅馆/nrj, 的/ude
松本就 /nr 1	 [于是/cc, 松本就/nr, 仔细/ad,
连公一 /nr 1	 , [就/d, 连公一/nr, 都/d, 认
笠井隆夫 /nr 1	 务员/nnt, 笠井隆夫/nrj, 接到/v,
高尔球 /nr 1	 f, 打/v, 高尔球/nr, ——/w, 
于赤根 /nr 1	  就职/vi, 于赤根/nr, 工业/n, 
