汤川 /nr 342	 , 采纳/v, 汤川/nr, 副教授/nn
幸正 /nr 40	 , [”/w, 幸正/nr, 嗓音/n, 
友永 /nr 39	 e, “/w, 友永/nr, ”/w, 二
江岛千夏 /nr 29	 , 名叫/v, 江岛千夏/nrj, ，/w],
原口先生 /nr 18	  ，/w], [原口先生/nrj, 到/v, 
友永先生 /nr 15	  ，/w], [友永先生/nrj, 您/rr,
安田 /nr 10	 q, 姓/v, 安田/nr, 的/ude1
那只 /nr 9	 着/uzhe, 那只/nr, 盒子/n, 
宗介 /nr 9	 g, 野/b, 宗介/nr, 打来/v, 
藤川 /nr 8	 [”/w], [藤川/nr, 继续/v, 
内海薰 /nr 6	  。/w], [内海薰/nrj, 想起/v,
原口 /nr 6	 , 不见/v, 原口/nr, 先生/n, 
江岛小姐 /nr 6	 , 与/cc, 江岛小姐/nrj, 有/vyo
物理学 /nr 6	 的/ude1, 物理学/nrj, 家/q, 
友永府 /nr 5	 , 离开/v, 友永府/nr, ，/w], 
那你 /nr 5	 , [“/w, 那你/nr, 就/d, 动
汤川君 /nr 4	 /udeng, 汤川君/nr, 来/vf, 
汤川先生 /nr 4	  。/w], [汤川先生/nrj, ，/w],
汤川伸 /nr 4	  。/w], [汤川伸/nrj, 出/vf,
绀野先生 /nr 4	  ，/w], [绀野先生/nrj, 到/v, 
马克杯 /nr 3	 着/uzhe, 马克杯/nr, 里/f, 的
李普曼 /nr 3	 v, ‘/w, 李普曼/nrf, 全息图/g
草薙一 /nr 3	 [”/w], [草薙一/nrj, 脸/n, 
那件 /nr 3	 , [“/w, 那件/nr, 案子/n, 
那又 /nr 3	 , [“/w, 那又/nr, 怎么样/ry
才会 /nr 3	  ，/w], [才会/nr, 越发/d, 
和佑介 /nr 3	 , 他/rr, 和佑介/nrj, 之间/f,
汤川学 /nr 3	 的/ude1, 汤川学/nrj, 副教授/n
友永幸 /nr 3	 是/vshi, 友永幸/nr, 正/d, 先
那事 /nr 3	  了/ule, 那事/nr, ，/w], 
那起 /nr 2	  了/ule, 那起/nr, 跳楼/v, 
三井礼 /nr 2	 , ——/w, 三井礼/nrj, 治/v, 
都快 /nr 2	  ，/w], [都快/nr, 十二/m, 
应道 /nr 2	 , 当场/d, 应道/nr, 。/w], 
汤川一 /nr 2	  了/ule, 汤川一/nrj, 眼/n, 
都内 /nr 2	 n, 在/p, 都内/nr, 聚餐/vn,
间宫一 /nr 2	 , [”/w, 间宫一/nrj, 边/k, 
草薙刑警 /nr 2	  ，/w], [草薙刑警/nrj, ，/w],
回望了 /nr 2	 , 薰/nz, 回望了/nrj, 答话/vi
永幸正 /nr 2	 , 友/ng, 永幸正/nr, ，/w], 
汤川朝 /nr 2	 , [见/v, 汤川朝/nr, 这边/rzs
