汤川 /nr 424	  了/ule, 汤川/nr, 这个/rz,
藤川 /nr 69	  ，/w], [藤川/nr, 好像/v, 
松田 /nr 46	 , 叫/vi, 松田/nr, 的/ude1
田上 /nr 43	 [”/w], [田上/nr, 的/ude1
梅里 /nr 26	 , 名叫/v, 梅里/nrf, 津/b, 
金森 /nr 25	 , [”/w, 金森/nrf, 边/k, 
长冢多惠子 /nr 24	 是/vshi, 长冢多惠子/nrj, 。/w],
粟田 /nr 24	 , [”/w, 粟田/nr, 看/v, 了
横森教授 /nr 19	 , 想必/d, 横森教授/nrj, 也/d, 
木岛 /nr 16	 w, “/w, 木岛/nr, 老师/nnt
藤本 /nr 14	  。/w], [藤本/nrf, 孝夫听/n
昌代 /nr 12	 , 妻子/n, 昌代/nr, 和/cc, 
吉冈 /nr 11	 , 叫/vi, 吉冈/nrf, 的/ude
藤川雄一 /nr 11	 的/ude1, 藤川雄一/nrj, 是/vsh
高崎 /nr 10	 , 死者/n, 高崎/nr, 经常/d, 
高崎邦夫 /nr 10	 , 名叫/v, 高崎邦夫/nrj, ，/w],
幸惠 /nr 9	 邻居/n, 竹田幸惠/nrj, 。/w],
买马 /nr 9	 , 他/rr, 买马/nrf, 这样/rz
纪之 /nr 9	 /m], [高崎纪之/nrj, 大约/d,
尼西娜 /nr 8	 , 叫/vi, 尼西娜/nrf, 工程/n,
竹田幸惠 /nr 8	 , 邻居/n, 竹田幸惠/nrj, 。/w],
木岛教授 /nr 7	 , [“/w, 木岛教授/nrj, ，/w],
山下良 /nr 7	 , 叫/vi, 山下良/nr, 介/vg, 
上村宏 /nr 7	  。/w], [上村宏/nrj, 左手/n,
柿本良子 /nr 7	 , 名叫/v, 柿本良子/nrj, ，/w],
上村先生 /nr 7	 r, 说/v, 上村先生/nrj, ，/w],
尚彦 /nr 7	 梅里/nrf, 尚彦/nr, 经常/d, 
栗田 /nr 6	 是/vshi, 栗田/nr, 对/p, 长
桥本妙子 /nr 6	 , 叫/vi, 桥本妙子/nrj, ，/w],
河合亚佐 /nr 6	 招待/nnd, 河合亚佐/nrf, 美的/nz
津子 /nr 6	 [尤其/d, 是津子/nrj, ，/w],
藤川先生 /nr 6	 是/vshi, 藤川先生/nrj, 吧/y, 
刚过 /nr 5	  ，/w], [刚过/nr, 一点/m, 
那你 /nr 5	 , [“/w, 那你/nr, 在/p, 这
伽利略 /nr 5	 侦探/nnd, 伽利略/nrf, 》/w, 
梅里尚彦 /nr 5	  。/w], [梅里尚彦/nrj, 目击/v,
林田 /nr 5	 教师/nnt, 林田/nr, 。/w], 
粟田信彦 /nr 5	 , 就是/v, 粟田信彦/nrj, 。/w],
时田 /nr 5	  [所以/c, 时田/nr, 加工/vn,
松山文彦 /nr 4	  。/w], [松山文彦/nrj, 是/vsh
良介 /nr 4	 是/vshi, 良介/nr, ……/w],
都是 /nr 4	 1, 人/n, 都是/nr, 把/pba,
栗田信彦 /nr 4	 , 名叫/v, 栗田信彦/nrj, 的/ude
那孩子 /nr 4	 , [“/w, 那孩子/nr, ，/w], 
物理学 /nr 4	 e, 看/v, 物理学/nrj, 家/q, 
那张画 /nr 3	  把/pba, 那张画/nr, 给/p, 他
小野田广美 /nr 3	 老师/nnt, 小野田广美/nrj, 。/w],
那张 /nr 3	 , [在/p, 那张/nr, 方格/n, 
汤川一 /nr 3	  。/w], [汤川一/nrj, 把/pba
车是 /nr 3	 的/ude1, 车是/nr, ——/w, 
高崎先生 /nr 3	 是/vshi, 高崎先生/nrj, 推荐/v,
向井和彦 /nr 3	  。/w], [向井和彦/nrj, 把/pba
麦克 /nr 3	  [但是/c, 麦克/nrf, 必须/d,
高崎纪之 /nr 3	 [2/m], [高崎纪之/nrj, 大约/d,
内藤聪美 /nr 3	  。/w], [内藤聪美/nrj, 在/p, 
竹田 /nr 3	 , 邻居/n, 竹田/nr, 女士/n, 
孝夫 /nr 3	 藤本/nrf, 孝夫/nr, 预料/v, 
金森龙 /nr 3	 , 名叫/v, 金森龙/nrf, 男/b, 
藤本孝 /nr 3	 [1/m], [藤本孝/nrj, 夫/ng,
那少年 /nr 2	 , [“/w, 那少年/nrj, 也/d, 
松田武 /nr 2	 , 叫/vi, 松田武/nr, 久/a, 。
柿本先生 /nr 2	 , 和/cc, 柿本先生/nrj, 是/vsh
竹田女士 /nr 2	 , [“/w, 竹田女士/nrj, ，/w],
草薙一 /nr 2	  。/w], [草薙一/nrj, 进去/vf
那又 /nr 2	 , [“/w, 那又/nr, 怎么样/ry
