藤次郎 /nr 75	 , 坐在/v, 藤次郎/nrj, 旁边/f,
利彦 /nr 44	 的/ude1, 利彦/nr, 直视/vn,
孝三 /nr 43	 着/uzhe, 孝三/nr, 的/ude1
神崎 /nr 43	  [叫/vi, 神崎/nr, 。/w], 
阳助 /nr 42	 , 场/qv, 阳助/nr, 的/ude1
泰三 /nr 39	 , 与/cc, 泰三/nr, 的/ude1
玉枝 /nr 38	 佣人/nnd, 玉枝/nr, 一同/d, 
田宫 /nr 37	 , 前辈/n, 田宫/nr, 警官/nnt
叶山 /nr 37	 , 叫/vi, 叶山/nr, 的/ude1
阿部 /nr 35	 , 叫/vi, 阿部/nr, 。/w], 
真锅 /nr 34	 是/vshi, 真锅/nr, 夫人/n, 
藤次郎先生 /nr 24	  把/pba, 藤次郎先生/nrj, 带去/v,
智男 /nr 22	 阿部佐/nr, 智男/nr, 的/ude1
吉江 /nr 21	 佣人/nnd, 吉江/nr, 听到/v, 
高间 /nr 14	 刑警/nnt, 高间/nr, 。/w], 
武藤 /nr 13	  ，/w], [武藤/nr, 指着/v, 
阿部佐 /nr 11	 , 先生/n, 阿部佐/nr, 智男/nr,
笠井 /nr 11	 z, 使/v, 笠井/nr, 不由得/d,
真锅先生 /nr 11	 , [“/w, 真锅先生/nrj, 没有/v,
阿部先生 /nr 10	 , 和/cc, 阿部先生/nrj, 都/d, 
古川 /nr 8	 [”/w], [古川/nr, 昌/ag, 
文江 /nr 8	 e, 指/v, 文江/nr, 拿出/v, 
公一 /nr 8	 , [在/p, 公一/nr, 离开/v, 
友弘 /nr 7	  [尽管/c, 友弘/nr, 是/vshi
木家 /nr 7	 v, 正/d, 木家/nr, 所有/b, 
的场妙子 /nr 7	 是/vshi, 的场妙子/nrj, 的/ude
都是 /nr 6	 的/ude1, 都是/nr, 最近/t, 
中野修 /nr 5	 , 叫/vi, 中野修/nrj, 的/ude
小村刑警 /nr 5	  [对于/p, 小村刑警/nrj, 的/ude
真锅秋子 /nr 5	 , [“/w, 真锅秋子/nrj, ，/w],
厚子 /nr 4	 , 叫/vi, 厚子/nr, 的/ude1
神崎家 /nr 4	 z, 往/p, 神崎家/nr, 打电话/vi
和由里子 /nr 4	  那个/rz, 和由里子/nrj, 交往/vn
成田先生 /nr 4	 , ——/w, 成田先生/nrj, 。/w],
高明和 /nr 4	  。/w], [高明和/nr, 江/n, 里
的场先生 /nr 4	 , 根据/p, 的场先生/nrj, 的话/ud
田中 /nr 3	 2, 向/p, 田中/nr, 医生/nnt
向江里子 /nr 3	  [高明/a, 向江里子/nrj, 摊开/v,
大原先生 /nr 3	  ，/w], [大原先生/nrj, 是否/v,
次郎先生 /nr 3	 把/pba, 藤次郎先生/nrj, 带去/v,
松本 /nr 3	 是/vshi, 松本/nr, ，/w], 
名刑警 /nr 3	 n, 两/m, 名刑警/nrj, 就/d, 
和佐智 /nr 3	  秋子/nz, 和佐智/nrj, 男/b, 
才对 /nr 3	 , 边上/f, 才对/nr, 吗/y, …
真纪枝 /nr 3	 , 妹妹/n, 真纪枝/nr, 直白/a, 
古川昌 /nr 3	 , 叫/vi, 古川昌/nr, 子/ng, 
山上孝 /nr 3	 [”/w], [山上孝/nrj, 三/m, 
田宫和 /nr 3	  。/w], [田宫和/nr, 真田/n, 
藤次郎一 /nr 3	 , 只是/d, 藤次郎一/nrj, 个人/n,
卡拉 /nr 2	  以及/cc, 卡拉/nrf, OK/nx
和敦司 /nr 2	 , 子/ng, 和敦司/nrj, 不做声/n
才想 /nr 2	 , 我/rr, 才想/nr, 把/pba,
代说 /nr 2	  [道/qv, 代说/nr, 发生/v, 
高田百合子小姐 /nr 2	 是/vshi, 高田百合子小姐/nrj, 。/w],
泰三问 /nr 2	 , [”/w, 泰三问/nr, 。/w], 
赤根 /nr 2	 就职/vi, 于赤根/nr, 工业/n, 
铃木小姐 /nr 2	  ，/w], [铃木小姐/nrj, 是/vsh
中山二郎 /nr 2	 , [”/w, 中山二郎/nrj, 连连/d,
高间刑警 /nr 2	  。/w], [高间刑警/nrj, 再次/d,
纪枝 /nr 2	 n, 真/a, 纪枝/nr, ，/w], 
朝江里子 /nr 2	 [凉子/nz, 朝江里子/nrj, 投以/v,
田宫想 /nr 2	  。/w], [田宫想/nr, 这/rzv,
松本君 /nr 2	 , [“/w, 松本君/nr, 看见/v, 
隆夫 /nr 2	 , 儿子/n, 隆夫/nr, 、/w, 大
