田沼先生 /nr 12	  ，/w], [田沼先生/nrj, 你/rr,
芦田 /nr 6	 的/ude1, 芦田/nr, 工业/n, 
加贺刑警 /nr 6	 , [”/w, 加贺刑警/nrj, 于是转/n
田沼洋次 /nr 4	  。/w], [田沼洋次/nrj, 快回到/l
才对 /nr 3	 , 脖子/n, 才对/nr, ，/w], 
广美 /nr 3	  注意到/v, 广美/nr, ，/w], 
曾和太太 /nr 2	 , 妇女/n, 曾和太太/nrj, 交谈/vi
向洋次 /nr 2	 , [便/d, 向洋次/nrj, 要/v, 
正中央 /nr 1	 , 镜台/n, 正中央/nrj, 的/ude
广美换 /nr 1	 , [”/w, 广美换/nr, 了/ule,
向你 /nr 1	 是/vshi, 向你/nr, 的/ude1
道理了 /nr 1	 的/ude1, 道理了/nrj, 。/w],
住太太 /nr 1	 b, 掐/v, 住太太/nrj, 脖子/n,
明讲 /nr 1	 , 没有/v, 明讲/nr, ，/w], 
相本 /nr 1	 , 红色/n, 相本/nr, 。/w], 
加贺笑了笑 /nr 1	 , [”/w, 加贺笑了笑/nrj, 回答/v,
与美枝子 /nr 1	 , 次/qv, 与美枝子/nrj, 非常/d,
常和田 /nr 1	 r, 还/d, 常和田/nr, 沼/ng, 
木屿 /nr 1	  。/w], [木屿/nr, 广/a, 美
满裕太 /nr 1	 v, 装/v, 满裕太/nrj, 照片/n,
曾说 /nr 1	  ，/w], [曾说/nr, 办完/nz,
藏裕太 /nr 1	 i, 收/v, 藏裕太/nrj, 衣服/n,
曾几次 /nr 1	  ，/w], [曾几次/nr, 打算/v, 
台与 /nr 1	 , 调理/v, 台与/nr, 吊柜/n, 
宫竹 /nr 1	 , 到达/v, 宫竹/nr, 芦田/nr,
才带我 /nr 1	  [你/rr, 才带我/nr, 来/vf, 
沼先生 /nr 1	 ，/w], [田沼先生/nrj, 你/rr,
布都 /nr 1	 的/ude1, 布都/nr, 沾湿/nz,
谢谢你 /nr 1	 , 天/qt, 谢谢你/nr, 。/w], 
独栋 /nr 1	 是/vshi, 独栋/nr, 独院/n, 
儿子裕太 /nr 1	 的/ude1, 儿子裕太/nrj, 也/d, 
开美枝子 /nr 1	 v, 离/v, 开美枝子/nrj, 的/ude
加贺先生 /nr 1	  ，/w], [加贺先生/nrj, ，/w],
沼美枝子 /nr 1	 d, 田/n, 沼美枝子/nrj, ，/w],
有裕太 /nr 1	 d, 只/d, 有裕太/nrj, 的/ude
真热 /nr 1	 t, 也/d, 真热/nr, 。/w], 
向美枝子 /nr 1	 挥挥手/nz, 向美枝子/nrj, 告别/vi
枝子了 /nr 1	 c, 美/b, 枝子了/nrj, 。/w],
真热呢 /nr 1	 t, 还/d, 真热呢/nr, 。/w], 
关的人 /nr 1	 有/vyou, 关的人/nr, ，/w], 
天洋次 /nr 1	  这/rzv, 天洋次/nrj, 从/p, 
加贺伸 /nr 1	  ，/w], [加贺伸/nrj, 手/n, 
经美 /nr 1	 , [”/w, 经美/nr, 枝子/n, 
住美枝子 /nr 1	 d, 压/v, 住美枝子/nrj, ，/w],
有裕太一 /nr 1	 c, 只/d, 有裕太一/nrj, 个/q, 
于是转 /nr 1	 刑警/nrj, 于是转/nr, 过头/a, 
琦玉 /nr 1	 是/vshi, 琦玉/nr, 老家/n, 
那就再 /nr 1	 v, “/w, 那就再/nr], [啰/n,
与裕太 /nr 1	 , 枝子/n, 与裕太/nrj, 的/ude
金孙 /nr 1	 , 痛失/v, 金孙/nr, 。/w], 
东野圭吾 /nr 1	 n, ：/w, 东野圭吾/nrj], [翻译/
都曾 /nr 1	  ，/w], [都曾/nr, 看到/v, 
楼比 /nr 1	 , [二/m, 楼比/nr, 一楼/nz,
厚浴布 /nr 1	 r, 用/p, 厚浴布/nr, 稍微/d, 
向洋 /nr 1	  [然后/c, 向洋/nr, 次/qv, 
间刑警 /nr 1	 之/uzhi, 间刑警/nrj, 连/uli
方看 /nr 1	 p, 对/p, 方看/nr, 。/w], 
刚买 /nr 1	  [最近/t, 刚买/nr, 的/ude1
塞得 /nr 1	 , 柜/ng, 塞得/nrf, 满满的/z
那你可 /nr 1	 q, “/w, 那你可/nr, 好啦/nz,
坂上太太 /nr 1	  ，/w], [坂上太太/nrj, 。/w],
