章代 /nr 7	 d, 向/p, 章代/nr, 道谢/vi,
东野圭吾 /nr 4	 介/nz], [东野圭吾/nrj, (/w, 
那一夜 /nr 3	 , [“/w, 那一夜/nrj, ，/w],
那孩子 /nr 3	 , 难道/d, 那孩子/nr, 就是/v, 
神崎由美 /nr 3	 , 叫/vi, 神崎由美/nrj, ，/w],
根岸阳子 /nr 2	 , [”/w, 根岸阳子/nrj, 以/p, 
才会 /nr 2	  ，/w], [才会/nr, “/w, 特
根岸先生 /nr 1	 , [“/w, 根岸先生/nrj, ，/w],
顿受 /nr 1	 , 一直/d, 顿受/nr, 影视界/n,
章代微 /nr 1	 [中尾/ns, 章代微/nr, 侧/ng, 
方那 /nr 1	 v, 对/p, 方那/nr, 男人/n, 
那桩 /nr 1	 v, “/w, 那桩/nrj, 事件/n,
章代继 /nr 1	 [中尾/ns, 章代继/nr, 缤/n, 说
方也爱 /nr 1	 v, 对/p, 方也爱/nr, 自己/rr,
起弓子 /nr 1	 , 回想/v, 起弓子/nrj, ，/w],
来接我 /nr 1	 t, 会/v, 来接我/nr, ，/w], 
前一步 /nr 1	 , [踏/v, 前一步/nrj, 。/w],
和弓子 /nr 1	 , 办法/n, 和弓子/nrj, 分手/vi
章代问 /nr 1	  中尾/ns, 章代问/nr, 。/w], 
姓根 /nr 1	 , 找到/v, 姓根/nr, 岸/n, 的
关系等等 /nr 1	 , 女性/n, 关系等等/nrj, 。/w],
都快 /nr 1	 得/ude3, 都快/nr, 疯狂/a, 
曾离贻 /nr 1	 d, 不/d, 曾离贻/nr, d/nx, 
那也 /nr 1	  [而/cc, 那也/nr, 是/vshi
神崎弓子 /nr 1	  ，/w], [神崎弓子/nrj, 的/ude
那张 /nr 1	 , 刚才/t, 那张/nr, 沙发/n, 
余白发现 /nr 1	 , 书页/n, 余白发现/nr, 写有/v, 
江户川乱步奖 /nr 1	 m, 届/q, 江户川乱步奖/nrj, ，/w],
那是正 /nr 1	 , 明白/v, 那是正/nr, 在/p, 微
安心了 /nr 1	 , 感到/v, 安心了/nrj, ，/w],
本乡弓子 /nr 1	 是/vshi, 本乡弓子/nrj, 。/w],
我有了 /nr 1	 , [“/w, 我有了/nrj, 积蓄/n,
谢谢你 /nr 1	 , [“/w, 谢谢你/nr, 。/w], 
方似 /nr 1	 v, 对/p, 方似/nr, 有/vyou
日光灯 /nr 1	 , 反射/v, 日光灯/nrj, 光/n, 
那是很 /nr 1	 , [“/w, 那是很/nr, 炽热/a, 
才好 /nr 1	  致谢/vi, 才好/nr, 。/w], 
峰彦 /nr 1	 v, 向/p, 峰彦/nr, 。/w], 
沈思 /nr 1	 z, 于/p, 沈思/nr, 的/ude1
关键时 /nr 1	 的/ude1, 关键时/nr, ，/w], 
日子可 /nr 1	 的/ude1, 日子可/nrj, 还/d, 
神崎 /nr 1	  [不过/c, 神崎/nr, 应该/v, 
