下条小姐 /nr 241	 是/vshi, 下条小姐/nrj, 吗/y, 
鞠子 /nr 84	  ，/w], [鞠子/nr, 决心/n, 
阿丰 /nr 63	 他手/nnt, 阿丰/nr, 从/p, 刚
小林小姐 /nr 44	 , 听说/v, 小林小姐/nrj, 没/d, 
小林 /nr 41	 , [“/w, 小林/nr, ！/w], 
伊原骏 /nr 37	 , 关于/p, 伊原骏/nr, 策/ng, 
高城晶子 /nr 32	 t, //w, 高城晶子/nrj, ”/w, 
伊原 /nr 26	 , 就是/v, 伊原/nr, 骏策/nr,
阿部晶子 /nr 25	  ，/w], [阿部晶子/nrj, 与/cc,
小林双叶小姐 /nr 22	 ……/w], [小林双叶小姐/nrj, ？/w],
康之 /nr 22	 /w], [高城康之/nrj, 。/w],
久能教授 /nr 21	  [这位/r, 久能教授/nrj, 既然/c,
小林志保小姐 /nr 21	 是/vshi, 小林志保小姐/nrj, 的/ude
东和 /nr 20	 w, “/w, 东和/nr, 大学/nis
安妮 /nr 19	  红发/nz, 安妮/nrf, 遇到/v,
山本 /nr 19	 是/vshi, 山本/nr, 。/w], 
细野修女 /nr 18	 , 舍监/n, 细野修女/nrj, 审阅/v,
梅津教授 /nr 16	 , [但/c, 梅津教授/nrj, 或/c, 
氏家先生 /nr 15	  ，/w], [氏家先生/nrj, 才/d, 
鞠子之 /nr 15	 [·/w], [鞠子之/nr, 章/q], 
山步会 /nr 15	 , 名叫/v, 山步会/nr, 的/ude1
阿香 /nr 14	 , 女儿/n, 阿香/nr, ，/w], 
梅津 /nr 12	 , [“/w, 梅津/nrf, 老师/nn
石神 /nr 12	 r, 到/v, 石神/nr, 井/n, 公
丰先生 /nr 11	  ？/w], [丰先生/nr, 把/pba,
小林双叶 /nr 10	 ……/w], [小林双叶/nrj, ，/w],
藤村教授 /nr 9	  ，/w], [藤村教授/nrj, 问/v, 
拉门 /nr 9	 1, 纸/n, 拉门/nrf, 。/w],
鞠子你 /nr 8	  [如果/c, 鞠子你/nr, 不/d, 愿
骏策 /nr 8	  [伊/b, 原骏策/nr, 是/vshi
横井 /nr 8	 是/vshi, 横井/nr, 告诉/v, 
畑村先生 /nr 8	 , 前去/v, 畑村先生/nrj, 的/ude
高城康之 /nr 7	  。/w], [高城康之/nrj, 。/w],
林小姐 /nr 7	  听说/v, 小林小姐/nrj, 没/d, 
铃江学 /nr 7	  ，/w], [铃江学/nrj, 姐/n, 
步会 /nr 7	  名叫/v, 山步会/nr, 的/ude1
友广 /nr 7	 , [”/w, 友广/nr, 似乎/d, 
那本 /nr 7	 , [“/w, 那本/nr, 小册子/n,
黑手 /nr 6	 , 幕后/s, 黑手/nrf, 就/d, 
都是 /nr 6	 [这/rzv, 都是/nr, 双叶/nz,
清水先生 /nr 6	 , [“/w, 清水先生/nrj, 是/vsh
下条小姐一 /nr 6	 , 交给/v, 下条小姐一/nrj, 边/k, 
谢谢你 /nr 6	 d, 很/d, 谢谢你/nr, 。/w], 
清水宏 /nr 6	 , 名叫/v, 清水宏/nrj, 久/a, 
下条小姐将 /nr 6	 , [”/w, 下条小姐将/nrj, 两手/m,
田谷 /nr 5	 , 世/ng, 田谷/nr, 区/n, 祖
谷原 /nr 5	 , 送往/v, 谷原/nr, 医院/nis
谈一谈 /nr 5	  见面/vi, 谈一谈/nr, 。/w], 
那孩子 /nr 5	 , 看着/v, 那孩子/nr, 实在/d, 
田谷区 /nr 4	 , 世/ng, 田谷区/nr, 的/ude1
雪莉 /nr 4	 de1, 安妮·雪莉/nrf, 。/w],
我妻子 /nr 4	 , 就是/v, 我妻子/nrj, 。/w],
雪莱 /nr 4	 nnd, 玛丽·雪莱/nrf, <Mary
那名 /nr 4	 的/ude1, 那名/nr, 男士/n, 
高城晶子小姐 /nr 4	 , 就是/v, 高城晶子小姐/nrj, 。/w],
那件 /nr 4	  住进/vf, 那件/nr, 饭店/nis
于是我 /nr 3	 , [”/w, 于是我/nr, 说出/v, 
伊原派 /nr 3	  ，/w], [伊原派/nrj, 的/ude
庸平 /nr 3	  大道/ns, 庸平/nr, ，/w], 
那是谁 /nr 3	 , 知道/v, 那是谁/nr, 。/w], 
良野 /nr 3	 , 富/vg, 良野/nr, 一带/n, 
和晶子 /nr 3	 , 你/rr, 和晶子/nrj, 的/ude
下条小姐伸 /nr 3	 [”/w], [下条小姐伸/nrj, 手/n, 
那几 /nr 3	  了/ule, 那几/nr, 个/q, 接
小林志保 /nr 3	 的/ude1, 小林志保/nrj, 。/w],
世田谷 /nr 3	 v, “/w, 世田谷/nr, 区/n, 祖
久能教授一 /nr 3	  [而且/c, 久能教授一/nrj, 直/d, 
朝南 /nr 3	 i, 在/p, 朝南/nrf, 的/ude
氏家教授 /nr 3	 v, 找/v, 氏家教授/nrj, 。/w],
阿部晶子小姐 /nr 3	 , 这位/r, 阿部晶子小姐/nrj, 。/w],
高城康之先生 /nr 3	 , 那位/r, 高城康之先生/nrj, 的/ude
