山森 /nr 150	 , 叫做/v, 山森/nr, 的/ude1
志津子小姐 /nr 90	  ，/w], [志津子小姐/nrj, 告诉/v,
竹本先生 /nr 40	 , [“/w, 竹本先生/nrj, 是/vsh
石仓 /nr 40	 教练/nnt, 石仓/nr, 。/w], 
金井三郎 /nr 37	 , 叫做/v, 金井三郎/nrj, 的/ude
新里美由纪 /nr 31	 影师/nnt, 新里美由纪/nrj, 。/w],
志津子 /nr 30	 g, 村/n, 志津子/nrj, ”/w, 
竹本幸 /nr 25	 n, 者/k, 竹本幸/nr, 裕/vg, 
川津雅之 /nr 22	 , ——/w, 川津雅之/nrj, ，/w],
萩尾小姐 /nr 21	 是/vshi, 萩尾小姐/nrj, 吗/y, 
川津先生 /nr 20	  ，/w], [川津先生/nrj, 自己/rr
古泽靖子 /nr 20	  [名叫/v, 古泽靖子/nrj, 的/ude
竹本正彦 /nr 16	 /nis], [竹本正彦/nrj, ”/w, 
和冬子 /nr 16	 , 我/rr, 和冬子/nrj, 去/vf,
竹本 /nr 16	 , 名叫/v, 竹本/nr, 的/ude1
金井先生 /nr 16	  。/w], [金井先生/nrj, 去年/t,
新里小姐 /nr 14	 , 关于/p, 新里小姐/nrj, 的/ude
村山则子 /nr 12	 秘书/nnt, 村山则子/nrj, ，/w],
坂上先生 /nr 11	 , 就是/v, 坂上先生/nrj, 。/w],
金井 /nr 11	  。/w], [金井/nr, 有点/d, 
山森卓也 /nr 7	 /nnt], [山森卓也/nrj, ”/w, 
幸代 /nr 7	 叫/vi, 川津幸代/nrj, ，/w],
小悦 /nr 7	 , [“/w, 小悦/nr, ，/w], 
古泽 /nr 7	 , 叫作/v, 古泽/nrf, 靖子/nr
披萨 /nr 7	  把/pba, 披萨/nrf, 放回/vf
石仓先生 /nr 7	 , [“/w, 石仓先生/nrj, 是/vsh
靖子 /nr 6	 名叫/v, 古泽靖子/nrj, 的/ude
和由美 /nr 6	 是/vshi, 和由美/nrj, 年龄/n,
金井三 /nr 5	 v, 回/v, 金井三/nr, 郎/ng, 
