阿惠 /nr 97	 的/ude1, 阿惠/nr, 与/cc, 
京极 /nr 93	 , 和/cc, 京极/nr, 的/ude1
阿纯 /nr 59	 , [“/w, 阿纯/nr, ，/w], 
成濑纯一 /nr 45	 , 叫/vi, 成濑纯一/nrj, ，/w],
橘小姐 /nr 30	 是/vshi, 橘小姐/nrj, ——/w,
关谷 /nr 23	 n, ：/w, 关谷/nr, 时/qt, 
葛西 /nr 20	  ，/w], [葛西/nr, 沉下/v, 
橘直子 /nr 19	 , [“/w, 橘直子/nrj, ，/w],
京极瞬 /nr 18	 , 叫/vi, 京极瞬/nrj, 介/vg,
元博士 /nr 16	  [堂/ng, 元博士/nr, 带着/vn,
东和 /nr 9	 , [“/w, 东和/nr, 大学/nis
时雄 /nr 8	  了/ule, 时雄/nr, 的/ude1
惠日记 /nr 8	  叶村/ns, 惠日记/nr], [1/m,
嵯峨先生 /nr 6	 r, 比/p, 嵯峨先生/nrj, 小/a, 
嵯峨道彦 /nr 5	 e, “/w, 嵯峨道彦/nrj, ”/w, 
堂元教授 /nr 5	  ，/w], [堂元教授/nrj, 的/ude
东野圭吾 /nr 4	  ，/w], [东野圭吾/nrj, 称之为/v
纪夫 /nr 4	 , 悠/ag, 纪夫/nr, 说/v, ，
蒲生 /nr 4	 q, 姓/v, 蒲生/nr, 的/ude1
国教授 /nr 4	 t, 光/n, 国教授/nrj, 。/w],
那帮 /nr 4	 , 媒体/n, 那帮/nr, 家伙/n, 
和直子 /nr 4	  [我/rr, 和直子/nrj, 坐在/v,
京极亮子 /nr 4	 , [对/p, 京极亮子/nrj, 和/cc,
臼井悠 /nr 3	  ，/w], [臼井悠/nrj, 纪夫/nr
闻言 /nr 3	 博士/nnt, 闻言/nr, 皱起/nz,
仓田谦 /nr 3	 , [【/w, 仓田谦/nrj, 三笔/nz
葛西一 /nr 3	  。/w], [葛西一/nrj, 进/vf,
京极在 /nr 3	 是/vshi, 京极在/nr, 渴求/vn,
阿纯很 /nr 3	 [”/w], [阿纯很/nr, 胆小/a, 
刚想 /nr 3	  [我/rr, 刚想/nr, 打招呼/vi
完生 /nr 3	 , 已经/d, 完生/nr, 复原/vi,
才说 /nr 3	 , 决心/n, 才说/nr, 出口/vn,
葛西三郎 /nr 3	  [同事/n, 葛西三郎/nrj, 来/vf,
那是 /nr 2	  [可能/v, 那是/nr, 试验者/n,
番场哲夫 /nr 2	 老板/nnt, 番场哲夫/nrj, 是/vsh
张开嘴 /nr 2	 , 竭力/d, 张开嘴/nr, ，/w], 
喻快 /nr 2	 z, 不/d, 喻快/nr, 的/ude1
濑纯一 /nr 2	  叫/vi, 成濑纯一/nrj, ，/w],
山本和 /nr 2	 v, 姓/v, 山本和/nr, 铃木/nz,
亚马 /nr 2	  [——/w, 亚马/nrf, 狲/x, 
都还在 /nr 2	  ，/w], [都还在/nr, ，/w], 
才是 /nr 2	 , 你/rr, 才是/nr, 。/w], 
安心了 /nr 2	 r, 就/d, 安心了/nrj, 。/w],
戴圆 /nr 2	 [一个/mq, 戴圆/nr, 眼镜/n, 
边说 /nr 2	 k, 写/v, 边说/nr, 。/w], 
小心了 /nr 2	 , 相当/d, 小心了/nrj, ，/w],
一口凉 /nr 2	  [倒吸/v, 一口凉/nrj, 气/n, 
全换 /nr 2	 a, 脑/n, 全换/nr, 了/ule,
成濑纯一了 /nr 2	 的/ude1, 成濑纯一了/nrj, 。/w],
边问 /nr 2	 , 资料/n, 边问/nr, 。/w], 
全无 /nr 2	  [我/rr, 全无/nr, 恐惧/an,
那一夜 /nr 2	  。/w], [那一夜/nrj, ，/w],
阿惠问 /nr 2	 , [”/w, 阿惠问/nr, 。/w], 
嵯峨一 /nr 2	  。/w], [嵯峨一/nrj, 脸/n, 
那张 /nr 2	  [还有/v, 那张/nr, 从/p, 窗
来过 /nr 2	 , [“/w, 来过/nr, ，/w], 
那男 /nr 2	 是/vshi, 那男/nr, 的/ude1
比 /nr 2	 hi, 杰奎琳·比/nrf, 赛特/nz
迈克尔 /nr 2	 是/vshi, 迈克尔/nrf, 的/ude
练琴 /nr 2	 哪里/rys, 练琴/nr, ？/w], 
放平 /nr 2	 , 她/rr, 放平/nr, 。/w], 
那条狗 /nr 2	  了/ule, 那条狗/nr, ，/w], 
都有 /nr 2	  ，/w], [都有/nr, 长椅/n, 
真想 /nr 2	 d, 当/p, 真想/nr, 杀人/vi,
安地问 /nr 2	 r, 不/d, 安地问/nr, 。/w], 
都得 /nr 1	 , 桌前/s, 都得/nr, 擦着/v, 
起笑容 /nr 1	 s, 浮/v, 起笑容/nrj, ：/w, 
土概 /nr 1	 t, 看/v, 土概/nr, 会/v, 更
冒细 /nr 1	 , 开始/v, 冒细/nr, 汗/n, ，
楼项 /nr 1	 w, 从/p, 楼项/nr, ？/w], 
水在 /nr 1	 着/uzhe, 水在/nr, 桌子/n, 
下美丽 /nr 1	 , 只剩/v, 下美丽/nrj, 如/v, 
边在想 /nr 1	 , [—/w, 边在想/nr, 这个/rz,
支件 /nr 1	 的/ude1, 支件/nr, ，/w], 
边在 /nr 1	 v, —/w, 边在/nr, 脑子里/n,
卓别林 /nr 1	 d, 像/v, 卓别林/nrf, 在/p, 
那也算 /nr 1	 w, “/w, 那也算/nr, ？/w], 
真羡 /nr 1	 , [“/w, 真羡/nr, 幕/q, 呀
任其从 /nr 1	  ，/w], [任其从/nr, 六/m, 张
才来问 /nr 1	  ，/w], [才来问/nr, 的/ude1
大家笑 /nr 1	 r, 逗/v, 大家笑/nrj, 的/ude
向提 /nr 1	 n, 在/p, 向提/nr, 内/f, 渗
滑嫩露 /nr 1	  ，/w], [滑嫩露/nr, 软/a, 。
关谷明夫 /nr 1	 v, “/w, 关谷明夫/nrj, ”/w, 
程序会 /nr 1	 的/ude1, 程序会/nr, 协调/v, 
谢谢你 /nr 1	 , [“/w, 谢谢你/nr, 告诉/v, 
才问 /nr 1	  索赔/vn, 才问/nr, 的/ude1
堂元了 /nr 1	 过/uguo, 堂元了/nrj, ，/w],
应答 /nr 1	 y, 也/d, 应答/nr, 不了/v, 
回想你 /nr 1	 w, 请/v, 回想你/nr, 以前/f, 
盖得 /nr 1	 n, 就/d, 盖得/nr, 起/vf, 
回是支 /nr 1	 [这/rzv, 回是支/nr, 古典/b, 
夜灯 /nr 1	  [只有/c, 夜灯/nr, 发出/v, 
搏士 /nr 1	 g, 元/q, 搏士/nr, 及其/cc,
明无 /nr 1	 , 我/rr, 明无/nr, 再来/d, 
都快 /nr 1	 眼珠子/nz, 都快/nr, 掉/v, 出
阿惠一 /nr 1	  ，/w], [阿惠一/nr, 副/b, 要
戴上一 /nr 1	 , 要求/n, 戴上一/nr, 副/b, 奇
都明显 /nr 1	 着/uzhe, 都明显/nr, 是/vshi
谢恩 /nr 1	  过来/vf, 谢恩/nrf, ，/w],
