水村 /nr 63	 , [“/w, 水村/nr, 你/rr, 
沟口刑警 /nr 42	 , [”/w, 沟口刑警/nrj, 又/d, 
吉冈 /nr 39	 球手/nnd, 吉冈/nrf, 良介/nr
楢崎薰 /nr 32	 [”/w], [楢崎薰/nrj, 的/ude
小薰 /nr 31	 , 望着/v, 小薰/nrj, 点点头/v
宫前由希子 /nr 26	  ，/w], [宫前由希子/nrj, 死/v, 
石部 /nr 26	 , 名叫/v, 石部/nr, ，/w], 
古谷 /nr 18	 , [“/w, 古谷/nr, 老师/nnt
佐山刑警 /nr 16	 , [”/w, 佐山刑警/nrj, 的/ude
川合一正 /nr 15	  ，/w], [川合一正/nrj, 坐/v, 
宫前先生 /nr 13	 是/vshi, 宫前先生/nrj, 吗/y, 
和由希子 /nr 12	 , 我/rr, 和由希子/nrj, 两/m, 
齐藤 /nr 11	  。/w], [齐藤/nr, 高/a, 二
才对 /nr 11	  ，/w], [才对/nr, 接受/v, 
与由希子 /nr 9	 , 地点/n, 与由希子/nrj, 的/ude
名刑警 /nr 7	 v, 几/d, 名刑警/nrj, 。/w],
余光 /nr 7	 d, 用/p, 余光/nr, 扫/v, 着
那你 /nr 7	 , [“/w, 那你/nr, 去哪儿/nz
都是 /nr 7	 , 眼眶/n, 都是/nr, 红红的/z,
操用 /nr 6	 , 跳/vi, 操用/nr, 的/ude1
庄一 /nr 5	 , [让/v, 庄一/nr, 接电话/l,
小林 /nr 5	 , 就是/v, 小林/nr, 牙科/nt,
高二 /nr 5	 i, 在/p, 高二/nr, 的/ude1
吉田 /nr 5	 , 叫/vi, 吉田/nr, 的/ude1
水村俊彦 /nr 5	  了/ule, 水村俊彦/nrj, 这个/rz
那名 /nr 4	  [所以/c, 那名/nr, 阿姨/n, 
水村先生 /nr 3	  。/w], [水村先生/nrj, 说/v, 
田进 /nr 3	  [筱/ng, 田进/nr, 跟/p, 我
那孩子 /nr 3	 v, 在/p, 那孩子/nr, 的/ude1
和春美 /nr 3	  。/w], [和春美/nrj, 在/p, 
那是 /nr 2	 , [“/w, 那是/nr, 怎么回事/n
有道理 /nr 2	  ，/w], [有道理/nrj, ！/w],
刚过 /nr 2	  ，/w], [刚过/nr, 八/m, 点
那只 /nr 2	 , 刚才/t, 那只/nr, 电话/n, 
小薰伸 /nr 2	 , [”/w, 小薰伸/nrj, 手/n, 
史努比 /nr 2	 的/ude1, 史努比/nrf, 玩偶/n,
那张 /nr 2	 刑警/nnt, 那张/nr, 黝黑/z, 
那道 /nr 2	  [翻越/v, 那道/nr, 围墙/n, 
真晚 /nr 2	 得/ude3, 真晚/nr, 啊/y, 。
六节 /nr 2	 , 第/mq, 六节/nrj, ，/w],
高野 /nr 2	 , 在意/v, 高野/nr, 那/rzv,
水村了 /nr 2	  侦讯/nz, 水村了/nrj, 吗/y, 
小薰一 /nr 2	 , [”/w, 小薰一/nrj, 副/b, 
石部正 /nr 2	  ，/w], [石部正/nr, 欲/d, 走
全无 /nr 2	 , 线索/n, 全无/nr, ——/w, 
那副 /nr 2	 , 她/rr, 那副/nr, 活泼/a, 
齐藤和 /nr 2	 队长/nnt, 齐藤和/nr, 三/m, 个
来过 /nr 2	 1, 人/n, 来过/nr, 。/w], 
都在笑 /nr 2	 r, 人/n, 都在笑/nr, 。/w], 
刚想 /nr 2	  [我/rr, 刚想/nr, 纠正/v, 
连由希子 /nr 2	  。/w], [连由希子/nrj, 所在/n,
金丝边 /nr 2	 , 戴着/v, 金丝边/nr, 眼镜/n, 
熊在 /nr 1	 的/ude1, 熊在/nr, 咆哮/vi,
于脸 /nr 1	 d, 输/v, 于脸/nr, 的/ude1
卡拉 /nr 1	 , [唱/v, 卡拉/nrf, OK/nx
石部明 /nr 1	  。/w], [石部明/nr, 显露出/i,
御崎伸 /nr 1	  。/w], [御崎伸/nrj, 手拿/v,
才在我 /nr 1	 , 问题/n, 才在我/nr, 脑海/n, 
堵得 /nr 1	 是/vshi, 堵得/nr, 慌/a, 。
高中叫 /nr 1	  文馆/nz, 高中叫/nr, 西原/ns,
江向 /nr 1	 g, 藤/n, 江向/nr, 我们/rr,
都要 /nr 1	 教师/nnt, 都要/nr, 参加/v, 
那封 /nr 1	  把/pba, 那封/nr, 叫/vi, 
束花 /nr 1	 , 一小/d, 束花/nr, 。/w], 
才来问 /nr 1	  ，/w], [才来问/nr, 你/rr, 
任谁 /nr 1	  ，/w], [任谁/nr, 听到/v, 
支舞吧 /nr 1	  [跳/vi, 支舞吧/nr, ？/w], 
双掌 /nr 1	 , 擦着/v, 双掌/nr, ，/w], 
石部也 /nr 1	 主任/nnt, 石部也/nr, 没有/v, 
才会设 /nr 1	 , 两边/f, 才会设/nr, 这么/rz,
那春美 /nr 1	  。/w], [那春美/nrj, 现在/t,
来让 /nr 1	 , 事情/n, 来让/nr, 绯絽/n, 
名刑警将 /nr 1	 , [两/m, 名刑警将/nrj, 闭合/vn
伊藤从 /nr 1	 , [”/w, 伊藤从/nr, 自己/rr,
起由希子 /nr 1	  调查/vn, 起由希子/nrj, 发生/v,
支让人 /nr 1	 e, 一/m, 支让人/nr, 感觉/n, 
川合望 /nr 1	 , [”/w, 川合望/nrj, 着/uzh
才来 /nr 1	 , 现在/t, 才来/nr, 出题/vi,
藤朝 /nr 1	  [灰/ag, 藤朝/nr, 我/rr, 
头朝 /nr 1	  把/pba, 头朝/nr, 我/rr, 
