田俊介 /nr 46	 w, 火/n, 田俊介/nrj, 是/vsh
青野 /nr 37	 , 叫/vi, 青野/nr, 。/w], 
秋雄 /nr 34	 r, 、/w, 秋雄/nr, 和/cc, 
土井直美 /nr 32	  。/w], [土井直美/nrj, 是/vsh
天下一先生 /nr 31	 侦探/nnd, 天下一先生/nrj, 吧/y, 
天下一 /nr 30	  。/w], [天下一/nrj, ——/w,
水岛雄一郎 /nr 21	  ，/w], [水岛雄一郎/nrj, 不/d, 
水岛 /nr 21	 是/vshi, 水岛/nr, 的/ude1
水岛先生 /nr 18	  ，/w], [水岛先生/nrj, 是/vsh
小绿 /nr 16	 是/vshi, 小绿/nr, ，/w], 
宇户川 /nr 15	 , 名字/n, 宇户川/nr, 某某/r, 
金子先生 /nr 11	 , [“/w, 金子先生/nrj, 和/cc,
拉图斯 /nr 11	 , 彼/rz, 拉图斯/nrf, 。/w],
夏子 /nr 9	 是/vshi, 夏子/nr, 、/w, 秋
土井 /nr 9	 金子和/nr, 土井/nr, 先行/vi,
木部先生 /nr 8	 , [“/w, 木部先生/nrj, 也/d, 
月村女士 /nr 8	 博士/nnt, 月村女士/nrj, 。/w],
米小姐 /nr 8	  [富/vg, 米小姐/nr, ，/w], 
土井小姐 /nr 5	 , 和/cc, 土井小姐/nrj, 。/w],
金子和 /nr 5	 n, 、/w, 金子和/nr, 土井/nr,
成火田 /nr 4	  [化装/v, 成火田/nr, 的/ude1
盛有 /nr 3	 着/uzhe, 盛有/nr, 白兰地/nf
都是 /nr 3	  ，/w], [都是/nr, 在/p, 这
罗特列克 /nr 3	 的/ude1, 罗特列克/nrf, (/w, 
那也 /nr 3	 , [“/w, 那也/nr, 是/vshi
管家一 /nr 3	 , [”/w, 管家一/nrj, 边/k, 
田俊介先生 /nr 3	 w, 火/n, 田俊介先生/nrj, 。/w],
水岛雄 /nr 2	 , 与/cc, 水岛雄/nr, 一/m, 郎
黑本先生 /nr 2	 v, 请/v, 黑本先生/nrj, 确认/v,
闻言 /nr 2	  ，/w], [闻言/nr, 一/m, 脸
水岛春树 /nr 2	  。/w], [水岛春树/nrj, 走向/v,
那你 /nr 2	 , [“/w, 那你/nr, 也/d, 加
苍井雄 /nr 2	  。/w], [苍井雄/nr, 、/w, 楠
都有谁 /nr 2	 的/ude1, 都有谁/nr, ？/w], 
路市 /nr 2	 n, 礼/n, 路市/nr, 风致/n, 
滨尾四郎 /nr 2	 g, 、/w, 滨尾四郎/nrj, 、/w, 
江户时代 /nr 2	 是/vshi, 江户时代/nrj, 。/w],
金子和彦 /nr 2	  。/w], [金子和彦/nrj, 自称/v,
文田 /nr 2	 , [”/w, 文田/nr, 客气/a, 
小绿一 /nr 2	 , 和/cc, 小绿一/nrj, 起/vf,
金子也 /nr 2	 , [”/w, 金子也/nr, 说道/v, 
都是你 /nr 2	  。/w], [都是你/nr, ，/w], 
金子问 /nr 2	 , [”/w, 金子问/nr, 我/rr, 
水曜 /nr 2	 p, “/w, 水曜/nr, 日/b, ”
波洛 /nr 2	  ，/w], [波洛/nrf, (/w, 
都想 /nr 2	 , 我/rr, 都想/nr, 把/pba,
向来很 /nr 2	 , 报纸/n, 向来很/nr, 仔细/ad,
一本书 /nr 2	 是/vshi, 一本书/nrj, 。/w],
那本 /nr 2	 , 打开/v, 那本/nr, 笔记/n, 
那条长 /nr 1	 的/ude1, 那条长/nr, 板凳/n, 
来取 /nr 1	  天后/nz, 来取/nr, 稿/ng, 
那是 /nr 1	 , [“/w, 那是/nr, 勿忘我/i,
岳远坤 /nr 1	 著/nz], [岳远坤/nr], [译/v]
全都 /nr 1	  [家具/n, 全都/nr, 紧靠着/v,
田匡介 /nr 1	 w, 楠/n, 田匡介/nr, 的/ude1
莫格 /nr 1	 , [《/w, 莫格/nr, 街/n, 凶
开拓 /nr 1	 , 叫/vi, 开拓/nrj, 者/k, 
卡拉 /nr 1	 i, 、/w, 卡拉/nrf, OK/nx
冰时 /nr 1	 v, 加/v, 冰时/nr, ，/w], 
有道理 /nr 1	 , [“/w, 有道理/nrj, 。/w],
钱德勒 /nr 1	  ？/w], [钱德勒/nrf, 等/ude
原地了 /nr 1	 , 回到/v, 原地了/nrj, ？/w],
金子在 /nr 1	  ，/w], [金子在/nr, 干什么/vi
都要 /nr 1	  ，/w], [都要/nr, 大胆/ad,
土井直美小姐 /nr 1	 i, 搬/v, 土井直美小姐/nrj, 的/ude
白石和 /nr 1	 r, 、/w, 白石和/nr, 刚才/t, 
都和灯 /nr 1	 , 位置/n, 都和灯/nr, 灭/v, 前
方式将 /nr 1	 的/ude1, 方式将/nr, 他们/rr,
法国夏朗德 /nr 1	  [带有/v, 法国夏朗德/nrf, 乡土气息/
都是当 /nr 1	 的/ude1, 都是当/nr, 水/n, 岛
郎先生 /nr 1	 g, 一/m, 郎先生/nr, 的/ude1
小绿刚 /nr 1	  。/w], [小绿刚/nrj, 才/d, 
劳伦 /nr 1	  ？/w], [劳伦/nrf, 袜/ng,
克莉斯蒂 /nr 1	  ？/w], [克莉斯蒂/nrf, 笔下/n,
安地摇 /nr 1	 n, 不/d, 安地摇/nr, 了/ule,
小绿猛 /nr 1	 [”/w], [小绿猛/nrj, 地/ude
都已 /nr 1	 , 使命/n, 都已/nr, 终结/vi,
车中 /nr 1	 的/ude1, 车中/nr, 。/w], 
余光 /nr 1	 d, 用/p, 余光/nr, 偷偷/d, 
东野圭吾 /nr 1	 , ]　/w, 东野圭吾/nrj], [著/n
车少人 /nr 1	  ，/w], [车少人/nr, 稀/a, ，
莱尔 /nr 1	  ？/w], [莱尔/nrf, 以及/cc
帕杰罗 /nr 1	 三菱/ntc, 帕杰罗/nrf, 和/cc,
郎出 /nr 1	 g, 一/m, 郎出/nr, 现时/t, 
白石怒 /nr 1	 , [”/w, 白石怒/nr, 道/qv, 
向土井 /nr 1	 , 我/rr, 向土井/nr, 直美/nz,
全是 /nr 1	 , ——/w, 全是/nr, 这样/rzv
雷蒙德 /nr 1	  以及/cc, 雷蒙德/nrf, ？/w],
楼多转 /nr 1	 p, 二/m, 楼多转/nr, 一会儿/mq
约翰 /nr 1	 d, 、/w, 约翰/nrf, ？/w],
卓别林 /nr 1	 d, 像/v, 卓别林/nrf, 的/ude
曾有 /nr 1	  。/w], [曾有/nr, 一瞬间/mq
道中央 /nr 1	 1, 坡/n, 道中央/nrj, ，/w],
拉夫 /nr 1	 的/ude1, 拉夫/nrf, ？/w],
那太 /nr 1	 , [但/c, 那太/nr, 不/d, 吉
小厨房 /nr 1	 的/ude1, 小厨房/nrj, 里/f, 
于门 /nr 1	 n, 在/p, 于门/nr, 的/ude1
齐聚 /nr 1	 , 目光/n, 齐聚/nr, 在/p, 月
金子一 /nr 1	 , [”/w, 金子一/nr, 把/pba,
都是老 /nr 1	  ，/w], [都是老/nr, 故事/n, 
