苍介 /nr 111	  [一/m, 原苍介/nr, 就/d, 站
健彦 /nr 89	 , 和/cc, 健彦/nr, ，/w], 
纪代美 /nr 55	 是/vshi, 纪代美/nr, ，/w], 
桐生小姐 /nr 37	 , [“/w, 桐生小姐/nrj, ，/w],
小林真穗 /nr 34	  女主人/n, 小林真穗/nrj, 走/v, 
真穗 /nr 26	 , 叫做/v, 真穗/nr, ，/w], 
里中二郎 /nr 26	  了/ule, 里中二郎/nrj, 的/ude
泽弘美 /nr 25	 i, 骖/v, 泽弘美/nrj, ，/w],
高野 /nr 25	  。/w], [高野/nr, ……/w],
一原先生 /nr 22	 w, “/w, 一原先生/nrj, ，/w],
古木律 /nr 19	 是/vshi, 古木律/nrj, 师/ng,
弘美 /nr 18	 , 骖/v, 泽弘美/nrj, ，/w],
居之 /nr 12	 i, ‘/w, 居之/nr, 壹/m, ’
才对 /nr 11	  呼吸声/n, 才对/nr, ，/w], 
居之壹 /nr 10	 , [“/w, 居之壹/nr, ”/w, 正
高野刑警 /nr 10	 , [”/w, 高野刑警/nrj, 焦急/a,
纪代 /nr 9	 是/vshi, 纪代/nr, 美的/nz,
叶之贰 /nr 8	 v, “/w, 叶之贰/nr, ”/w, 。
本间菊代 /nr 7	  拿着/vf, 本间菊代/nrj, 夫人/n,
本间先生 /nr 7	 , [“/w, 本间先生/nrj, 去世/vi
和由香 /nr 7	 , 您/rr, 和由香/nrj, 说/v, 
枝梨子 /nr 7	 g, 生/v, 枝梨子/nrj, 吗/y, 
古木先生 /nr 6	 , 叫做/v, 古木先生/nrj, 的/ude
和加奈 /nr 5	 p, 香/a, 和加奈/nrj, 江/n, 
一原纪代美 /nr 5	  ，/w], [一原纪代美/nrj, 轻轻地/z
才会 /nr 5	  ，/w], [才会/nr, 故意/d, 
江说 /nr 5	 , 奈/vg, 江说/nr, 的/ude1
和曜子 /nr 4	 [苍介/nr, 和曜子/nrj, 呢/y, 
苍介问 /nr 4	 , [”/w, 苍介问/nr, 。/w], 
张开眼 /nr 4	  [我/rr, 张开眼/nr, 。/w], 
那起 /nr 3	 , 隐瞒/v, 那起/nr, 被/pbei
小林真穗一 /nr 3	  了/ule, 小林真穗一/nrj, 声/qv,
叶之叁 /nr 3	 w, “/w, 叶之叁/nr, ”/w, 等
江小姐 /nr 3	 , 奈/vg, 江小姐/nr, 说/v, 了
苍介也 /nr 3	 的/ude1, 苍介也/nr, 盯着/v, 
那孩子 /nr 3	 , 相信/v, 那孩子/nr, 是/vshi
江则 /nr 3	 , 奈/vg, 江则/nr, 点点头/v,
苍介一 /nr 3	 [”/w], [苍介一/nr, 副/b, 溺
叶之 /nr 3	 i, ‘/w, 叶之/nr, 叁/m, ’
一原由香 /nr 3	 是/vshi, 一原由香/nrj, 。/w],
原家 /nr 3	 , [一/m, 原家/nr, 的/ude1
那是 /nr 2	 , [但/c, 那是/nr, 很久以前/n
重太郎 /nr 2	 z, 间/f, 重太郎/nrj, 的/ude
苍介哥 /nr 2	 , [“/w, 苍介哥/nr, 也/d, 不
桐生小姐一 /nr 2	  ，/w], [桐生小姐一/nrj, 定/v, 
闻言 /nr 2	 [所有人/n, 闻言/nr, 瞬间/n, 
久等了 /nr 2	  各位/rr, 久等了/nrj, ！/w],
枝梨子小姐 /nr 2	  ，/w], [枝梨子小姐/nrj, ，/w],
起加奈 /nr 2	 w, 比/p, 起加奈/nrj, 江/n, 
江也 /nr 2	 , 奈/vg, 江也/nr, 点头/vi,
拉高 /nr 2	 , 子/ng, 拉高/nrf, 嗓音/n,
藤森 /nr 2	 , 和/cc, 藤森/nrf, 曜/ng,
小林真 /nr 2	  转向/vi, 小林真/nr, 穗/b, 。
刚过 /nr 2	 是/vshi, 刚过/nr, 十/m, 一
那件 /nr 2	 , 感谢/v, 那件/nr, 殉情/vi,
起菊代 /nr 2	 r, 穿/v, 起菊代/nrj, 夫人/n,
小林 /nr 2	 , [姓/v, 小林/nr, 。/w], 
怀炉 /nr 2	 n, 、/w, 怀炉/nr, ……/w],
江便 /nr 2	 加奈/nrj, 江便/nr, 起身/vi,
藤森曜子小姐 /nr 2	 , [“/w, 藤森曜子小姐/nrj, ，/w],
藤森加奈江 /nr 2	 j, 、/w, 藤森加奈江/nrf, ，/w],
江两眼 /nr 2	 , 奈/vg, 江两眼/nr, 发亮/vi,
成真 /nr 2	 , 预感/v, 成真/nr, ，/w], 
那是我 /nr 2	 w, “/w, 那是我/nr, 的/ude1
才说 /nr 2	 , 工夫/n, 才说/nr, 出口/vn,
原亭 /nr 2	 v, 一/m, 原亭/nr, 。/w], 
才去 /nr 2	  ，/w], [才去/nr, 偷/v, 遗
里派 /nr 2	 , [“/w, 里派/nrj, 的/ude
苍介先 /nr 2	 [”/w], [苍介先/nr, 介绍/v, 
江要深 /nr 1	 , 奈/vg, 江要深/nr, 许多/m, 
白天时 /nr 1	 , 与/cc, 白天时/nr, 不同/a, 
表派 /nr 1	 是/vshi, 表派/nrj, 。/w],
连应 /nr 1	 是/vshi, 连应/nr, 一/m, 声
好遥远 /nr 1	 , 感觉/n, 好遥远/nrj, 。/w],
路劲 /nr 1	 的/ude1, 路劲/nr, 。/w], 
小林女士 /nr 1	  ，/w], [小林女士/nrj, 。/w],
齐也 /nr 1	 , 没到/v, 齐也/nr, 不/d, 可
布后 /nr 1	 , 一块/s, 布后/nr, 抽出来/l,
有我知道由香 /nr 1	 d, 只/d, 有我知道由香/nrj, 的/ude
江会 /nr 1	 , 奈/vg, 江会/nr, 说/v, 的
江只 /nr 1	 , 奈/vg, 江只/nr, 看到/v, 
高野陪 /nr 1	 , 叫/vi, 高野陪/nr, 我/rr, 
那张 /nr 1	 着/uzhe, 那张/nr, 土黄色/n,
怀石 /nr 1	 , 西洋/n, 怀石/nr, 料理/v, 
本间太太 /nr 1	 w, “/w, 本间太太/nrj, 在家/vi
来厨房 /nr 1	 , 她/rr, 来厨房/nrj, ，/w],
才问 /nr 1	  我们/rr, 才问/nr, 附近/f, 
高野在 /nr 1	 的/ude1, 高野在/nr, 地图/n, 
和二郎 /nr 1	 , 我/rr, 和二郎/nrj, 的/ude
高野边 /nr 1	 , [”/w, 高野边/nr, 说/v, 边
刚经曜 /nr 1	 , [”/w, 刚经曜/nr, 子/ng, 
满想 /nr 1	 r, 还/d, 满想/nr, 知道/v, 
各旅馆 /nr 1	 着/uzhe, 各旅馆/nrj, 的/ude
都快 /nr 1	 , 心脏/n, 都快/nr, 停止/v, 
常去 /nr 1	  。/w], [常去/nr, 的/ude1
江闻言 /nr 1	 , 奈/vg, 江闻言/nr, ，/w], 
进由香 /nr 1	 n, 溜/v, 进由香/nrj, 的/ude
入由香 /nr 1	 , 潜/vg, 入由香/nrj, 的/ude
连直 /nr 1	 , [就/d, 连直/nr, 之/uzhi
涂得 /nr 1	 被/pbei, 涂得/nr, 无法/v, 
