斋藤 /nr 84	 , 名叫/v, 斋藤/nr, 。/w], 
古川 /nr 44	 主任/nnt, 古川/nr, 巡查/vn,
高仓 /nr 39	 , 叫做/v, 高仓/nr, 。/w], 
福泽 /nr 36	 主任/nnt, 福泽/nrf, 巡查/vn
真智子 /nr 33	 , 名叫/v, 真智子/nrj, 的/ude
靖子 /nr 13	 [”/w], [靖子/nr, 把/pba,
昌枝 /nr 12	  久/a], [昌枝/nr, ”/w, 。
东野圭吾 /nr 11	 b, ]/w, 东野圭吾/nrj], [羊恩/
友野 /nr 11	 , [”/w, 友野/nr, 指着/v, 
福原映子 /nr 10	 , 名叫/v, 福原映子/nrj, ，/w],
佐原先生 /nr 7	 是/vshi, 佐原先生/nrj, 的/ude
太田 /nr 6	  。/w], [太田/nr, 就/d, 像
那名 /nr 6	 w, “/w, 那名/nr, 主角/nnt
筱田一 /nr 5	 [”/w], [筱田一/nrj, 脸/n, 
福原小姐 /nr 5	 , [“/w, 福原小姐/nrj, ，/w],
那张 /nr 4	 , 一下/m, 那张/nr, 名单/n, 
才好 /nr 4	 , 证词/n, 才好/nr, ，/w], 
小林 /nr 4	 , 名叫/v, 小林/nr, ，/w], 
深泽伸一 /nr 4	 [2/m], [深泽伸一/nrj, 意识到/v
中野先生 /nr 4	  ，/w], [中野先生/nrj, ……/w]
古川一 /nr 4	 [”/w], [古川一/nrj, 边/k, 
西玛 /nr 3	 的/ude1, 西玛/nr, 的/ude1
前村先生 /nr 3	 , 叫/vi, 前村先生/nrj, 吧/y, 
深泽一 /nr 3	 [”/w], [深泽一/nrj, 股/q, 
斋藤和 /nr 3	 , [”/w, 斋藤和/nr, 久/a, 依
刚从 /nr 3	 是/vshi, 刚从/nr, 红灯/n, 
金泽问 /nr 3	 , [”/w, 金泽问/nr, 。/w], 
那起 /nr 3	  把/pba, 那起/nr, 事故/n, 
余光 /nr 3	 , 在用/b, 余光/nr, 寻找/v, 
车后 /nr 3	 , 或是/c, 车后/nr, 。/w], 
车也 /nr 3	 的/ude1, 车也/nr, 大大咧咧/z
深泽心 /nr 3	  ？/w], [深泽心/nrj, 想/v, 
斋藤刑警 /nr 3	 [”/w], [斋藤刑警/nrj, 问道/vi
周三和 /nr 3	 , 上周/t, 周三和/nr, 周五/t, 
那男 /nr 3	 , [“/w, 那男/nr, 的/ude1
田所 /nr 3	 s, 、/w, 田所/nr, 两/m, 位
金田刑警 /nr 3	 的/ude1, 金田刑警/nrj, 和/cc,
才对 /nr 2	 a, 些/q, 才对/nr, 啊/y, ？
那要 /nr 2	 , [“/w, 那要/nr, 不/d, 一
车就 /nr 2	 的/ude1, 车就/nr, 立刻/d, 
羊恩 /nr 2	 /nrj], [羊恩/nr, 媺/w, 译
丸山一 /nr 2	  ，/w], [丸山一/nrj, 脸/n, 
照亮了 /nr 2	  ，/w], [照亮了/nrj, 车内/s,
和田 /nr 2	 [金田/ns, 和田/nr, 所/usuo
付车 /nr 2	 v, 原/b, 付车/nr, （/w, 译
方是位 /nr 2	 v, 对/p, 方是位/nr, 部长/nnt
真智子一 /nr 2	  ，/w], [真智子一/nrj, 脸/n, 
织田心 /nr 2	  。/w], [织田心/nrj, 想/v, 
全书中 /nr 2	 是/vshi, 全书中/nr, 唯一一/b,
都是 /nr 2	  交规/nz, 都是/nr, 先为/d, 
卡多拉斯 /nr 2	 侦探/nnd, 卡多拉斯/nrf, （/w, 
那所 /nr 2	 r, 在/p, 那所/nr, 单位/n, 
原昭一 /nr 2	 c, 荻/n, 原昭一/nr, 最后/f, 
古川也 /nr 2	  [同时/c, 古川也/nr, “/w, 哦
河合 /nr 2	 , [“/w, 河合/nrf, 町/n, 
那孩子 /nr 2	 , [“/w, 那孩子/nr, 从来/d, 
朝一 /nr 2	 n, 扭/v, 朝一/nrj, 旁/f, 
那条路 /nr 2	 r, 走/v, 那条路/nr, 的/ude1
中井春美 /nr 2	 , 租用/v, 中井春美/nrj, 旁边/f,
古川却 /nr 2	 的/ude1, 古川却/nr, 疑惑/vn,
那本 /nr 2	  了/ule, 那本/nr, 导游/nnt
计速器 /nr 2	  。/w], [计速器/nr, 的/ude1
东名 /nr 2	 , 驶入/v, 东名/nr, 高速/b, 
古种 /nr 1	 [”/w], [古种/nr, 睁/v, 圆
太田吉男 /nr 1	 , 名叫/v, 太田吉男/nrj, ，/w],
车就停 /nr 1	 的/ude1, 车就停/nr, 在/p, 那
太田猛 /nr 1	  ，/w], [太田猛/nrj, 地/ude
都想来 /nr 1	 论如何/dl, 都想来/nr, 看/v, 一
向井家 /nr 1	 d, 给/p, 向井家/nr, 打了个/n,
原真 /nr 1	 , [福/n, 原真/nr, 智子/nz,
连三上 /nr 1	 , [就/d, 连三上/nr, 也/d, 无
那只 /nr 1	 , [“/w, 那只/nr, 空罐/nz,
纪是 /nr 1	  [友/ng, 纪是/nr, 小奈穗/nr
金泽却 /nr 1	  ，/w], [金泽却/nr, 看着/v, 
贵先生 /nr 1	 , 文/ng, 贵先生/nr, 吧/y, ？
井太太 /nr 1	 , 石/ng, 井太太/nrj, 您/rr,
刚开 /nr 1	 [”/w], [刚开/nr, 出去/vf,
方长 /nr 1	 v, 对/p, 方长/nr, 什么/ry,
那就先 /nr 1	 e, “/w, 那就先/nr, 这样/rzv
米便 /nr 1	 d, 数/n, 米便/nr, 设/v, 有
连看都 /nr 1	 a, 就/d, 连看都/nr, 不/d, 看
昌枝早 /nr 1	  ，/w], [昌枝早/nr, 去向/n, 
小奈穗 /nr 1	  纪是/nr, 小奈穗/nrj, 两/m, 
车就很 /nr 1	  [但是/c, 车就很/nr, 可怜/v, 
薄露 /nr 1	 , 那么/c, 薄露/nr, 的/ude1
钱也 /nr 1	 的/ude1, 钱也/nr, 是/vshi
靖子冲 /nr 1	 着/uzhe, 靖子冲/nr, 好/a, 的
石井太太 /nr 1	 , [“/w, 石井太太/nrj, ，/w],
世良让 /nr 1	  。/w], [世良让/nrj, 望月/n,
劳两位 /nr 1	 有/vyou, 劳两位/nr, 了/ule,
古川望 /nr 1	 [”/w], [古川望/nrj, 着/uzh
江户川乱步 /nr 1	 m, 届/q, 江户川乱步/nrj, 赏/v, 
下一步 /nr 1	  了/ule, 下一步/nrj, 自己/rr
四角礼 /nr 1	 的/ude1, 四角礼/nrj, 盒/ng,
男事务员 /nr 1	 的/ude1, 男事务员/nr, 一/m, 改
有我太太 /nr 1	 1, 只/d, 有我太太/nrj, 而已/y,
那群人 /nr 1	 的/ude1, 那群人/nr, 了/ule,
绿灯了 /nr 1	 是/vshi, 绿灯了/nrj, ，/w],
全堆 /nr 1	  [行李/n, 全堆/nr, 在/p, 后
阵内瞬 /nr 1	 [”/w], [阵内瞬/nrj, 介/vg,
