石神 /nr 657	  。/w], [石神/nr, 看到/v, 
汤川 /nr 436	  。/w], [汤川/nr, 戴/v, 上
靖子 /nr 404	  。/w], [靖子/nr, 的/ude1
花冈靖子 /nr 80	 e, “/w, 花冈靖子/nrj, ”/w, 
花冈小姐 /nr 32	 , [“/w, 花冈小姐/nrj, 。/w],
工藤先生 /nr 28	 , [“/w, 工藤先生/nrj, ，/w],
江户川 /nr 25	 , 朝/tg, 江户川/nr, 区/n, 的
富坚 /nr 23	 的/ude1, 富坚/nrj, ，/w],
慎二 /nr 19	 , 坚/ng, 慎二/nr, 结婚/vi,
花冈 /nr 19	 是/vshi, 花冈/nr, 。/w], 
小代子 /nr 18	 , 妻子/n, 小代子/nrj, 。/w],
富坚先生 /nr 17	 , [“/w, 富坚先生/nrj, 过世/v,
石神先生 /nr 15	  。/w], [石神先生/nrj, 。/w],
杉村园子 /nr 15	 e, “/w, 杉村园子/nrj, ”/w, 
花冈靖 /nr 13	 , 和/cc, 花冈靖/nr, 子/ng, 
汤川学 /nr 12	 [”/w], [汤川学/nrj, 百无聊赖/
常磐 /nr 12	 究生/nnt, 常磐/nr, 。/w], 
玛丽安 /nr 11	 e, “/w, 玛丽安/nrf, 酒廊/nf
物理学 /nr 11	 , 天才/n, 物理学/nrj, 家/q, 
田川 /nr 10	 , 隅/ng, 田川/nr, ，/w], 
马克杯 /nr 9	 的/ude1, 马克杯/nr, ，/w], 
靖子想 /nr 9	  ，/w], [靖子想/nr, ，/w], 
森冈 /nr 8	  [而/cc, 森冈/nr, ，/w], 
才会 /nr 8	  ，/w], [才会/nr, 待/vi, 
才对 /nr 8	 , 说出/v, 才对/nr, 。/w], 
美里一 /nr 7	  。/w], [美里一/nrj, 脸/n, 
达摩 /nr 7	 是/vshi, 达摩/nrf, 石神/nr
坚慎 /nr 7	 , 富/vg, 坚慎/nr, 二/m, 遇
花冈靖子小姐 /nr 7	 是/vshi, 花冈靖子小姐/nrj, 吗/y, 
黎曼 /nr 6	 p, ‘/w, 黎曼/nr, 假说/n, 
汤川一 /nr 6	  ，/w], [汤川一/nrj, 边/k, 
靖子在 /nr 6	 , 包括/v, 靖子在/nr, 内/f, 共
多斯 /nr 6	 i, 厄/b, 多斯/nrf, 的/ude
瑞江 /nr 6	 n, 到/v, 瑞江/nr, 车站/n, 
山边曜子 /nr 6	  。/w], [山边曜子/nrj, 是/vsh
石神一 /nr 5	 v, 陪/v, 石神一/nrj, 起/vf,
草薙刑警 /nr 5	  ？/w], [草薙刑警/nrj, ……/w]
靖子叹 /nr 4	 [”/w], [靖子叹/nr, 了/ule,
才来买 /nr 4	 , 店里/n, 才来买/nr, 便当/a, 
靖子正 /nr 4	  ，/w], [靖子正/nr, 在/p, 招
富坚一 /nr 4	  ，/w], [富坚一/nrj, 边/k, 
草薙先生 /nr 4	 , [“/w, 草薙先生/nrj, ，/w],
清洲 /nr 4	 , 沿着/p, 清洲/nr, 桥路/nz,
那你 /nr 4	 , [“/w, 那你/nr, 就/d, 自
清洲桥 /nr 4	 v, 向/p, 清洲桥/nr, 。/w], 
和靖子 /nr 4	 f, 再/d, 和靖子/nrj, 说/v, 
那张 /nr 3	 z, 坐/v, 那张/nr, 双人/b, 
那起 /nr 3	  了/ule, 那起/nr, 命案/n, 
可可 /nr 3	 , 杯/ng, 可可/nrf, 。/w],
靖子站 /nr 3	 [”/w], [靖子站/nr, 起来/vf,
披萨 /nr 3	 v, 买/v, 披萨/nrf, ，/w],
刚买 /nr 3	  上个月/t, 刚买/nr, 那辆车/n,
向靖子 /nr 3	 2, 转/v, 向靖子/nrj, 。/w],
靖子很 /nr 3	 , [”/w, 靖子很/nr, 困惑/an,
都是 /nr 3	 r, 也/d, 都是/nr, 这样/rzv
才来 /nr 3	  委托/vn, 才来/nr, 的/ude1
靖子一 /nr 3	  。/w], [靖子一/nr, 看/v, 工
靖子才 /nr 3	  ，/w], [靖子才/nr, 知道/v, 
那孩子 /nr 3	 , 去找/v, 那孩子/nr, 。/w], 
那对 /nr 3	 , 查出/v, 那对/nr, 母女/n, 
汤川笑 /nr 3	 , [”/w, 汤川笑/nrj, 着/uzh
石神心 /nr 3	 [”/w], [石神心/nrj, 头/n, 
都得 /nr 2	 管怎样/dl, 都得/nr, 把/pba,
过靖 /nr 2	 f, 找/v, 过靖/nr, 子/ng, 
回笑容 /nr 2	 z, 收/v, 回笑容/nrj, 肃然/z,
久等了 /nr 2	 , 你/rr, 久等了/nrj, 。/w],
汤川可 /nr 2	  。/w], [汤川可/nrj, 不管/c,
哈肯 /nr 2	  ./w], [哈肯/nrf, ，/w],
伽利略 /nr 2	  ，/w], [伽利略/nrf, 大师/nn
小岸 /nr 2	 , [“/w, 小岸/nr, ，/w], 
花冈靖子和美 /nr 2	 , ——/w, 花冈靖子和美/nrj, 里/f, 
靖子点 /nr 2	 i, 对/p, 靖子点/nr, 个头/n, 
靖子也 /nr 2	  [据说/v, 靖子也/nr, 和/cc, 
高中教 /nr 2	 的/ude1, 高中教/nr, 数学/n, 
欧吉桑 /nr 2	 [那个/rz, 欧吉桑/nr, 也/d, 等
实香 /nr 2	 告诉他/nz, 实香/nr, 的/ude1
靖子回 /nr 2	 [”/w], [靖子回/nr, 视/vg, 
名刑警 /nr 2	  这/rzv, 名刑警/nrj, ，/w],
门链 /nr 2	 v, 上/f, 门链/nr, ，/w], 
冈靖子 /nr 2	 , “/w, 花冈靖子/nrj, ”/w, 
石神朝 /nr 2	 , [”/w, 石神朝/nr, 她/rr, 
靖子手 /nr 2	  。/w], [靖子手/nr, 撑着/v, 
起靖子 /nr 2	 , 扮演/v, 起靖子/nrj, 的/ude
靖子和 /nr 2	  [看来/v, 靖子和/nr, 工藤/nz,
当刑警 /nr 2	 [这些/rz, 当刑警/nrj, 的/ude
玛莉安 /nr 2	 e, “/w, 玛莉安/nrf, ”/w, 
靖子先 /nr 2	 , [”/w, 靖子先/nr, 垂下/v, 
琦玉 /nr 2	 s, 或/c, 琦玉/nr, 的/ude1
阿佩尔 /nr 2	  ./w], [阿佩尔/nrf, 和/cc,
明先生 /nr 2	 , 邦/ng, 明先生/nr, 是/vshi
靖子来 /nr 2	 c, 对/p, 靖子来/nr, 说/v, ，
住靖子 /nr 2	 g, 抓/v, 住靖子/nrj, 的/ude
才要 /nr 2	  ，/w], [才要/nr, 制造/vn,
草薙心 /nr 2	  。/w], [草薙心/nrj, 想/v, 
那可 /nr 2	 , [“/w, 那可/nr, 难说/v, 
才会来 /nr 2	 , 有事/v, 才会来/nr, 。/w], 
靖子问 /nr 2	 , [”/w, 靖子问/nr, 。/w], 
靖子就 /nr 2	  ，/w], [靖子就/nr, 说/v, 了
连那 /nr 2	  我们/rr, 连那/nr, 孩子/n, 
安心了 /nr 2	 r, 就/d, 安心了/nrj, 。/w],
