刚志 /nr 178	  。/w], [刚志/nr, 决心/n, 
朝美 /nr 72	 叫/vi, 中条朝美/nrj, 。/w],
贵想 /nr 50	 , [直/d, 贵想/nr, 闭上眼睛/n
武岛 /nr 47	 , [“/w, 武岛/nr, 要是/c, 
绪方 /nr 41	 , 叫/vi, 绪方/nr, 的/ude1
贵君 /nr 28	 , [直/d, 贵君/nr, ，/w], 
贵说 /nr 24	 v, 直/d, 贵说/nr, 点/qt, 
幸田 /nr 24	 鼓手/nnt, 幸田/nr, 容易/ad,
武岛刚志 /nr 16	  。/w], [武岛刚志/nrj], [直/d
武岛君 /nr 13	  。/w], [武岛君/nr, 在/p, 这
卡拉 /nr 12	 /ulian, 卡拉/nrf, OK/nx
贵也 /nr 12	 , [直/d, 贵也/nr, 排到/v, 
贵看 /nr 12	 , [直/d, 贵看/nr, 了/ule,
古川 /nr 11	 , 叫/vi, 古川/nr, 的/ude1
寺尾祐 /nr 11	  。/w], [寺尾祐/nrj, 辅/vg,
贵问 /nr 10	 f, 直/d, 贵问/nr, 过/uguo
拉门 /nr 10	 , 打开/v, 拉门/nrf, ，/w],
白石由实子 /nr 9	  ，/w], [白石由实子/nrj, 。/w],
贵去 /nr 9	 , [直/d, 贵去/nr, 了/ule,
中条朝美 /nr 9	 , 叫/vi, 中条朝美/nrj, 。/w],
加津子 /nr 9	  ，/w], [加津子/nrj, 才/d, 
都是 /nr 9	 的/ude1, 都是/nr, 将来/t, 
京子 /nr 8	 /w], [中条京子/nrj, 。/w],
贵还 /nr 8	 , [直/d, 贵还/nr, 小记/n, 
和健一 /nr 8	 g, 志/n, 和健一/nrj, 赶紧/d,
贵又 /nr 7	 v, 直/d, 贵又/nr, 觉得/v, 
绪方家 /nr 7	  了/ule, 绪方家/nr, 的/ude1
贵从 /nr 6	 , [直/d, 贵从/nr, 学校/nis
和由实子 /nr 6	 n, 只/d, 和由实子/nrj, 对视/vi
纪姑娘 /nr 5	  [实/ad, 纪姑娘/nr, 的/ude1
贵并 /nr 5	 , [直/d, 贵并/nr, 没有/v, 
贵刚 /nr 5	 c, 直/d, 贵刚/nr, 上/f, 小
贵一 /nr 5	 , [直/d, 贵一/nr, 说/v, ，
贵跟 /nr 5	 , [直/d, 贵跟/nr, 在/p, 后
根津先生 /nr 5	  ，/w], [根津先生/nrj, ，/w],
和朝美 /nr 5	 n, 都/d, 和朝美/nrj, 见面/vi
贵要 /nr 4	 , [直/d, 贵要/nr, 被/pbei
刚志想 /nr 4	  。/w], [刚志想/nr, 是不是/v,
刚说 /nr 4	  。/w], [刚说/nr, 现在/t, 
贵正在 /nr 4	 , [直/d, 贵正在/nr, 家里/s, 
安藤 /nr 4	  [叫/vi, 安藤/nr, 。/w], 
贵有 /nr 4	 c, 直/d, 贵有/nr, 更深/d, 
刚志来 /nr 4	 , [对/p, 刚志来/nr, 说/v, 真
列侬 /nr 4	 shi, 约翰·列侬/nrf, （/w, 
谷家 /nr 4	 w, 町/n, 谷家/nr, 媳妇/n, 
贵都 /nr 4	 p, 直/d, 贵都/nr, 是/vshi
绪方先生 /nr 4	  ，/w], [绪方先生/nrj, ，/w],
福本 /nr 4	 , 叫/vi, 福本/nr, 的/ude1
贵一问 /nr 3	 , [直/d, 贵一问/nr, ，/w], 
贵只 /nr 3	 , [直/d, 贵只/nr, 对/p, 老
贵用 /nr 3	 v, 直/d, 贵用/nr, 。/w], 
葛西 /nr 3	 , 叫作/v, 葛西/nr, 阳光/n, 
武岛先生 /nr 3	 , [“/w, 武岛先生/nrj, ，/w],
贵清楚 /nr 3	 , [直/d, 贵清楚/nr, 地/ude2
那好 /nr 3	 , [“/w, 那好/nr, ，/w], 
起刚志 /nr 3	 d, 想/v, 起刚志/nrj, 作案/vi
都是直 /nr 3	 , 杂事/n, 都是直/nr, 贵/a, 的
刚志站 /nr 3	  ，/w], [刚志站/nr, 了/ule,
贵就 /nr 3	 f, 直/d, 贵就/nr, 没有/v, 
大学节 /nr 3	 , 秋天/t, 大学节/nrj, 上照/v,
那件 /nr 3	  了/ule, 那件/nr, 蠢事/n, 
纪也 /nr 3	 , 实/ad, 纪也/nr, 看到/v, 
纪去 /nr 3	 , 着实/d, 纪去/nr, 散散步/n,
有信心 /nr 2	  ，/w], [有信心/nrj, 的/ude
全完了 /nr 2	 e, 就/d, 全完了/nrj, ，/w],
原想 /nr 2	  [他/rr, 原想/nr, 也许/d, 
大胡子 /nr 2	 被/pbei, 大胡子/nrj, 店长/nn
朝美在 /nr 2	 , 那天/r, 朝美在/nr, 关门/vi,
贵才 /nr 2	 , [直/d, 贵才/nr, 三/m, 岁
贵也没 /nr 2	 , [直/d, 贵也没/nr, 打算/v, 
绪方敏江 /nr 2	 [受害者/n, 绪方敏江/nrj, ，/w],
绪方女士 /nr 2	 n, 将/d, 绪方女士/nrj, 刺死/v,
贵大 /nr 2	 p, 直/d, 贵大/nr, 好多/mq,
那事 /nr 2	 , [“/w, 那事/nr, 啊/y, ！
纪会 /nr 2	 , 实/ad, 纪会/nr, 走路/vi,
挂上了 /nr 2	 , 电话/n, 挂上了/nrj, 。/w],
都说 /nr 2	  。/w], [都说/nr, 想听/v, 
那一天 /nr 2	 , [“/w, 那一天/nr, 到来/vi,
贵又摇 /nr 2	 w, 直/d, 贵又摇/nr, 了/ule,
贵吐 /nr 2	 w, 直/d, 贵吐/nr, 了/ule,
纪说 /nr 2	 , 实/ad, 纪说/nr, ：/w, “
新加坡斯林 /nr 2	 v, 要/v, 新加坡斯林/nrf, 吧/y, 
那对 /nr 2	 v, 级/q, 那对/nr, 不/d, 起
纪是 /nr 2	  [实/ad, 纪是/nr, 独生女/n,
贵君也 /nr 2	 , [直/d, 贵君也/nr, 听音乐/nz
朝美问 /nr 2	 , [”/w, 朝美问/nr, 。/w], 
和由实子一 /nr 2	  [开始/v, 和由实子一/nrj, 起/vf,
贵对 /nr 2	 , [直/d, 贵对/nr, 大学/nis
石神 /nr 2	 , 和/cc, 石神/nr, 井/n, 的
贵也很 /nr 2	 , [直/d, 贵也很/nr, 小心/a, 
贵靠 /nr 2	 v, 直/d, 贵靠/nr, 自己/rr,
寺尾笑 /nr 2	 , [”/w, 寺尾笑/nrj, 着/uzh
幸田一 /nr 2	 [”/w], [幸田一/nrj, 说/v, 
纪从 /nr 2	  [实/ad, 纪从/nr, 洗手间/n,
