晃彦 /nr 348	 , 叫/vi, 晃彦/nr, 。/w], 
须贝 /nr 113	 社长/nnt, 须贝/nr, 正清/nz,
亚耶 /nr 107	 , [∞/w, 亚耶/nrf, 子/ng,
壮介 /nr 82	 [．/w], [壮介/nr, 被/pbei
竹勇作 /nr 66	  ?/w], [竹勇作/nrj, 问/v, 
瓜生晃彦 /nr 37	 , [“/w, 瓜生晃彦/nrj, 啊/y, 
竹美佐子 /nr 34	  。/w], [竹美佐子/nrj, 也/d, 
竹晃彦 /nr 27	  。/w], [竹晃彦/nrj, 回答/v,
兴司 /nr 27	 , 父亲/n, 兴司/nr, 是/vshi
竹亚耶子 /nr 19	  ?/w], [竹亚耶子/nrj, 问道/vi
须贝先生 /nr 19	 w, 对/p, 须贝先生/nrj, 而言/ul
早苗小姐 /nr 13	 , [“/w, 早苗小姐/nrj, 的/ude
名刑警 /nr 10	 w, 一/m, 名刑警/nrj, 发出/v,
和勇作 /nr 10	 i, 个/q, 和勇作/nrj, 年纪/n,
那起 /nr 8	  调查/vn, 那起/nr, 命案/n, 
池本 /nr 8	 , 拜托/v, 池本/nr, 他们/rr,
瓜生派 /nr 8	  ，/w], [瓜生派/nrj, 和/cc,
席德 /nr 8	 , 叫/vi, 席德/nrf, 的/ude
和园子 /nr 8	 [弘昌/nz, 和园子/nrj, 也/d, 
竹园子 /nr 7	  ?/w], [竹园子/nrj, 露出/v,
保时捷 /nr 7	 的/ude1, 保时捷/nrf, ，/w],
和仓勇作 /nr 7	  。/w], [和仓勇作/nrj, 看着/v,
尾藤先生 /nr 7	  ，/w], [尾藤先生/nrj, ，/w],
上原伸一 /nr 6	 院长/nnt, 上原伸一/nrj, 。/w],
高久 /nr 6	 g, 藤/n, 高久/nr, 。/w], 
福井 /nr 6	 , 名叫/v, 福井/nrf, 的/ude
那本 /nr 6	 , [到/v, 那本/nr, 资料夹/nz
向勇作 /nr 5	  上原/ns, 向勇作/nrj, 介绍/v,
须贝家 /nr 5	 , 去/vf, 须贝家/nr, 一/m, 趟
才会 /nr 5	  ，/w], [才会/nr, 强行/d, 
前田教授 /nr 5	 的/ude1, 前田教授/nrj, 很熟/a,
向美佐子 /nr 4	 r, 先/d, 向美佐子/nrj, 搭话/vi
那件 /nr 4	 , 和/cc, 那件/nr, 事情/n, 
江岛先生 /nr 4	 自从/p], [江岛先生/nrj, 来/vf,
和亚耶子 /nr 4	 , 子/ng, 和亚耶子/nrj, 交换/v,
织田一 /nr 4	 ["/w], [织田一/nrj, 介绍/v,
和晃彦 /nr 4	  自己/rr, 和晃彦/nrj, 的/ude
须贝派 /nr 4	 , 和/cc, 须贝派/nr, 几乎/d, 
为美佐子 /nr 3	 主任/nnt, 为美佐子/nrj, 引见/v,
方式之 /nr 3	  操作/vn, 方式之/nr, 研究/vn]
相马教授 /nr 3	 学院/nis, 相马教授/nrj, 、/w, 
正中央 /nr 3	 国字脸/nz, 正中央/nrj, ，/w],
边问 /nr 3	 , 晚报/n, 边问/nr, ：/w], 
须贝正 /nr 3	 n, 以/p, 须贝正/nr], [清/tg
明和 /nr 3	 , [直/d, 明和/nr, 平常/a, 
升勇作 /nr 3	  ?/w], [升勇作/nrj, 问/v, 
明先生 /nr 3	 w, 直/d, 明先生/nr, 也/d, 搜
竹勇作一 /nr 3	  。/w], [竹勇作一/nrj, 脸/n, 
带勇作 /nr 3	  [他/rr, 带勇作/nrj, 去/vf,
拉门 /nr 3	  [隔着/v, 拉门/nrf, ，/w],
当勇作 /nr 3	  。/w], [当勇作/nrj, 带着/vn
边说 /nr 3	 , 子/ng, 边说/nr, 。/w], 
竹中 /nr 3	  ?/w], [竹中/nr, 里/f, 又
长子晃彦 /nr 3	  了/ule, 长子晃彦/nrj, 。/w],
少夫人 /nr 3	 , [“/w, 少夫人/nr, ……/w],
瓜生先生 /nr 3	 是/vshi, 瓜生先生/nrj, 的/ude
令勇 /nr 2	 c, 却/d, 令勇/nr], [作/v,
那是 /nr 2	 , 认为/v, 那是/nr, 浑话/nz,
张开嘴 /nr 2	 , 半/mq, 张开嘴/nr, 。/w], 
力美佐子 /nr 2	  。/w], [力美佐子/nrj, 带/v, 
念高中 /nr 2	 d, 在/p, 念高中/nr, 的/ude1
须贝知道 /nr 2	 v, 让/v, 须贝知道/nrj, 目前/t]
末永教授 /nr 2	 学院/nis, 末永教授/nrj, ，/w],
章绳 /nr 2	 [第一/mq, 章绳/nr], [45/m
来问 /nr 2	 , 我/rr, 来问/nr, 明天/t, 
才好 /nr 2	 , 解释/v, 才好/nr, 。/w], 
高二 /nr 2	 g, 念/v, 高二/nr, 时/qt, 
和仓先生 /nr 2	 , [“/w, 和仓先生/nrj, 来/vf,
莫扎特 /nr 2	  都将/nr, 莫扎特/nrf, 的/ude
白考 /nr 2	 是/vshi, 白考/nr, 。/w], 
挂上了 /nr 2	 , [便/d, 挂上了/nrj, 话筒/n,
出美佐子 /nr 2	  浮现/vi, 出美佐子/nrj, 困惑/an
生晃彦 /nr 2	  瓜/n], [生晃彦/nrj, 。/w],
和澄江小姐 /nr 2	 的/ude1, 和澄江小姐/nrj, 交给/v,
儿子俊 /nr 2	 和/cc], [儿子俊/nrj, 和/cc,
闻言 /nr 2	  [织田/n, 闻言/nr, 重重地/z,
惠也 /nr 2	  [行/ng, 惠也/nr, 走/v, 了
才说 /nr 2	 一会儿/mq, 才说/nr, ：/w], 
安地问 /nr 2	 t, 不/d, 安地问/nr, ：/w], 
住勇作 /nr 2	 , 叫/vi, 住勇作/nrj, ，/w],
