利彦 /nr 48	 的/ude1, 利彦/nr, 直视/vn,
孝三 /nr 47	 着/uzhe, 孝三/nr, 的/ude1
阳助 /nr 44	 , 场/qv, 阳助/nr, 的/ude1
玉枝 /nr 39	 佣人/nnd, 玉枝/nr, 一同/d, 
田宫 /nr 37	 , 前辈/n, 田宫/nr, 警官/nnt
阿部 /nr 35	 , 叫/vi, 阿部/nr, 。/w], 
真锅 /nr 33	 是/vshi, 真锅/nr, 夫人/n, 
智男 /nr 23	 阿部佐/nr, 智男/nr, 的/ude1
武藤 /nr 13	  ，/w], [武藤/nr, 指着/v, 
阿部佐 /nr 12	 , 先生/n, 阿部佐/nr, 智男/nr,
真锅先生 /nr 12	 , [“/w, 真锅先生/nrj, 没有/v,
笠井 /nr 11	 z, 使/v, 笠井/nr, 不由得/d,
公一 /nr 11	 , [在/p, 公一/nr, 离开/v, 
阿部先生 /nr 10	 , 和/cc, 阿部先生/nrj, 都/d, 
古川 /nr 8	 [”/w], [古川/nr, 昌/ag, 
中野修 /nr 8	 , 叫/vi, 中野修/nrj, 的/ude
的场妙子 /nr 7	 是/vshi, 的场妙子/nrj, 的/ude
小村刑警 /nr 5	  [对于/p, 小村刑警/nrj, 的/ude
真锅秋子 /nr 5	 , [“/w, 真锅秋子/nrj, ，/w],
厚子 /nr 4	 , 叫/vi, 厚子/nr, 的/ude1
的场先生 /nr 4	 , 根据/p, 的场先生/nrj, 的话/ud
古川昌 /nr 4	 , 叫/vi, 古川昌/nr, 子/ng, 
真纪枝 /nr 3	 , 妹妹/n, 真纪枝/nr, 直白/a, 
田中 /nr 3	 2, 向/p, 田中/nr, 医生/nnt
山上孝 /nr 3	 [”/w], [山上孝/nrj, 三/m, 
田宫和 /nr 3	  。/w], [田宫和/nr, 真田/n, 
松本 /nr 3	 是/vshi, 松本/nr, ，/w], 
名刑警 /nr 3	 n, 两/m, 名刑警/nrj, 就/d, 
和佐智 /nr 3	  秋子/nz, 和佐智/nrj, 男/b, 
的场妙子一 /nr 2	 , 妈妈/n, 的场妙子一/nrj, 个人/n,
和敦司 /nr 2	 , 子/ng, 和敦司/nrj, 不做声/n
代说 /nr 2	  [道/qv, 代说/nr, 发生/v, 
高田百合子小姐 /nr 2	 是/vshi, 高田百合子小姐/nrj, 。/w],
阳助叹 /nr 2	  。/w], [阳助叹/nr, 了/ule,
铃木小姐 /nr 2	  ，/w], [铃木小姐/nrj, 是/vsh
中山二郎 /nr 2	 , [”/w, 中山二郎/nrj, 连连/d,
孝三呢 /nr 2	 , 杀死/v, 孝三呢/nr, 。/w], 
纪枝 /nr 2	 n, 真/a, 纪枝/nr, ，/w], 
阿部芙美子 /nr 2	 d, 在/p, 阿部芙美子/nrj, 家/q, 
赤根 /nr 2	 就职/vi, 于赤根/nr, 工业/n, 
