康子 /nr 214	 v, 在/p, 康子/nr, 体内/s, 
桥本 /nr 210	 的/ude1, 桥本/nr, 。/w], 
仁科 /nr 129	  。/w], [仁科/nr, 是/vshi
仁科直树 /nr 68	 是/vshi, 仁科直树/nrj, 。/w],
宗方 /nr 64	  。/w], [宗方/nr, 是/vshi
敏树 /nr 54	 , 父亲/n, 敏树/nr, 是/vshi
末永 /nr 48	 r, 对/p, 末永/nr, 家/q, 原
雨宫康子 /nr 25	 v, 在/p, 雨宫康子/nrj, 身上/s,
仁科敏 /nr 23	  [遇见/v, 仁科敏/nr, 树对/nr,
星子小姐 /nr 20	  ！/w], [星子小姐/nrj, 从/p, 
仁科先生 /nr 17	 , 那位/r, 仁科先生/nrj, 啊/y, 
布鲁特斯 /nr 17	 
佐山心 /nr 16	 [”/w], [佐山心/nrj, 想/v, 
末永先生 /nr 15	 w, “/w, 末永先生/nrj, ，/w],
桥本先生 /nr 14	 , 关于/p, 桥本先生/nrj, 的/ude
笠井 /nr 13	 v, 做/v, 笠井/nr, 的/ude1
江署 /nr 13	 v, 狛/w, 江署/nr, 的/ude1
佐山一 /nr 13	  。/w], [佐山一/nrj, 提到/v,
中森弓绘 /nr 13	 [2/m], [中森弓绘/nrj, 自从/p,
金井 /nr 12	 是/vshi, 金井/nr, 对/p, 直
那起 /nr 11	 , [“/w, 那起/nr, 意外事故/n
仁科直 /nr 11	  [确定/v, 仁科直/nr, 树/n, 的
仁科家 /nr 11	 , 辅佐/v, 仁科家/nr, ”/w, 这
雨宫小姐 /nr 10	 , 这位/r, 雨宫小姐/nrj, 的/ude
末永拓也 /nr 9	 , [”/w, 末永拓也/nrj, 喃喃自语/
东野圭吾 /nr 9	  ：/w], [东野圭吾/nrj], [//w
桥本敦司 /nr 9	 的/ude1, 桥本敦司/nrj, 已经/d,
佐山将 /nr 9	  ？/w], [佐山将/nrj, 目光/n,
当拓也 /nr 8	  ，/w], [当拓也/nrj, 在/p, 
宗方先生 /nr 7	 , [“/w, 宗方先生/nrj, 是/vsh
那一天 /nr 7	 的/ude1, 那一天/nr, 。/w], 
佐山先生 /nr 7	 , [“/w, 佐山先生/nrj, 。/w],
保时捷 /nr 7	 , 白色/n, 保时捷/nrf, ，/w],
应道 /nr 6	 v, 也/d, 应道/nr, 。/w], 
树说 /nr 6	 , [直/d, 树说/nr, ：/w, “
田所 /nr 6	 的/ude1, 田所/nr, ，/w], 
郎说 /nr 6	  [悟/vg, 郎说/nr, ：/w, “
和康子 /nr 5	  [所以/c, 和康子/nrj, 发生/v,
欧吉桑 /nr 5	 的/ude1, 欧吉桑/nr, 。/w], 
沙织 /nr 5	 ude1, 长女沙织/nrj, 的/ude
和直树 /nr 5	 , 无论/c, 和直树/nrj, 建立/v,
树在 /nr 5	 w, 直/d, 树在/nr, 纸/n, 上
星子一 /nr 5	  了/ule, 星子一/nrj, 眼/n, 
名刑警 /nr 5	 z, 一/m, 名刑警/nrj, 说道/v,
桥本也 /nr 5	  [接着/c, 桥本也/nr, 一/m, 脸
谷口将 /nr 5	 [”/w], [谷口将/nr, 平常/a, 
光井芙美子 /nr 4	 的/ude1, 光井芙美子/nrj, 结婚/vi
向拓也 /nr 4	 , 出声/v, 向拓也/nrj, 打招呼/v
秋代 /nr 4	  中野/ns, 秋代/nr, 的/ude1
宗方伸一 /nr 4	  有关/vn, 宗方伸一/nrj, 的/ude
佐山刑警 /nr 4	 [”/w], [佐山刑警/nrj, 说话/vi
桥本和 /nr 4	 是/vshi, 桥本和/nr, 父亲/n, 
桥本都 /nr 4	 , 和/cc, 桥本都/nr, 沉默/a, 
永有 /nr 4	 , [末/f, 永有/nr, 不/d, 在
和拓也 /nr 4	  [他/rr, 和拓也/nrj, 隶属于/v
矢野刑警 /nr 4	 , [”/w, 矢野刑警/nrj, 问道/vi
树先生 /nr 4	 w], [仁科直树先生/nrj, 对/p, 
才行 /nr 4	  动手/vi, 才行/nr, 。/w], 
酒井悟郎 /nr 4	  。/w], [酒井悟郎/nrj, 和/cc,
桥本一 /nr 4	  了/ule, 桥本一/nrj, 眼/n, 
那张 /nr 4	 是/vshi, 那张/nr, 联署/v, 
宗方一 /nr 4	  了/ule, 宗方一/nrj, 眼/n, 
萩原先生 /nr 3	 , 除了/p, 萩原先生/nrj, 之外/f,
江户川乱步奖 /nr 3	 的/ude1, 江户川乱步奖/nrj, 。/w],
戴金框 /nr 3	 , 适合/v, 戴金框/nr, 眼镜/n, 
永说 /nr 3	 , [末/f, 永说/nr, 得/ude3
树从 /nr 3	 w, 直/d, 树从/nr, 文件夹/n,
安藤 /nr 3	 的/ude1, 安藤/nr, 副教授/nn
朝野朋子 /nr 3	 的/ude1, 朝野朋子/nrj, 。/w],
树对 /nr 3	 仁科敏/nr, 树对/nr, 自己/rr,
边说 /nr 3	 v, 也/d, 边说/nr, 边想/nz,
都是 /nr 3	  ，/w], [都是/nr, 在/p, 桥
当弓绘 /nr 3	  ？/w], [当弓绘/nrj, 想到/v,
宫田 /nr 3	 , 名叫/v, 宫田/nr, 的/ude1
和悟郎 /nr 3	  [她/rr, 和悟郎/nrj, 约/d, 
井家 /nr 3	 , [光/n, 井家/nr, 欢天喜地/v
树也 /nr 3	 , [直/d, 树也/nr, 不/d, 知
才是 /nr 3	  工作/vn, 才是/nr, 关键所在/n
郎将 /nr 3	 , 悟/vg, 郎将/nr, 双手/n, 
东名 /nr 3	 , [从/p, 东名/nr, 高速公路/n
才会 /nr 2	  ，/w], [才会/nr, 将/d, 直
向弓绘 /nr 2	 , 郎/ng, 向弓绘/nrj, 求婚/vi
有道理 /nr 2	 r, 没/d, 有道理/nrj, 向/p, 
常去 /nr 2	 t, 在/p, 常去/nr, 的/ude1
康子也 /nr 2	  [可见/c, 康子也/nr, 融入/v, 
伽利略 /nr 2	 侦探/nnd, 伽利略/nrf, 》/w, 
桥本了 /nr 2	  [轮到/v, 桥本了/nrj, 。/w],
关之原 /nr 2	 [8/m], [关之原/nr, 、/w, 小
谢谢你 /nr 2	 , [“/w, 谢谢你/nr, 。/w], 
令佐山 /nr 2	 n, 更/d, 令佐山/nr, 耿耿于怀/v
有野心 /nr 2	  [你/rr, 有野心/nrj, 是/vsh
和弓绘 /nr 2	  ，/w], [和弓绘/nrj, 对/p, 
佐山等 /nr 2	 [5/m], [佐山等/nrj, 到/v, 
那名 /nr 2	 , [”/w, 那名/nr, 高中同学/n
那本 /nr 2	 的/ude1, 那本/nr, 文件夹/n,
康子呢 /nr 2	 , 杀害/v, 康子呢/nr, ？/w], 
汤川学系 /nr 2	 , 及/cc, 汤川学系/nrj, 列/v, 
康子从 /nr 2	  。/w], [康子从/nr, 八/m, 个
郎又 /nr 2	 , 悟/vg, 郎又/nr, 说/v, 了
绿旅馆 /nr 2	 大阪/nsf, 绿旅馆/nrj, 预定/vn
