崇史 /nr 630	 /w], [敦贺崇史/nrj, 每周/r,
智彦 /nr 470	 /w], [三轮智彦/nrj, 身穿/v,
麻由子 /nr 462	  津野/nr, 麻由子/nr, ”/w], 
须藤 /nr 77	 , 叫/vi, 须藤/nr, 的/ude1
雅美 /nr 48	 叫/vi, 直井雅美/nrj, ，/w],
夏江 /nr 48	  ，/w], [夏江/nr, 停下/v, 
景子 /nr 25	 叫/vi, 桐山景子/nrj, 的/ude
桐山景子 /nr 19	 , 叫/vi, 桐山景子/nrj, 的/ude
伍郎 /nr 18	 , [“/w, 伍郎/nr, ？/w], 
和麻由子 /nr 16	 , 彦/ng, 和麻由子/nrj, 紧随其后/
崇史在 /nr 14	  。/w], [崇史在/nr, 下一站/nz
三轮智彦 /nr 13	  。/w], [三轮智彦/nrj, 身穿/v,
崇史想 /nr 11	  ？/w], [崇史想/nr, 。/w], 
津野 /nr 11	 是/vshi, 津野/nr, 麻由子/nr
崇史你 /nr 11	 , 联谊/b, 崇史你/nr, 就/d, 一
敦贺崇史 /nr 11	  ，/w], [敦贺崇史/nrj, 每周/r,
直井雅美 /nr 10	 , 叫/vi, 直井雅美/nrj, ，/w],
和崇史 /nr 8	 , 你/rr, 和崇史/nrj, 说/v, 
津野麻由子 /nr 8	 , 叫/vi, 津野麻由子/nrj, ，/w],
才对 /nr 8	 , 半夜/t, 才对/nr, 。/w], 
崇史问 /nr 8	 , [”/w, 崇史问/nr, 。/w], 
敦贺先生 /nr 7	  ，/w], [敦贺先生/nrj, 您/rr,
向智彦 /nr 7	  [我/rr, 向智彦/nrj, 送去/vf
京滨 /nr 7	 , 和/cc, 京滨/nr, 东北/ns,
弗雷德 /nr 6	 , 叫/vi, 弗雷德/nrf, ……/w]
智彦在 /nr 6	  [看到/v, 智彦在/nr, 窗边/nz,
崇史站 /nr 6	  。/w], [崇史站/nr, 在/p, 最
青地 /nr 5	 n, ”/w, 青地/nr, 说/v, ，
崇史也 /nr 5	 , 部分/n, 崇史也/nr, 有/vyou
崇史来 /nr 5	 , [对/p, 崇史来/nr, 说/v, ，
那你 /nr 5	 , [“/w, 那你/nr, 又/d, 怎
智彦问 /nr 4	  [期间/f, 智彦问/nr, 了/ule,
智彦那 /nr 4	 , 和/cc, 智彦那/nr, 副/b, 慌
麻由 /nr 4	  ，/w], [麻由/nr, 子端/n, 
