赖江 /nr 335	  仓田/nz, 赖江/nr, 冷冷地/z,
隆治 /nr 93	 , 希望/v, 隆治/nr, 看看/v, 
安浦 /nr 84	 q, 姓/v, 安浦/nr, 的/ude1
秋村 /nr 53	 是/vshi, 秋村/nr, 社长/nnt
曾我孝 /nr 27	 e, “/w, 曾我孝/nrj, 道/qv,
西崎 /nr 26	 , 同事/n, 西崎/nr, 一起/s, 
遥香 /nr 21	 , 女儿/n, 遥香/nr, 吃饭/vi,
水原雅也 /nr 19	  了/ule, 水原雅也/nrj, 的/ude
畑山彰子 /nr 19	  ，/w], [畑山彰子/nrj, 就/d, 
茂树 /nr 17	  仓田/nz, 茂树/nr, 是/vshi
中先生 /nr 17	  [浜/nz, 中先生/nrj, ，/w],
向井 /nr 14	 , [”/w, 向井/nr, 的/ude1
吉冈 /nr 14	 r, 姓/v, 吉冈/nrf, 。/w],
加藤一 /nr 13	 , [”/w, 加藤一/nrj, 边/k, 
中野亚实 /nr 12	 的/ude1, 中野亚实/nrj, 。/w],
菅原 /nr 12	 r, 姓/v, 菅原/nr, ，/w], 
曾我先生 /nr 12	 , [“/w, 曾我先生/nrj, ，/w],
阿安 /nr 11	 , 见过/v, 阿安/nr, 吗/y, ？
幸夫 /nr 10	 , 父亲/n, 幸夫/nr, 关系/n, 
曾我恭子 /nr 9	  。/w], [曾我恭子/nrj, 说/v, 
我妻子 /nr 9	 被/pbei, 我妻子/nrj, 处理/vn
向雅也 /nr 9	  挥拳/vi, 向雅也/nrj, 打来/v,
新海女士 /nr 8	 , 想见/v, 新海女士/nrj, 。/w],
荒木 /nr 8	 是/vshi, 荒木/nrf, 老师/nn
水原先生 /nr 8	 w, “/w, 水原先生/nrj, 。/w],
那盘 /nr 8	 , 一下/m, 那盘/nr, 录像带/n,
久等了 /nr 7	 , 你/rr, 久等了/nrj, 。/w],
赖江想 /nr 7	  ，/w], [赖江想/nr, ，/w], 
赖江问 /nr 7	 , [”/w, 赖江问/nr, 弟弟/n, 
青江真一郎 /nr 7	 , [“/w, 青江真一郎/nrj, 。/w],
刚过 /nr 7	  。/w], [刚过/nr, 中午/t, 
米仓俊郎 /nr 7	 , 舅舅/n, 米仓俊郎/nrj, 死亡/vi
仓田女士 /nr 7	 , [“/w, 仓田女士/nrj, 。/w],
才会 /nr 7	  [她/rr, 才会/nr, 把/pba,
新海部长 /nr 7	  ，/w], [新海部长/nrj, 是/vsh
那条 /nr 7	 , 确认/v, 那条/nr, 项链/n, 
和雅也 /nr 7	  。/w], [和雅也/nrj, 四目/nz
青江真一朗 /nr 7	  ？/w], [青江真一朗/nrj, 。/w],
仓田太太 /nr 6	 , [“/w, 仓田太太/nrj, ，/w],
野濑真奈美 /nr 6	 i, “/w, 野濑真奈美/nrj, ”/w, 
刚想 /nr 6	 g, 也/d, 刚想/nr, 打开/v, 
为雅也 /nr 6	 d, 因/p, 为雅也/nrj, 带有/v,
郝思嘉 /nr 6	 , 叫/vi, 郝思嘉/nr, ·/w, 奥
中洋一 /nr 6	  [浜/nz, 中洋一/nrj, 在/p, 
青江先生 /nr 5	  ，/w], [青江先生/nrj, 休息/v,
闻言 /nr 5	 [俊/nz, 郎闻言/nr, 冷/a, 哼
都是 /nr 5	 , 妻子/n, 都是/nr, 牛仔裤/n,
山神先生 /nr 5	 是/vshi, 山神先生/nrj, 的/ude
加藤先生 /nr 4	 是/vshi, 加藤先生/nrj, ？/w],
刚进 /nr 4	 , 你/rr, 刚进/nr, 家/q, ，
海美冬 /nr 4	 , 见新/v, 海美冬/nr, ，/w], 
本先生 /nr 4	 i, 阪/n, 本先生/nrj, 家/q, 
桑野 /nr 4	 1, 姓/v, 桑野/nr, 。/w], 
南青山 /nr 4	 i, 在/p, 南青山/nr, ，/w], 
赖江也 /nr 4	 [”/w], [赖江也/nr, 微微一笑/l
加藤刚 /nr 4	 [”/w], [加藤刚/nrj, 要/v, 
尼崎 /nr 4	 , 和/cc, 尼崎/nr, 为/p, 中
与雅也 /nr 4	 是/vshi, 与雅也/nrj, 的/ude
中野小姐 /nr 4	  。/w], [中野小姐/nrj, 昨天/t,
加藤笑 /nr 4	 , [”/w, 加藤笑/nrj, 眯眯/nz
那对 /nr 4	 的/ude1, 那对/nr, 夫妇/n, 
曾我太太 /nr 4	 是/vshi, 曾我太太/nrj, ？/w],
和有子 /nr 4	  [如果/c, 和有子/nrj, 这样/rz
加藤知道 /nr 4	  。/w], [加藤知道/nrj, 不少/mq
阿佐谷 /nr 4	  达南/ns, 阿佐谷/nr, 时/qt, 
奥哈拉 /nr 3	 r, ·/w, 奥哈拉/nrf, ，/w],
那张 /nr 3	 的/ude1, 那张/nr, 。/w], 
常去 /nr 3	  了/ule, 常去/nr, 的/ude1
菅原先生 /nr 3	 , [“/w, 菅原先生/nrj, ，/w],
樱木先生 /nr 3	 d, 救/v, 樱木先生/nrj, 。/w],
赖江在 /nr 3	  。/w], [赖江在/nr, 扶梯/n, 
香奈儿 /nr 3	 , 又是/c, 香奈儿/nrf, 的/ude
水天 /nr 3	 r, 从/p, 水天/nr, 宫前/s, 
赖江来 /nr 3	  。/w], [赖江来/nr, 到/v, 旁
隆治问 /nr 3	  ，/w], [隆治问/nr, 他/rr, 
赖江并 /nr 3	  [感觉/n, 赖江并/nr, 没/d, 那
都要 /nr 3	  ，/w], [都要/nr, 想好/v, 
包里 /nr 3	  了/ule, 包里/nr, ，/w], 
那你 /nr 3	 , [“/w, 那你/nr, 认为/v, 
柯尔特 /nr 3	 , [“/w, 柯尔特/nrf, 式/k, 
梅田 /nr 3	 n, 到/v, 梅田/nr, 还算/v, 
边说 /nr 3	 , 照片/n, 边说/nr, 。/w], 
山本 /nr 3	 的/ude1, 山本/nr, 澄子/nrj
田美香 /nr 3	 , 浜/nz, 田美香/nr, 目瞪口呆/a
都和 /nr 3	  打印机/n, 都和/nr, 畑/w, 山
那是 /nr 2	 , [但/c, 那是/nr, 制造厂/ni
赖江仍 /nr 2	  。/w], [赖江仍/nr, 坐着/vi,
都营 /nr 2	 , 转乘/v, 都营/nr, 浅草/nz,
朝雅也 /nr 2	 , 他/rr, 朝雅也/nrj, 看/v, 
拉得 /nr 2	 1, 脸/n, 拉得/nrf, 更长/d,
忽觉 /nr 2	  ，/w], [忽觉/nr, 有人/r, 
全完了 /nr 2	  ，/w], [全完了/nrj, 。/w],
小谷信二 /nr 2	 经理/nnt, 小谷信二/nrj, ”/w, 
方是谁 /nr 2	 v, 对/p, 方是谁/nr, 。/w], 
阿中 /nr 2	 , 没见/v, 阿中/nr, ？/w], 
米仓先生 /nr 2	 , [“/w, 米仓先生/nrj, 有/vyo
大西先生 /nr 2	  了/ule, 大西先生/nrj, ，/w],
刚说 /nr 2	  [他/rr, 刚说/nr, 到/v, 这
任其 /nr 2	 , 又是/c, 任其/nr, 燃烧/v, 
那太 /nr 2	 , [“/w, 那太/nr, 幸运/a, 
