阿诚 /nr 391	  。/w], [阿诚/nr, 一肚子火/l
和佳子 /nr 365	 , ——/w, 和佳子/nrj, 戴/v, 
菅野 /nr 311	 , 名叫/v, 菅野/nr, 快/a, 儿
真野 /nr 166	 , 叫做/v, 真野/nr, 的/ude1
隆明 /nr 63	 , [”/w, 隆明/nr, 停下/v, 
崎敦 /nr 55	 c, 伴/v, 崎敦/nr, 也/d, 的
吉川 /nr 51	  。/w], [吉川/nr, 像是/v, 
长峰先生 /nr 38	 , 了解/v, 长峰先生/nrj, 的/ude
中井诚 /nr 25	  。/w], [中井诚/nrj, 在/p, 
泰造 /nr 23	 , 父亲/n, 泰造/nr, 。/w], 
长峰将 /nr 18	  。/w], [长峰将/nrj, 脸/n, 
长峰心 /nr 17	  ，/w], [长峰心/nrj, 想/v, 
织部心 /nr 16	 [”/w], [织部心/nrj, 想/v, 
和佳子心 /nr 16	  。/w], [和佳子心/nrj, 想/v, 
高崎 /nr 14	 j, 从/p, 高崎/nr, 交流道/nz
和佳子一 /nr 14	  ，/w], [和佳子一/nrj, 直/d, 
卡拉 /nr 13	 f, 唱/v, 卡拉/nrf, OK/nx
优佳 /nr 13	 的/ude1, 优佳/nr, 看/v, ，
织部一 /nr 13	  ，/w], [织部一/nrj, 边/k, 
木岛 /nr 12	 老板/nnt, 木岛/nr, 隆/ag, 
少年法 /nr 10	 , 责怪/v, 少年法/nr, 的/ude1
长峰一 /nr 10	  。/w], [长峰一/nrj, 边/k, 
那卷 /nr 10	 d, 将/d, 那卷/nr, 录像带/n,
小诸 /nr 10	  [距离/n, 小诸/nr, 交流道/nz
阿真 /nr 10	 , [“/w, 阿真/nr, ，/w], 
阿诚心 /nr 9	  ，/w], [阿诚心/nrj, 想/v, 
名刑警 /nr 9	  这/rzv, 名刑警/nrj, 。/w],
织部和真 /nr 8	 是/vshi, 织部和真/nrj, 野/b, 
才行 /nr 8	 , 身分/n, 才行/nr, 。/w], 
长峰可 /nr 8	  。/w], [长峰可/nrj, 以/p, 
村先生 /nr 7	 i, 鲇/n, 村先生/nrj, 吧/y, 
和佳子将 /nr 7	  。/w], [和佳子将/nrj, 车子/n,
那你 /nr 7	 , [“/w, 那你/nr, 现在/t, 
才对 /nr 7	  射击/vn, 才对/nr, ，/w], 
阿诚一 /nr 6	 , [”/w, 阿诚一/nrj, 边/k, 
松元 /nr 6	 n, 在/p, 松元/nr, 市内/s, 
和敦 /nr 6	 , 儿/ng, 和敦/nrj, 也/d, 
幸代 /nr 5	 , [”/w, 幸代/nr, 蹙/vg, 
菅野会 /nr 5	 , [“/w, 菅野会/nr, 和/cc, 
那孩子 /nr 5	 v, 对/p, 那孩子/nr, 下手/vi,
那张 /nr 4	 的/ude1, 那张/nr, 传单/n, 
长峰伸 /nr 4	  。/w], [长峰伸/nrj, 手/n, 
施打 /nr 4	  。/w], [施打/nr, 的/ude1
菅野和 /nr 4	 , 找到/v, 菅野和/nr, 长野县/ns
村越优佳 /nr 4	 e, “/w, 村越优佳/nrj, 　/w, 
崎玉 /nr 4	 , 住在/v, 崎玉/nr, 县/n, 川
那男 /nr 4	 , [”/w, 那男/nr, 的/ude1
金井 /nr 4	 是/vshi, 金井/nr, 。/w], 
才会 /nr 4	 , 他/rr, 才会/nr, 食髓知味/n
那是 /nr 3	  [而且/c, 那是/nr, 很久以前/n
