林田先生 /nr 41	 是/vshi, 林田先生/nrj, 对/p, 
片冈 /nr 40	  了/ule, 片冈/nr, 那家伙/nz
昌章 /nr 28	  ，/w], [昌章/nr, 的/ude1
智美 /nr 25	 , [“/w, 智美/nr, ，/w], 
阿升 /nr 24	  ，/w], [阿升/nr, 的/ude1
林田 /nr 20	  。/w], [林田/nr, 股长/nnt
宫下 /nr 10	  瞒不过/v, 宫下/nr, 先辈/n, 
南波 /nr 9	  了/ule, 南波/nr, 的/ude1
叶山 /nr 9	  。/w], [叶山/nr, 广/a, 江
秋代 /nr 8	  。/w], [秋代/nr, 一/m, 开
格蕾丝 /nr 7	 秘书/nnt, 格蕾丝/nrf, 成天/d,
南波先生 /nr 7	 v, “/w, 南波先生/nrj, ，/w],
阿高 /nr 7	 , 和/cc, 阿高/nr, 两/m, 个
和佑介 /nr 6	  [我/rr, 和佑介/nrj, 从/p, 
东野圭吾 /nr 5	  )/w], [东野圭吾/nrj], [译者/
那你 /nr 5	 , [“/w, 那你/nr, 昨晚/t, 
那可 /nr 5	 , [“/w, 那可/nr, 对/p, 不
桥本 /nr 5	 , 这位/r, 桥本/nr, 警官/nnt
名刑警 /nr 5	 i, 两/m, 名刑警/nrj, ，/w],
南波胜久 /nr 5	 e, “/w, 南波胜久/nrj, ”/w, 
广江 /nr 4	  [昨天/t, 广江/nr, 不巧/d, 
盛冈 /nr 4	 , 住在/v, 盛冈/nr, ，/w], 
山下昌 /nr 4	 , 名叫/v, 山下昌/nr, 章/q, 的
堀内秋 /nr 4	 昌章往/nr, 堀内秋/nr, 代家/ns,
言中 /nr 4	 的/ude1, 言中/nr, 之意/nz,
林田君 /nr 4	 v, 说/v, 林田君/nr, 是/vshi
向佑介 /nr 3	 v, 能/v, 向佑介/nr, 吹嘘/v, 
和雪子 /nr 3	 , 我/rr, 和雪子/nrj, 对望/v,
川岛先生 /nr 3	 , [“/w, 川岛先生/nrj, ，/w],
和典子 /nr 3	 g, 美/b, 和典子/nrj, 都/d, 
智美你 /nr 3	 , [“/w, 智美你/nr, 也/d, 清
刚想 /nr 3	  [我/rr, 刚想/nr, 闪身/v, 
塞得 /nr 3	  塑胶袋/n, 塞得/nrf, 满满当当/
天下一 /nr 3	 侦探/nnd, 天下一/nrj, 大/a, 
尼克 /nr 3	 , 朋友/n, 尼克/nrf, 那里/rz
伸彦 /nr 3	  ，/w], [伸彦/nr, 你/rr, 
那就怪 /nr 2	 , [“/w, 那就怪/nr, 了/ule,
昌章也 /nr 2	  ，/w], [昌章也/nr, 不/d, 像
刚过 /nr 2	 , 中午/t, 刚过/nr, 的/ude1
山下先生 /nr 2	 d, 同/p, 山下先生/nrj, 见过面/l
塔尼亚巴 /nr 2	 的/ude1, 塔尼亚巴/nrf, 先生/n,
钱也 /nr 2	 的/ude1, 钱也/nr, 抢/v, ！
才会 /nr 2	 v, 回/v, 才会/nr, 被/pbei
回旅馆 /nr 2	 , 还是/c, 回旅馆/nrj, 去/vf,
迪斯科 /nr 2	 i, 在/p, 迪斯科/nrf, 舞厅/ni
田湖 /nr 2	 , 和/cc, 田湖/nr, 。/w], 
那两名 /nr 2	 , 与/cc, 那两名/nr, 强盗/n, 
宫泽理惠子 /nr 2	 , [“/w, 宫泽理惠子/nrj, 。/w],
普克亚 /nr 2	 , 普/ag, 普克亚/nrf, ，/w],
东野先生 /nr 2	 的/ude1, 东野先生/nrj, 气质/n,
宫下先生 /nr 2	 的/ude1, 宫下先生/nrj, 。/w],
全无 /nr 2	  [心绪/n, 全无/nr, 。/w], 
泰德 /nr 2	  ，/w], [泰德/nrf, 。/w],
来玩 /nr 2	 , 我家/n, 来玩/nr, 。/w], 
片冈先生 /nr 2	 , [“/w, 片冈先生/nrj, 连/uli
林田先生可 /nr 2	  ，/w], [林田先生可/nrj, 真是/d,
小泉先生 /nr 2	 , [“/w, 小泉先生/nrj, 常常/d,
与尚美 /nr 2	 v, 在/p, 与尚美/nrj, 共同/d,
代小姐 /nr 2	 堀内秋/nr, 代小姐/nrj, 。/w],
回可 /nr 2	 [这/rzv, 回可/nr, 轮到/v, 
堀内 /nr 2	 , 自称/v, 堀内/nr, 秋/tg, 
上一夜 /nr 2	 过/uguo, 上一夜/nrj, ，/w],
起尚美 /nr 2	 , 怀疑/v, 起尚美/nrj, 来/vf,
阿丰 /nr 2	 , [“/w, 阿丰/nr, 你/rr, 
杰克雷蒙 /nr 2	 d, 像/v, 杰克雷蒙/nrf, 那样/rz
才道 /nr 2	  ，/w], [才道/nr, ：/w, “
阿高也 /nr 1	 /ulian, 阿高也/nr, 未能幸免/i
连望远 /nr 1	  ，/w], [连望远/nrj, 镜/ng,
常能 /nr 1	  ，/w], [常能/nr, 从/p, 对
屈尊供 /nr 1	 d, 肯/v, 屈尊供/nr, 我/rr, 
那一种 /nr 1	 的/ude1, 那一种/nr, ，/w], 
有佑介了 /nr 1	 d, 只/d, 有佑介了/nrj, 。/w],
石卷 /nr 1	 , 和/cc, 石卷/nr, ，/w], 
曾为 /nr 1	 , 住在/v, 曾为/nr, 凶杀/vi,
宅院等 /nr 1	 的/ude1, 宅院等/nrj, 名胜/n,
那口 /nr 1	 着/uzhe, 那口/nr, 巨大/a, 
钱就在 /nr 1	  [总之/c, 钱就在/nr, 这/rzv,
承你 /nr 1	 那可多/nr, 承你/nr, 的/ude1
那张 /nr 1	 , 放在/v, 那张/nr, 矮/a, 桌
包挺 /nr 1	 v, 个/q, 包挺/nr, 不方便/nz
阿升又 /nr 1	  ，/w], [阿升又/nr, 道/qv, 
堵高约 /nr 1	 v, 两/m, 堵高约/nr, 两/m, 米
才问 /nr 1	 , 昨晚/t, 才问/nr, 你/rr, 
那宏子 /nr 1	 , [“/w, 那宏子/nr, 现在/t, 
高中时 /nr 1	 c, 在/p, 高中时/nr, 拍/v, 的
生时代 /nr 1	 p, 学/v, 生时代/nrj, 曾/d, 
走出旅馆 /nr 1	 , 起/vf, 走出旅馆/nrj, 。/w],
金泽市 /nr 1	 , 故乡/n, 金泽市/nr, ——/w, 
巴士在 /nr 1	  ，/w], [巴士在/nr, 一个/mq,
片冈要 /nr 1	 f, 问/v, 片冈要/nr, 就是/v, 
才来 /nr 1	 不方便/nz, 才来/nr, 拜托/v, 
都更 /nr 1	  [二老/n, 都更/nr, 了/ule,
智美真 /nr 1	 的/ude1, 智美真/nr, 想/v, 反
关心朋友 /nr 1	 是/vshi, 关心朋友/nrj, ，/w],
阿升往 /nr 1	  ，/w], [阿升往/nr, 我/rr, 
回也 /nr 1	 [这/rzv, 回也/nr, 给/p, 你
蓝底 /nr 1	 , 拆开/v, 蓝底/nr, 印花/n, 
马克 /nr 1	 f, 用/p, 马克/nrf, 笔写/nz
智美在 /nr 1	  [每当/p, 智美在/nr, 市里/n, 
江与 /nr 1	 , [广/a, 江与/nr, 她们/rr,
