日高邦彦 /nr 103	 f, 往/p, 日高邦彦/nrj, 的/ude
野野口修 /nr 100	 q, 　/w, 野野口修/nrj, 的/ude
加贺刑警 /nr 79	 [”/w], [加贺刑警/nrj, 看来/v,
日高理惠 /nr 39	  ，/w], [日高理惠/nrj, 曾经/d,
初美 /nr 35	 名叫/v, 日高初美/nrj, ，/w],
日高先生 /nr 32	 那时/rzt, 日高先生/nrj, 有/vyo
日高初美 /nr 28	 , 名叫/v, 日高初美/nrj, ，/w],
藤尾美弥子 /nr 27	 ……/w], [藤尾美弥子/nrj, 吗/y, 
野野口先生 /nr 23	 , [“/w, 野野口先生/nrj, ，/w],
滨冈 /nr 20	 v, 做/v, 滨冈/nr, 的/ude1
冰之 /nr 17	 r, 《/w, 冰之/nr, 扉/n, 》
大岛 /nr 15	 的/ude1, 大岛/nr, 。/w], 
弥子 /nr 14	 w], [藤尾美弥子/nrj, 吗/y, 
高邦 /nr 14	 f, 日/b, 高邦/nr, 彦/ng, 
才对 /nr 13	 n, ”/w, 才对/nr, 。/w], 
牧村刑警 /nr 12	 [”/w], [牧村刑警/nrj, 附和/v,
加贺恭一郎 /nr 10	 q, 　/w, 加贺恭一郎/nrj, 的/ude
才行 /nr 9	 , 推断/v, 才行/nr, 。/w], 
国中时代 /nr 8	 j, 在/p, 国中时代/nrj, 遭受/v,
藤尾小姐 /nr 8	 , [“/w, 藤尾小姐/nrj, 来/vf,
刀根 /nr 8	 , 名叫/v, 刀根/nr, 的/ude1
广辞苑 /nr 7	 z, 《/w, 广辞苑/nr, 》/w, 上
那卷 /nr 7	  [听说/v, 那卷/nr, 带子/v, 
高邦彦 /nr 7	 , 往/p, 日高邦彦/nrj, 的/ude
那所 /nr 6	 的/ude1, 那所/nr, 中学/nis
童子社 /nr 5	 是/vshi, 童子社/nr, 的/ude1
仁科和哉 /nr 5	 , 主谋/n, 仁科和哉/nrj, 突然/ad
田警部 /nr 5	  [迫/vg, 田警部/nr, 走/v, 了
都是 /nr 5	 1, 人/n, 都是/nr, 这样/rzv
和初美 /nr 5	 , 事情/n, 和初美/nrj, 有关/vn
那本 /nr 5	 的/ude1, 那本/nr, ，/w], 
高初 /nr 4	 u, 日/b, 高初/nr, 美的/nz,
一本书 /nr 4	 , 我/rr, 一本书/nrj, 。/w],
全是我 /nr 4	 , 作品/n, 全是我/nr, 写/v, 的
才会 /nr 4	 , 半夜/t, 才会/nr, 到/v, 饭
日高一 /nr 4	  [等到/v, 日高一/nrj, 进入/v,
那是 /nr 3	 , [“/w, 那是/nr, 《/w, 冰
惠夫人 /nr 3	 o, 理/n, 惠夫人/nr, ，/w], 
才是 /nr 3	  [我/rr, 才是/nr, 。/w], 
都是我 /nr 3	  ，/w], [都是我/nr, 哥/n, 的
林田 /nr 3	  ？/w], [林田/nr, ？/w], 
平吉 /nr 3	 n, 村/n, 平吉/nr, 的话/udh
藤尾一 /nr 3	 , 知道/v, 藤尾一/nrj, 直/d, 
贝利纽 /nr 3	 g, ·/w, 贝利纽/nrf, 【/w, 
连初美 /nr 3	 , [就/d, 连初美/nr, 送来/v, 
那你 /nr 3	 , [“/w, 那你/nr, 把/pba,
高和野 /nr 3	 , [日/b, 高和野/nr, 野口/nz,
那方 /nr 3	 的/ude1, 那方/nr, 书架/n, 
关藤尾 /nr 3	 有/vyou, 关藤尾/nr, 美/b, 弥
藤原 /nr 3	 老师/nnt, 藤原/nr, 负责/v, 
大岛先生 /nr 3	 的/ude1, 大岛先生/nrj, 做/v, 
都有 /nr 3	 m, 个/q, 都有/nr, 不/d, 在
洋灯 /nr 2	 s, “/w, 洋灯/nr, ”/w, ，
仁科 /nr 2	  [传说/n, 仁科/nr, 强暴/v, 
那张 /nr 2	 是/vshi, 那张/nr, 夹/v, 在
关日高 /nr 2	 有/vyou, 关日高/nr, 杀猫/nz,
高也 /nr 2	 , [日/b, 高也/nr, 说/v, 过
关川 /nr 2	 , [“/w, 关川/nr, ？/w], 
高去上 /nr 2	 v, 日/b, 高去上/nr, 厕所/n, 
何会 /nr 2	 j, 为/p, 何会/nr, 有/vyou
门孔 /nr 2	 , 透过/v, 门孔/nr, 看到/v, 
任谁 /nr 2	  ？/w], [任谁/nr, 都/d, 可
佩斯利 /nr 2	 m, 条/q, 佩斯利/nrf, 花呢/n,
加贺刑警将 /nr 2	 , [”/w, 加贺刑警将/nrj, 身体/n,
才好 /nr 2	 说什么/nz, 才好/nr, 。/w], 
野野口修一 /nr 2	 , [”/w, 野野口修一/nrj, 副/b, 
长野静子 /nr 2	 的/ude1, 长野静子/nrj, ，/w],
仁科和 /nr 2	 画家/nnd, 仁科和/nr, 哉/y, 正
那跟 /nr 2	  [难道/d, 那跟/nr, 案情/n, 
都跟你 /nr 2	  [他/rr, 都跟你/nr, 说/v, 还
都说 /nr 2	  ？/w], [都说/nr, 些/q, 什
科里 /nr 2	 , 次/qv, 科里/nrf, 的/ude
那群 /nr 2	 的/ude1, 那群/nr, 坏蛋/n, 
才有 /nr 2	  ，/w], [才有/nr, 空档/nz,
高以 /nr 2	 , [日/b, 高以/nr, 教练/nnt
和理惠 /nr 2	  [我/rr, 和理惠/nrj, 就/d, 
中学时代 /nr 2	 的/ude1, 中学时代/nrj, 。/w],
张数 /nr 2	 的/ude1, 张数/nr, 。/w], 
才来 /nr 2	  这么晚/r, 才来/nr, ，/w], 
高平 /nr 2	 i, 日/b, 高平/nr, 日/b, 调
日高邦彦一 /nr 2	  ，/w], [日高邦彦一/nrj, 方/q, 
三本书 /nr 2	 m, 、/w, 三本书/nrj, 的/ude
刀而解 /nr 2	  将迎/nz, 刀而解/nr, 。/w], 
那件 /nr 2	 是/vshi, 那件/nr, 案子/n, 
西阵 /nr 2	 是/vshi, 西阵/nr, 织/v, 【
少年滨 /nr 2	 的/ude1, 少年滨/nr, 冈/nz, 
日高邦彦先生 /nr 2	 , 认识/v, 日高邦彦先生/nrj, 对/p, 
那可 /nr 2	 , [“/w, 那可/nr, 否/vg, 
修帮 /nr 2	  野口/nz, 修帮/nr, 日高邦彦/n
高在 /nr 2	 , [日/b, 高在/nr, 和/cc, 
修住 /nr 2	  野口/nz, 修住/nr, 的/ude1
高先生 /nr 2	 时/rzt, 日高先生/nrj, 有/vyo
那是我 /nr 2	 w, “/w, 那是我/nr, 出于/v, 
曾跟 /nr 2	  [我/rr, 曾跟/nr, 加贺刑警/n
修是 /nr 2	  野口/nz, 修是/nr, 怎样/ryv
都得 /nr 1	  ，/w], [都得/nr, 接受/v, 
惠一人 /nr 1	 , 有理/a, 惠一人/nr, 。/w], 
广泽智 /nr 1	 , [【/w, 广泽智/nr, 代/q, 的
连张 /nr 1	 , [却/d, 连张/nr, 桌椅/n, 
才听野 /nr 1	 , 我/rr, 才听野/nr, 野口/nz,
