荣美子 /nr 178	 名叫/v, 白木荣美子/nrj, 。/w],
大月 /nr 49	  ，/w], [大月/nr, 蹙/vg, 
小峰先生 /nr 31	  。/w], [小峰先生/nrj, ──/w,
树也 /nr 28	  [冬/tg, 树也/nr, 尾随/v, 
户田先生 /nr 27	 , 赞同/v, 户田先生/nrj, 吗/y, 
山西先生 /nr 20	 是/vshi, 山西先生/nrj, 。/w],
久我先生 /nr 15	 w, 让/v, 久我先生/nrj, 当/p, 
才对 /nr 13	 葡萄酒/nf, 才对/nr, ，/w], 
田上 /nr 12	  秘书官/n, 田上/nr, 的/ude1
树在 /nr 10	  [冬/tg, 树在/nr, 一旁/f, 
树先生 /nr 9	 , 冬/tg, 树先生/nr, 。/w], 
河濑先生 /nr 9	  ，/w], [河濑先生/nrj, 也/d, 
与菜菜美 /nr 9	  ，/w], [与菜菜美/nrj, 面面相觑/
树想 /nr 8	  [冬/tg, 树想/nr, 。/w], 
那可 /nr 7	 , [“/w, 那可/nr, 糟/a, 了
那孩子 /nr 7	 是/vshi, 那孩子/nr, 把/pba,
树看 /nr 7	  [冬/tg, 树看/nr, 了/ule,
树与 /nr 6	  [冬/tg, 树与/nr, 明日香/nz
才会 /nr 6	 , 你/rr, 才会/nr, 把/pba,
树与诚 /nr 6	  [冬/tg, 树与诚/nr, 哉/y, ，
都已 /nr 5	 , 地基/n, 都已/nr, 吸饱/nz,
与太一 /nr 5	 , 他/rr, 与太一/nrj, 之前/f,
树说 /nr 5	  [冬/tg, 树说/nr, 这话/r, 
冷然 /nr 5	 [户田/nz, 冷然/nr, 瞪/v, 她
那你 /nr 5	 , [“/w, 那你/nr, 没有/v, 
步向 /nr 5	  一切/rz, 步向/nr, 自动化/vn
树和太 /nr 4	 , 冬/tg, 树和太/nr, 一/m, ，
才是 /nr 4	 , 规则/n, 才是/nr, 。/w], 
和太一 /nr 4	 明日香/nz, 和太一/nrj, 去/vf,
和菜菜美小姐 /nr 4	 r, 哥/n, 和菜菜美小姐/nrj, 呀/y, 
小峰一 /nr 4	 , [”/w, 小峰一/nrj, 边/k, 
沙克辛 /nr 4	 , 叫作/v, 沙克辛/nrf, （/w, 
宝特 /nr 4	 , 取出/v, 宝特/nr, 瓶装/b, 
诚哉 /nr 4	 [她/rr, 朝诚哉/nr, 这边/rzs
白木荣美子 /nr 4	 , 名叫/v, 白木荣美子/nrj, 。/w],
水中了 /nr 4	 v, 在/p, 水中了/nrj, ，/w],
树才 /nr 4	  [冬/tg, 树才/nr, 想起/v, 
树和 /nr 4	  [冬/tg, 树和/nr, 明日香/nz
山西太太 /nr 4	  ，/w], [山西太太/nrj, 吗/y, 
白木 /nr 4	  ，/w], [白木/nr, 母女/n, 
那是 /nr 3	 , [但/c, 那是/nr, 假人/n, 
那只 /nr 3	 , [“/w, 那只/nr, 拖鞋/n, 
白木小姐 /nr 3	 , 听到/v, 白木小姐/nrj, 的/ude
拓志 /nr 3	 的/ude1, 拓志/nr, 愁眉苦脸/n
树朝 /nr 3	  [冬/tg, 树朝/nr, 店外/nz,
树就 /nr 3	  [冬/tg, 树就/nr, 背起/v, 
都是我 /nr 3	  ，/w], [都是我/nr, 不好/a, 
树一 /nr 3	  [冬/tg, 树一/nr, 看/v, ，
朝冬树 /nr 3	 g, 哉/y, 朝冬树/nr, 递/v, 去
户田一 /nr 3	  ，/w], [户田一/nrj, 边/k, 
树站 /nr 3	  [冬/tg, 树站/nr, 起来/vf,
和未央 /nr 3	 荣美子/nr, 和未央/nrj, 也/d, 
与明日香 /nr 3	 z, 美/b, 与明日香/nrj, 的/ude
拉门 /nr 3	 , 格子/n, 拉门/nrf, 。/w],
安心了 /nr 3	 , 稍感/v, 安心了/nrj, 。/w],
和菜菜美 /nr 3	 g, 哉/y, 和菜菜美/nrj, 之外/f,
才行 /nr 3	  考试/vn, 才行/nr, 。/w], 
树听 /nr 3	  [冬/tg, 树听/nr, 着/uzhe
