那粒 /nr 2	 的/ude1, 那粒/nr, ，/w], 
浪冈准子 /nr 2	 t, ：/w, 浪冈准子/nrj, 被/pbe
有准子 /nr 2	 所/usuo, 有准子/nrj, 动过手脚/
那两人 /nr 1	 , 剩下/v, 那两人/nr, 就/d, 无
向教授 /nr 1	 , 我/rr, 向教授/nr, 您/rr, 
都是以 /nr 1	 , 篇章/n, 都是以/nr, 这/rzv,
谈社 /nr 1	  [某/rz, 谈社/nr, 拜托/v, 
那只 /nr 1	 n, 里/f, 那只/nr, 手提包/n,
弘也 /nr 1	 z, 贵/a, 弘也/nr, 把/pba,
副教授了 /nr 1	 , 升到/v, 副教授了/nrj, 啊/y, 
入美和子 /nr 1	 n, 放/v, 入美和子/nrj, 的/ude
弘在 /nr 1	 z, 贵/a, 弘在/nr, 婚礼/n, 
筋了 /nr 1	 v, 脑/n, 筋了/nrj, 。/w],
东野圭吾 /nr 1	 是/vshi, 东野圭吾/nrj, 的/ude
那封 /nr 1	 的/ude1, 那封/nr, 威胁/vn,
高在美 /nr 1	 t, 穗/b, 高在美/nr, 和/cc, 
弘并 /nr 1	 z, 贵/a, 弘并/nr, 没有/v, 
