弘毅 /nr 196	 , 濑/ng, 弘毅/nr, 低着头/v,
多美子 /nr 119	 , [”/w, 多美子/nrj, 说道/v,
尚哉 /nr 104	  。/w], [尚哉/nr, 举起/v, 
三井女士 /nr 79	 , [“/w, 三井女士/nrj, ？/w],
麻纪 /nr 53	  江和/nr, 麻纪/nr, 即便/c, 
玄一 /nr 39	 , 寺田/n, 玄一/nr, 先生/n, 
志摩子 /nr 34	  ，/w], [志摩子/nrj, 就/d, 
田仓 /nr 29	 , [”/w, 田仓/nr, 在/p, 空
三井峰子女士 /nr 27	 , 认识/v, 三井峰子女士/nrj, 吗/y, 
三井峰子 /nr 27	 , 认识/v, 三井峰子/nrj, 吗/y, 
田仓先生 /nr 22	 , [“/w, 田仓先生/nrj, ，/w],
文孝 /nr 20	 , 父亲/n, 文孝/nr, 回到/v, 
泰治 /nr 20	 老板/nnt, 泰治/nr, 。/w], 
宫本祐理 /nr 18	 , ——/w, 宫本祐理/nrj, 。/w],
宫本 /nr 14	 , 和/cc, 宫本/nr, 祐/n, 理
加贺先生 /nr 12	 , [“/w, 加贺先生/nrj, 是/vsh
藤原女士 /nr 11	 , [“/w, 藤原女士/nrj, 是/vsh
清濑先生 /nr 10	  。/w], [清濑先生/nrj, ，/w],
松矢 /nr 10	 n, 、/w, 松矢/nr, 料/n, 亭
滨町公园 /nr 9	 , [“/w, 滨町公园/nrj, ，/w],
甘酒横 /nr 8	 , 叫/vi, 甘酒横/nr, 丁/ng, 
伦敦 /nr 8	  了/ule, 伦敦/nrf, ，/w],
加贺将 /nr 7	 [”/w], [加贺将/nrj, 手/n, 
童梦 /nr 6	 n, “/w, 童梦/nr, 屋/n, ”
来过 /nr 6	 , 昨天/t, 来过/nr, ，/w], 
志摩 /nr 6	 , 去/vf, 志摩/nrf, ，/w],
宫本小姐 /nr 5	 w, “/w, 宫本小姐/nrj, 。/w],
多美子心 /nr 5	  。/w], [多美子心/nrj, 下/f, 
那你 /nr 5	 , [“/w, 那你/nr, 就/d, 没
岸田先生 /nr 4	 , [“/w, 岸田先生/nrj, 找/v, 
加贺一 /nr 4	 , [”/w, 加贺一/nrj, 脸/n, 
柳泽先生 /nr 4	 , [“/w, 柳泽先生/nrj, ，/w],
都是 /nr 4	  。/w], [都是/nr, 这样/rzv
小彰 /nr 4	  ，/w], [小彰/nrj, ，/w],
中西礼子 /nr 4	 , [”/w, 中西礼子/nrj, 苦笑/vi
那是 /nr 3	 , [但/c, 那是/nr, 回家/vi,
上川聪子女士 /nr 3	 , [将/d, 上川聪子女士/nrj, 的/ude
多美子将 /nr 3	  。/w], [多美子将/nrj, 胳膊/n,
卡特罗西 /nr 3	 是/vshi, 卡特罗西/nrf, 饼/n, 
作先生 /nr 3	 n, 要/v, 作先生/nrj, 说/v, 
弘送 /nr 3	 i, 直/d, 弘送/nr, 的/ude1
孝说 /nr 3	  [文/ng, 孝说/nr, 了/ule,
常去 /nr 3	 r, 在/p, 常去/nr, 的/ude1
橘先生 /nr 3	  。/w], [橘先生/nrj, 没生气/l
柳泽 /nr 3	  我们/rr, 柳泽/nr, 商店/nis
