拓实 /nr 1388	  。/w], [拓实/nr, 想/v, 对
时生 /nr 307	 , 叫/vi, 时生/nr, 。/w], 
杰西 /nr 112	 w, “/w, 杰西/nrf, 。/w],
宫本 /nr 106	  。/w], [宫本/nr, 夫妇/n, 
石原 /nr 105	 , [姓/v, 石原/nr, ，/w], 
竹美 /nr 95	 的/ude1, 竹美/nr, 双手/n, 
高仓 /nr 52	 , 我/rr, 高仓/nr, 吧/y, 。
东条淳子 /nr 45	 , [“/w, 东条淳子/nrj, ，/w],
须美子 /nr 39	 名叫/v, 东条须美子/nrj, 。/w],
哲夫 /nr 28	 , 就是/v, 哲夫/nrf, 了/ule
东条须美子 /nr 14	  [名叫/v, 东条须美子/nrj, 。/w],
宫本拓 /nr 11	  ，/w], [宫本拓/nrj, 实/ad,
高江 /nr 11	 b, 区/n, 高江/nr, ”/w, 等
和千鹤 /nr 9	 着/uzhe, 和千鹤/nrj, 在/p, 
道顿 /nr 8	 w, “/w, 道顿/nrf, 堀/ng,
那妞 /nr 8	 d, 带/v, 那妞/nr, 过去/vf,
时生道 /nr 8	 , [”/w, 时生道/nr, 。/w], 
拉门 /nr 8	 的/ude1, 拉门/nrf, ，/w],
格雷戈里 /nr 7	 , 知道/v, 格雷戈里/nrf, 综合症/n
那姑娘 /nr 7	 n, ：/w, 那姑娘/nr, 分娩/vi,
川边玲 /nr 7	 溺水者/nz, 川边玲/nrj, 二/m, 
艾古 /nr 7	 , 盒/ng, 艾古/nr, 牌/n, 香
那你 /nr 7	 , [“/w, 那你/nr, 是/vshi
回千鹤 /nr 7	 g, 找/v, 回千鹤/nrj], [，/w
住时生 /nr 6	 a, 揪/v, 住时生/nrj, 的/ude
时生君 /nr 6	 , 叫/vi, 时生君/nr, 吧/y, ？
与千鹤 /nr 6	 , 单独/d, 与千鹤/nrj, 面谈/v,
向时生 /nr 6	 d, 望/v, 向时生/nr, ，/w], 
那本 /nr 6	 r, 提/v, 那本/nr, 漫画/n, 
麻冈 /nr 5	 z, 姓/v, 麻冈/nr, 。/w], 
全知道 /nr 5	 r, 可/v, 全知道/nrj, ，/w],
宫本家 /nr 5	 n, 对/p, 宫本家/nr, 来说/uls
那可 /nr 5	 , [“/w, 那可/nr, 不行/a, 
时生又 /nr 4	 , [”/w, 时生又/nr, 将/d, 目
德隆 /nr 4	 、/w, 阿兰·德隆/nrf, 演/v, 
宫本先生 /nr 4	 , [“/w, 宫本先生/nrj, ，/w],
吉江 /nr 4	  [这位/r, 吉江/nr, 大婶/n, 
练过 /nr 4	 是/vshi, 练过/nr, 拳击/n, 
金丝边 /nr 4	  [戴着/v, 金丝边/nr, 眼镜/n, 
时生在 /nr 3	 , [”/w, 时生在/nr, 身旁/s, 
石原在 /nr 3	 , [“/w, 石原在/nr, 吗/y, ？
麻冈拓 /nr 3	 是/vshi, 麻冈拓/nr, 实/ad, 
下千鹤 /nr 3	 d, 剩/v, 下千鹤/nrj, 家/q, 
竹美道 /nr 3	 , [”/w, 竹美道/nr, 。/w], 
宫本太太 /nr 3	  ，/w], [宫本太太/nrj, 更是/d,
麻冈须美子 /nr 3	  ，/w], [麻冈须美子/nrj, 嫁给/v,
有千鹤 /nr 3	 , 上面/f, 有千鹤/nrj, 的/ude
木拓 /nr 3	 , [“/w, 木拓/nr, ……/w],
威登 /nr 3	 shi, 路易·威登/nrf, 的/ude
为时生 /nr 3	 r, 以/p, 为时生/nrj, 没/d, 
才来 /nr 3	  老太婆/n, 才来/nr, 这儿/rzs
石原一 /nr 3	  。/w], [石原一/nrj, 边/k, 
时生仍 /nr 3	 , 和/cc, 时生仍/nr, 留在/v, 
竹美那 /nr 3	 e, 从/p, 竹美那/nrj, 里/f, 
日吉一 /nr 3	  ，/w], [日吉一/nrj, 把/pba
高仓先生 /nr 3	 是/vshi, 高仓先生/nrj, 小题大做/
那青年 /nr 3	 , 看到/v, 那青年/nr, 亲昵/a, 
里塞 /nr 3	  运动包/n, 里塞/nrf, 了/ule
屈伏塔 /nr 2	 从/p, 约翰·屈伏塔/nrf, 跳/vi,
久等了 /nr 2	 , [“/w, 久等了/nrj, 。/w],
坂本清美 /nr 2	 e, “/w, 坂本清美/nrj, ”/w, 
伊藤博文 /nr 2	 是/vshi, 伊藤博文/nrj, 啊/y, 
宫本时生 /nr 2	  ，/w], [宫本时生/nrj, 。/w],
小兄弟 /nr 2	 , 这位/r, 小兄弟/nrj, 的/ude
江崎 /nr 2	 XXX/nx, 江崎/nr, 商店/nis
三船敏郎 /nr 2	  ？/w], [三船敏郎/nrj, 和/cc,
才好 /nr 2	 r, 说/v, 才好/nr, 。/w], 
冈部先生 /nr 2	  。/w], [冈部先生/nrj, ，/w],
为千鹤 /nr 2	 身处地/dl, 为千鹤/nrj, 想想/v,
中西一 /nr 2	 , 没看/v, 中西一/nrj, 眼/n, 
梅洛斯 /nr 2	  ！/w], [梅洛斯/nrf, 》/w, 
与时生 /nr 2	  ，/w], [与时生/nrj, 四目/nz
都是我 /nr 2	 的/ude1, 都是我/nr, 的/ude1
都说 /nr 2	 , 店里/n, 都说/nr, 是/vshi
连千鹤 /nr 2	 , [就/d, 连千鹤/nr, 也/d, 在
和丽子 /nr 2	  [他/rr, 和丽子/nrj, 离开了/v
小子 /nr 2	 [那/rzv, 小子/nr, 和千鹤/nr
方付费 /nr 2	 r, 对/p, 方付费/nr, 电话/n, 
布朗 /nr 2	 cc, 查尔斯·布朗/nrf, 、/w, 
刚将 /nr 2	 [医学界/n, 刚将/nr, 对/p, 格
木村拓哉 /nr 2	 , [“/w, 木村拓哉/nrj, 。/w],
出千鹤 /nr 2	 c, 救/v, 出千鹤/nrj, 是/vsh
迪斯科 /nr 2	 p, 随/p, 迪斯科/nrf, 音乐/n,
坂田清美 /nr 2	 是/vshi, 坂田清美/nrj, ，/w],
那对 /nr 2	 着/uzhe, 那对/nr, 母女/n, 
石原裕次郎 /nr 2	 , [“/w, 石原裕次郎/nrj, 的/ude
住院了 /nr 2	 , 生就/v, 住院了/nrj, ，/w],
实笑了 /nr 2	 , [拓/v, 实笑了/nrj, 。/w],
余光 /nr 2	 n, 用/p, 余光/nr, 看着/v, 
早濑千鹤 /nr 2	  。/w], [早濑千鹤/nrj, 在/p, 
丁目 /nr 2	 n, 九/m, 丁目/nr, 。/w], 
那店 /nr 2	 , [“/w, 那店/nr, 以前/f, 
实刚 /nr 2	 , [拓/v, 实刚/nrj, 说/v, 
与丽子 /nr 2	 , 感受/v, 与丽子/nrj, 的/ude
吉看 /nr 2	 , [日/b, 吉看/nr, 了/ule,
竹美正 /nr 2	 , 和/cc, 竹美正/nr, 相拥/nz,
吉用 /nr 2	 , [日/b, 吉用/nr, 可怕/a, 
才对 /nr 2	 , 公寓/n, 才对/nr, ，/w], 
真去 /nr 2	  [你/rr, 真去/nr, 面试/vi,
那就更 /nr 2	 , [“/w, 那就更/nr, 不行/a, 
