田岛 /nr 82	  ，/w], [田岛/nr, 家/q, 的
志摩子 /nr 80	  [所以/c, 志摩子/nrj, ，/w],
藤田 /nr 70	 , 名叫/v, 藤田/nr, 的/ude1
仓持修 /nr 26	 是/vshi, 仓持修/nrj, 邀/v, 
田岛先生 /nr 23	 是/vshi, 田岛先生/nrj, 要/v, 
石原 /nr 22	 , 叫做/v, 石原/nr, ，/w], 
寺冈理荣子 /nr 19	  。/w], [寺冈理荣子/nrj, 身材苗条/
仓持一 /nr 18	  。/w], [仓持一/nrj, 脸/n, 
木原 /nr 18	 , [”/w, 木原/nr, 贼/n, 贼
阿春 /nr 17	 , 她/rr, 阿春/nr, 姨/n, 。
房江 /nr 15	 , 本/rz, 房江/nr, 瞪着/v, 
江尻阳子 /nr 15	 , 见到/v, 江尻阳子/nrj, 。/w],
川本女士 /nr 13	 , [“/w, 川本女士/nrj, ，/w],
山姆 /nr 11	 是/vshi, 山姆/nrf, 啦/y, 
村冈公子 /nr 10	 是/vshi, 村冈公子/nrj, 。/w],
才会 /nr 9	  ，/w], [才会/nr, 一旦/d, 
松户 /nr 9	 , 住在/v, 松户/nr, 的/ude1
黑泽小姐 /nr 9	 , 交给/v, 黑泽小姐/nrj, ，/w],
关口美晴 /nr 9	  [叫/vi, 关口美晴/nrj, 。/w],
田岛和 /nr 9	 v, “/w, 田岛和/nr, 幸/vg, 
上原由希子 /nr 9	 , 叫做/v, 上原由希子/nrj, 和/cc,
山下先生 /nr 8	  岂不是/d, 山下先生/nrj, 说/v, 
才行 /nr 8	 r, 说/v, 才行/nr, 。/w], 
那张 /nr 7	 的/ude1, 那张/nr, 写/v, 着
本田小姐 /nr 7	 , [”/w, 本田小姐/nrj, 的/ude
志摩 /nr 7	 , 和/cc, 志摩/nrf, 子/ng,
和由希子 /nr 7	  [自从/p, 和由希子/nrj, 重逢/vi
库里 /nr 7	 , 保险/n, 库里/nrf, ，/w],
叶月 /nr 7	 s/nx, 松村叶月/nrj, ”/w, 
仓持将 /nr 6	 [”/w], [仓持将/nrj, 头发/n,
钱要 /nr 6	  把/pba, 钱要/nr, 回去/v, 
幸先生 /nr 5	 , 和/cc, 幸先生/nrj, ，/w],
仓持先生 /nr 5	  ，/w], [仓持先生/nrj, ，/w],
谢谢你 /nr 5	 , [“/w, 谢谢你/nr, 。/w], 
练马 /nr 5	  了/ule, 练马/nr, 。/w], 
藤田先生 /nr 5	 是/vshi, 藤田先生/nrj, 说/v, 
才对 /nr 5	 , 过错/n, 才对/nr, 。/w], 
和奈绪子 /nr 4	 , 我/rr, 和奈绪子/nrj, 。/w],
布兰比利耶 /nr 4	 , 就是/v, 布兰比利耶/nrf, 公爵夫人/
保谷 /nr 4	 , [在/p, 保谷/nr, 车站/n, 
明智光秀 /nr 4	  [不过/c, 明智光秀/nrf, （/w, 
才好 /nr 4	 , 脱队/n, 才好/nr, 。/w], 
中奖了 /nr 4	  ，/w], [中奖了/nrj, 耶/b, 
花你 /nr 4	  [不会/v, 花你/nr, 太多/ad,
志摩子一 /nr 4	  ，/w], [志摩子一/nrj, 个/q, 
和公子 /nr 4	 f, 才/d, 和公子/nrj, 走/v, 
上原小姐 /nr 4	 , [“/w, 上原小姐/nrj, 。/w],
和理荣子 /nr 4	 , 再次/d, 和理荣子/nrj, 独处/v,
田岛家 /nr 4	 [以及/cc, 田岛家/nr, 的/ude1
织田信长 /nr 3	  [侍奉/v, 织田信长/nrj, ，/w],
仓持伸 /nr 3	 , [”/w, 仓持伸/nrj, 手/n, 
藤田一 /nr 3	  。/w], [藤田一/nrj, 面/nf,
钱买 /nr 3	 的/ude1, 钱买/nr, 高级/a, 
可可 /nr 3	 g, 热/a, 可可/nrf, 。/w],
披萨 /nr 3	 f, 送/v, 披萨/nrf, 。/w],
仓持笑 /nr 3	 [”/w], [仓持笑/nrj, 得/ude
来是 /nr 3	  我们/rr, 来是/nr, 想要/v, 
丰岛区 /nr 3	 , 位于/v, 丰岛区/nr, 的/ude1
五子 /nr 3	 是/vshi, 五子/nrj, 棋/n, 
那一天 /nr 3	  [和/cc, 那一天/nr, 晚上/t, 
佐仓先生 /nr 3	  ，/w], [佐仓先生/nrj, 。/w],
仓持可 /nr 3	  ，/w], [仓持可/nrj, 能/v, 
管钱 /nr 3	  ，/w], [管钱/nr, 的/ude1
才说 /nr 3	  你好/vl, 才说/nr, 的/ude1
向你 /nr 3	 1, 人/n, 向你/nr, 推销/v, 
小修 /nr 3	 d, 在/p, 小修/nr, 的/ude1
那你 /nr 3	 , [“/w, 那你/nr, 刚才/t, 
才要 /nr 3	 , 你/rr, 才要/nr, 不要脸/a,
方怕你 /nr 3	 v, 对/p, 方怕你/nr, 。/w], 
公香 /nr 3	 是/vshi, 公香/nr, 小姐/n, 
正中央 /nr 3	 的/ude1, 正中央/nrj, 。/w],
那是 /nr 2	 , [但/c, 那是/nr, 不行/a, 
都和仓 /nr 2	 [这些/rz, 都和仓/nr, 持/v, 说
曾说 /nr 2	 , 从前/t, 曾说/nr, ：/w, “
念高中 /nr 2	 , 去/vf, 念高中/nr, 的/ude1
都还 /nr 2	 , 沙发/n, 都还/nr, 不/d, 知
向由希子 /nr 2	  [他/rr, 向由希子/nrj, 征求/v,
久等了 /nr 2	  你们/rr, 久等了/nrj, 。/w],
江户川 /nr 2	 , 位于/v, 江户川/nr, 区/n, 的
时薪 /nr 2	 p, 下/f, 时薪/nr, 则/d, 显
那一夜 /nr 2	 , 忘记/v, 那一夜/nrj, ，/w],
关你 /nr 2	 有/vyou, 关你/nr, 的/ude1
小学时代 /nr 2	 过/uguo, 小学时代/nrj, 我/rr,
木原雅 /nr 2	 , 算是/v, 木原雅/nr, 辉/ng, 
仓持让 /nr 2	 , [”/w, 仓持让/nrj, 我/rr,
包你 /nr 2	  ，/w], [包你/nr, 吓一跳/nz
常在想 /nr 2	  [我/rr, 常在想/nr, ，/w], 
小衫 /nr 2	 , 名叫/v, 小衫/nr, ，/w], 
角笑了 /nr 2	 e, 嘴/n, 角笑了/nrj, 。/w],
那是仓 /nr 2	 , 知道/v, 那是仓/nr, 持/v, 上
伊莎 /nr 2	 , 没有/v, 伊莎/nr, 艾伦/nrf
盖一栋 /nr 2	 n, 想/v, 盖一栋/nr, 高级/a, 
才几 /nr 2	  豆腐/nf, 才几/nr, 十元/nz,
村冈 /nr 2	 , [“/w, 村冈/nr, ……/w],
寺冈小姐 /nr 2	  。/w], [寺冈小姐/nrj, 不再/d,
克洛亚 /nr 2	 a, ·/w, 克洛亚/nrf, 坠入情网/
老朋友了 /nr 2	 是/vshi, 老朋友了/nrj, 。/w],
都跟你 /nr 2	 , 事前/t, 都跟你/nr, 讲/v, 过
杜布雷 /nr 2	 , 父亲/n, 杜布雷/nr, 因为/c, 
班导 /nr 2	 的/ude1, 班导/nr, ，/w], 
