沙都子 /nr 524	  。/w], [沙都子/nrj, 正面/b,
南泽雅子 /nr 26	 着/uzhe, 南泽雅子/nrj, 用/p, 
白鹭庄 /nr 24	 v, “/w, 白鹭庄/nr, ”/w, 。
三岛亮子 /nr 23	 的/ude1, 三岛亮子/nrj, 。/w],
沙都子心 /nr 16	 ——/w], [沙都子心/nrj, 里/f, 
花之 /nr 15	 , 雪月/n, 花之/nr, 式/k, ”
和祥子 /nr 13	 n, 香/a, 和祥子/nrj, 住/vi,
才对 /nr 13	 , 放弃/v, 才对/nr, 。/w], 
秋川 /nr 13	 的/ude1, 秋川/nr, 义/ng, 
金井 /nr 12	 的/ude1, 金井/nr, 波/n, 香
金井波 /nr 11	 是/vshi, 金井波/nr, 香/a, 在
佐山刑警 /nr 11	  了/ule, 佐山刑警/nrj, 的/ude
练剑 /nr 11	  [不再/d, 练剑/nr, ，/w], 
牧村小姐 /nr 10	 是/vshi, 牧村小姐/nrj, 的/ude
高中时 /nr 9	  [和/cc, 高中时/nr, 一模一样/a
加贺一 /nr 9	 [”/w], [加贺一/nrj, 听/v, 
沙都子一 /nr 9	  。/w], [沙都子一/nrj, 走近/v,
广次 /nr 9	 , 看看/v, 广次/nr, 。/w], 
藤堂正彦 /nr 8	 , 叫/vi, 藤堂正彦/nrj, ，/w],
加贺恭一郎 /nr 8	  ，/w], [加贺恭一郎/nrj, 得到/v,
金井小姐 /nr 7	 w, “/w, 金井小姐/nrj, ，/w],
相原 /nr 6	 , 父亲/n, 相原/nr, 广/a, 次
南泽 /nr 6	 , 去找/v, 南泽/nr, 老师/nnt
加贺和沙都子 /nr 6	  。/w], [加贺和沙都子/nrj, 以前/f,
加贺将 /nr 6	 , [”/w, 加贺将/nrj, 簿子/n,
常去 /nr 5	 同学们/nz, 常去/nr, 的/ude1
斋藤 /nr 5	 , 叫/vi, 斋藤/nr, 。/w], 
泽雅 /nr 5	 z, 南/b, 泽雅/nrf, 子/ng,
古川智子 /nr 5	 的/ude1, 古川智子/nrj, 谈话/vn
初花 /nr 4	 v, “/w, 初花/nr, ”/w, 。
依波 /nr 4	  [众人/n, 依波/nrf, 香/a, 
雪铁龙 /nr 4	 , 红色/n, 雪铁龙/nrf, 进入/v,
工学系 /nr 4	 , 机械/n, 工学系/nrj, 、/w, 
牧村祥子 /nr 4	 [以及/cc, 牧村祥子/nrj, 都/d, 
藤堂将 /nr 4	  。/w], [藤堂将/nrj, 门/n, 
才行 /nr 4	 r, 在/p, 才行/nr, 。/w], 
波香 /nr 4	  有关/vn, 波香/nr, 的/ude1
都是 /nr 4	  ，/w], [都是/nr, 半/mq, 
那是 /nr 3	 w, “/w, 那是/nr, 先夫/n, 
沙都子知道 /nr 3	  。/w], [沙都子知道/nrj, ，/w],
可可 /nr 3	 , 杯/ng, 可可/nrf, 。/w],
那件 /nr 3	 的/ude1, 那件/nr, “/w, 白
古川 /nr 3	 , 女生/n, 古川/nr, 说/v, ，
为祥子 /nr 3	 , 去/vf, 为祥子/nrj, 祈祷/v,
花和月 /nr 3	 , 除了/p, 花和月/nr, 牌/n, 之
沙都子将 /nr 3	 [”/w], [沙都子将/nrj, 自己/rr
相原小姐 /nr 3	 是/vshi, 相原小姐/nrj, ？/w],
加贺望 /nr 3	  。/w], [加贺望/nrj, 着/uzh
伊泽 /nr 2	 , 和/cc, 伊泽/nr, 华江/ns,
门和 /nr 2	 q, 纸/n, 门和/nr, 起居室/n,
张数 /nr 2	 把/pba, 那张数/nr, 字牌/nz,
山下刑警 /nr 2	  。/w], [山下刑警/nrj, 接过/v,
天真纯洁 /nr 2	 是/vshi, 天真纯洁/nrj, 的/ude
久等了 /nr 2	 , 你/rr, 久等了/nrj, 。/w],
矢口一 /nr 2	  ，/w], [矢口一/nrj, 开始/v,
那张 /nr 2	 [把/pba, 那张/nr, 替换/v, 
向祥子 /nr 2	 , [“/w, 向祥子/nrj, 的/ude
香小姐 /nr 2	 r, 波/n, 香小姐/nrj, 喝/vg,
钮上 /nr 2	  将门/ns, 钮上/nr, 的/ude1
若生将 /nr 2	  。/w], [若生将/nrj, 喝完/v,
田和 /nr 2	 , 森/ag, 田和/nr, 副将/nnt
沙都子望 /nr 2	 , [”/w, 沙都子望/nrj, 向/p, 
藤堂一 /nr 2	 [”/w], [藤堂一/nrj, 边/k, 
波香那 /nr 2	 , 看到/v, 波香那/nrj, 异乎寻常/
开祥子 /nr 2	 v, 打/v, 开祥子/nrj, 的/ude
宿所 /nr 2	 1, 合/v, 宿所/nr, 露营/vi,
沙都子等 /nr 2	  。/w], [沙都子等/nrj, 六/m, 
沙都子将日记 /nr 2	  。/w], [沙都子将日记/nrj, 簿/ng,
三岛小姐 /nr 2	 , [“/w, 三岛小姐/nrj, 的/ude
相上段 /nr 2	 的/ude1, 相上段/nr, 对峙/vi,
川村登纪子 /nr 2	 助教/nnt, 川村登纪子/nrj, 大步/d,
果如波 /nr 2	 [”/w], [果如波/nr, 香/a, 所
安地 /nr 2	 n, 不/d, 安地/nr, 转动/v, 
都说 /nr 2	 [于是/cc, 都说/nr, 不/d, 知
武道 /nr 2	 n, 在/p, 武道/nr, 、/w, 茶
下竹剑 /nr 2	 n, 挥/v, 下竹剑/nrj, 。/w],
若生一 /nr 2	 , [“/w, 若生一/nrj, 直/d, 
那名 /nr 2	  [和/cc, 那名/nr, 陌生/a, 
月光 /nr 2	  [借着/p, 月光/nrf, 开门/vi
