尾田 /nr 209	 , 传来/v, 尾田/nr, 康城/nr,
太田 /nr 189	 , 叫/vi, 太田/nr, 的/ude1
靖子 /nr 133	 /ule, 森井靖子/nrj, 的/ude
柳生 /nr 130	  ，/w], [柳生/nr, 走到/vf,
高柳 /nr 45	  。/w], [高柳/nr, 芭蕾舞团/n
森井靖子 /nr 36	  了/ule, 森井靖子/nrj, 的/ude
小林 /nr 35	 [”/w], [小林/nr, 汇总/v, 
风间 /nr 34	 , [就/d, 风间/nr, 这个/rz,
石神 /nr 27	 , 天/qt, 石神/nr, 井/n, 署
高柳静子 /nr 24	  ，/w], [高柳静子/nrj, 抬起/v,
奥罗拉 /nr 22	 的/ude1, 奥罗拉/nrf, 公主/nn
风间利 /nr 18	 , 叫/vi, 风间利/nr, 之/uzhi
孝志 /nr 18	 w, “/w, 孝志/nr, 就/d, 我
浅冈未绪 /nr 17	 是/vshi, 浅冈未绪/nrj, 吧/y, 
齐藤叶 /nr 15	 的/ude1, 齐藤叶/nr, 琉/n, 子
齐藤 /nr 13	  。/w], [齐藤/nr, 叶/ng, 
中野妙子 /nr 13	 教练/nnt, 中野妙子/nrj, 朝未绪/n
高柳亚希子 /nr 13	 , 女儿/n, 高柳亚希子/nrj, 来/vf,
太田问 /nr 13	 , [”/w, 太田问/nr, 。/w], 
利之 /nr 12	 n, 间/f, 利之/nr, 的/ude1
托马斯 /nr 11	 /vn, 约翰·托马斯/nrf, 也/d, 
青木一 /nr 11	  [叫/vi, 青木一/nrj, 弘/nz,
和亚希子 /nr 11	 , 绪/ng, 和亚希子/nrj, 。/w],
弗洛丽娜 /nr 10	 是/vshi, 弗洛丽娜/nrf, 公主/nn
才对 /nr 10	 的/ude1, 才对/nr, 。/w], 
柳生讲 /nr 9	  ，/w], [柳生讲/nr, 介/vg, 
和未绪 /nr 9	 f, 就/d, 和未绪/nrj, 认识/v,
健彦 /nr 8	 g, 野/b, 健彦/nr, ，/w], 
卡拉 /nr 7	 , 妖怪/n, 卡拉/nrf, 波斯/ns
尾田康 /nr 7	 是/vshi, 尾田康/nr, 成/v, 。
洛桑 /nr 6	 , [“/w, 洛桑/nrf, 芭蕾/n,
和靖子 /nr 5	 , 平时/t, 和靖子/nrj, 比较/d,
广江 /nr 4	  [母亲/n, 广江/nr, 不住/d, 
弗洛丽娅 /nr 4	 , 和/cc, 弗洛丽娅/nrf, 公主/nn
尾田和 /nr 4	  [然后/c, 尾田和/nr, 高柳静子/n
菅原 /nr 4	 , 名叫/v, 菅原/nr, ，/w], 
高柳静 /nr 4	  [之前/f, 高柳静/nr, 子/ng, 
后未绪 /nr 4	 之/uzhi, 后未绪/nrj, 几/d, 
青木和夫 /nr 4	 [”/w], [青木和夫/nrj, 是/vsh
井问 /nr 3	  [富/vg, 井问/nr, ，/w], 
迪吉瑞 /nr 3	 , 和/cc, 迪吉瑞/nrf, 王子/ns
都说 /nr 3	  。/w], [都说/nr, 为了/p, 
井用 /nr 3	  [富/vg, 井用/nr, 圆珠笔/n,
尾田在 /nr 3	 , 和/cc, 尾田在/nr, 那边/rzs
加贺一 /nr 3	 , [”/w, 加贺一/nrj, 问/v, 
余光 /nr 3	 v, 用/p, 余光/nr, 环顾/v, 
柳生呢 /nr 3	 w, “/w, 柳生呢/nr, ？/w], 
那件 /nr 3	 , 一下/m, 那件/nr, 衬衫/n, 
加贺先生 /nr 3	 v, “/w, 加贺先生/nrj, ”/w, 
那张 /nr 2	 组长/nnt, 那张/nr, 细长/z, 
靖子也 /nr 2	  ，/w], [靖子也/nr, 和/cc, 
小林副 /nr 2	 t, 、/w, 小林副/nr, 警官/nnt
为了学 /nr 2	  ，/w], [为了学/nrj, 绘画/n,
那两人 /nr 2	 , [“/w, 那两人/nr, 是/vshi
华尔兹 /nr 2	 , 跳起/v, 华尔兹/nrf, 的/ude
太田挠 /nr 2	  [然后/c, 太田挠/nr, 了/ule,
刚说 /nr 2	  自己/rr, 刚说/nr, 的/ude1
向未绪 /nr 2	 r, 转/v, 向未绪/nrj, ，/w],
浅冈小姐 /nr 2	  ，/w], [浅冈小姐/nrj, 。/w],
太田和 /nr 2	 , 派出/v, 太田和/nr, 加贺/ns,
包里 /nr 2	 的/ude1, 包里/nr, 。/w], 
井警官 /nr 2	  [富/vg, 井警官/nr, 负责/v, 
尾田来 /nr 2	 w, 对/p, 尾田来/nr, 说/v, ，
向亚希 /nr 2	 , 鲜花/n, 向亚希/nr, 子/ng, 
刚想 /nr 2	  [而/cc, 刚想/nr, 喘/v, 一
小林问 /nr 2	 , [”/w, 小林问/nr, 。/w], 
真想 /nr 2	 , [“/w, 真想/nr, 拌/v, 蛋
太田从 /nr 2	 , 和/cc, 太田从/nr, 池袋/nz,
靖子和 /nr 2	  。/w], [靖子和/nr, 青木/nz,
伦敦 /nr 2	 , 还有/v, 伦敦/nrf, 。/w],
出院了 /nr 2	 t, 就/d, 出院了/nrj, 。/w],
代代木 /nr 2	 n, 在/p, 代代木/nrf, 公园/n,
宫本清美 /nr 2	 , 叫/vi, 宫本清美/nrj, ，/w],
柳生可 /nr 2	  [就算/d, 柳生可/nrj, 能/v, 
太田一 /nr 2	 , [经/p, 太田一/nr, 问/v, ，
太田来 /nr 2	 , 和/cc, 太田来/nr, 对/p, 芭
高柳亚 /nr 2	  [和/cc, 高柳亚/nr, 希/b, 子
康城 /nr 2	  尾田/nr, 康城/nr, 那/rzv,
有亚希子 /nr 2	 g, 还/d, 有亚希子/nrj, 和/cc,
中村 /nr 2	 i, 在/p, 中村/nr, 桥/n, 站
金丝边 /nr 2	 , 框/ng, 金丝边/nr, 眼镜/n, 
那孩子 /nr 1	  喜欢/vi, 那孩子/nr, 吧/y, ？
上节奏 /nr 1	 v, 不/d, 上节奏/nrj, 的/ude
安藤也 /nr 1	 教授/nnt, 安藤也/nr, 来/vf, 
尾田有 /nr 1	 , 和/cc, 尾田有/nr, 接触/v, 
式了 /nr 1	  过去/vf, 式了/nrj, 。/w],
诺瓦 /nr 1	 w, 奥/b, 诺瓦/nrf, 夫人/n,
加贺一行 /nr 1	  [而/cc, 加贺一行/nrj, 人/n, 
一条和来 /nr 1	 v, 在/p, 一条和来/nrj, 时/qt,
走出旅馆 /nr 1	  。/w], [走出旅馆/nrj, 后/f, 
连未绪 /nr 1	 , 以为/v, 连未绪/nr, 都/d, 发
门和 /nr 1	  了/ule, 门和/nr, 窗户/n, 
常去 /nr 1	 , 走进/v, 常去/nr, 的/ude1
向公园 /nr 1	  ，/w], [向公园/nrj, 的/ude
完后 /nr 1	  [宣布/v, 完后/nr, 两/m, 人
柳生静子 /nr 1	 一会儿/mq, 柳生静子/nrj, 走出/v,
柳生喊 /nr 1	 [”/w], [柳生喊/nr, 了/ule,
尾田能 /nr 1	 , 和/cc, 尾田能/nr, 接触/v, 
麦淇淋 /nr 1	 f, 、/w, 麦淇淋/nr, 、/w, 鸡
那尾田 /nr 1	 , [“/w, 那尾田/nr, 的/ude1
