弘美 /nr 94	 /w], [永井弘美/nrj, 原来/d,
孝志 /nr 86	  [就是/v, 孝志/nr, 周三/t, 
黑田 /nr 70	  。/w], [黑田/nr, 是/vshi
田宫 /nr 56	  ，/w], [田宫/nr, 警/ng, 
安藤 /nr 51	  ，/w], [安藤/nr, 氏/ng, 
雅美 /nr 41	 教师/nnt, 雅美/nrf, 。/w],
高间 /nr 39	 的/ude1, 高间/nr, 用/p, 尽
隆夫 /nr 38	 j, 、/w, 隆夫/nr, ，/w], 
高野 /nr 34	  [自称/v, 高野/nr, 和/cc, 
佐野 /nr 26	 的/ude1, 佐野/nr, 叫/vi, 
厚子 /nr 23	 , [”/w, 厚子/nr, 的/ude1
中町由希子 /nr 18	 , 名叫/v, 中町由希子/nrj, 的/ude
创介 /nr 17	 , 楸/n, 住创介/nrj, 问/v, 
安藤由纪子 /nr 16	 , ——/w, 安藤由纪子/nrj, 还有/v,
阿达 /nr 16	 是/vshi, 阿达/nrf, 死/v, 
荻原 /nr 14	 是/vshi, 荻原/nr, ”/w, 之
荻原家 /nr 13	 是/vshi, 荻原家/nr, 的/ude1
胡子刑警 /nr 13	  。/w], [胡子刑警/nrj, 有些/rz
阿良 /nr 11	 , 今天/t, 阿良/nrf, 你/rr,
时枝太太 /nr 9	 [”/w], [时枝太太/nrj, 楸/n, 
笠井 /nr 9	 是/vshi, 笠井/nr, 同学/n, 
安藤由 /nr 9	 w, “/w, 安藤由/nr, 纪子/n, 
启三 /nr 7	 n, 对/p, 启三/nr, 的/ude1
和达也 /nr 7	 , 我/rr, 和达也/nrj, 的/ude
江理子 /nr 7	 , 名叫/v, 江理子/nr, ，/w], 
荻原丽子 /nr 7	  ，/w], [荻原丽子/nrj, 终于/d,
安藤由纪子小姐 /nr 6	  有关/vn, 安藤由纪子小姐/nrj, 的/ude
那张 /nr 6	 达也/nrj, 那张/nr, 就/d, 像
名刑警 /nr 6	 , [两/m, 名刑警/nrj, 对望一眼/
木岛礼子 /nr 6	  [名叫/v, 木岛礼子/nrj, 。/w],
广美 /nr 6	 , 叫/vi, 广美/nr, 。/w], 
荻原信二 /nr 6	 [”/w], [荻原信二/nrj, 的/ude
与达也 /nr 6	 , 我/rr, 与达也/nrj, 的/ude
那卷 /nr 5	 , [从/p, 那卷/nr, 录像带/n,
岸田先生 /nr 5	 的/ude1, 岸田先生/nrj, 或许/d,
笠井美 /nr 5	  了/ule, 笠井美/nr, 代子/nz,
才行 /nr 5	  一阵/mq, 才行/nr, 。/w], 
荻原君 /nr 5	 d, 跟/p, 荻原君/nr, 一样/uyy
高野刑警 /nr 5	  。/w], [高野刑警/nrj, 用/p, 
笠井美代子 /nr 4	 , [“/w, 笠井美代子/nrj, 。/w],
高间刑警 /nr 4	  。/w], [高间刑警/nrj, 重复/vd
那名 /nr 4	  了/ule, 那名/nr, 备考/n, 
永井弘美 /nr 4	  ，/w], [永井弘美/nrj, 原来/d,
井本 /nr 4	 主任/nnt, 井本/nr, 。/w], 
弘美站 /nr 4	 [”/w], [弘美站/nr, 到/v, 他
那你 /nr 4	 , [“/w, 那你/nr, 昨晚/t, 
岸田创介 /nr 4	 i, 到/v, 岸田创介/nrj, 的/ude
那户 /nr 3	  [而/cc, 那户/nr, 亲戚家/n,
道顿 /nr 3	 是/vshi, 道顿/nrf, 掘/v, 
森田心 /nr 3	  ，/w], [森田心/nrj, 里/f, 
中西幸雄 /nr 3	 [7/m], [中西幸雄/nrj, 对/p, 
高间和 /nr 3	 [”/w], [高间和/nr, 日野/nz,
索尼 /nr 3	 是/vshi, 索尼/nrf, 大楼/n,
月光 /nr 3	 的/ude1, 月光/nrf, ，/w],
弘美才 /nr 3	  ，/w], [弘美才/nr, 想起/v, 
安藤和夫 /nr 3	  。/w], [安藤和夫/nrj, ，/w],
町由希子 /nr 3	  名叫/v, 中町由希子/nrj, 的/ude
包来 /nr 3	 的/ude1, 包来/nr, ，/w], 
和正树 /nr 3	 那口子/rr, 和正树/nrj, 都/d, 
佐伯洋子 /nr 3	 的/ude1, 佐伯洋子/nrj, 。/w],
和雅美 /nr 3	 , 我/rr, 和雅美/nrj, ，/w],
薄上 /nr 3	 , 住址/n, 薄上/nr, 就/d, 只
小田刑警 /nr 2	 z, 给/p, 小田刑警/nrj, ，/w],
尤伯连 /nr 2	 , 成为/v, 尤伯连/nr, 纳/v, 的
八木雅美 /nr 2	 v, “/w, 八木雅美/nrj, ”/w, 
泽田 /nr 2	 老师/nnt, 泽田/nr, 便/d, 迫
田和中 /nr 2	  [森/ag, 田和中/nr, 町由希子/n
河合雅美 /nr 2	 , 名叫/v, 河合雅美/nrj, 的/ude
都挺晚 /nr 2	  回家/vi, 都挺晚/nr, 的/ude1
朝了一 /nr 2	 n, 扭/v, 朝了一/nrj, 旁/f, 
何会 /nr 2	 r, 为/p, 何会/nr, 说出/v, 
车后 /nr 2	  佐野/nr, 车后/nr, 的/ude1
田村太太 /nr 2	  ？/w], [田村太太/nrj, ？/w],
田宫站 /nr 2	 [”/w], [田宫站/nr, 在/p, 窗
安藤问 /nr 2	 , [”/w, 安藤问/nr, 。/w], 
田宫望了望 /nr 2	  。/w], [田宫望了望/nrj, 桌旁/s,
鲁米诺 /nr 2	 , 叫做/v, 鲁米诺/nrf, 反应/vn
弘美却 /nr 2	 , [但/c, 弘美却/nr, 已是/d, 
田宫问 /nr 2	 , [”/w, 田宫问/nr, 。/w], 
树说 /nr 2	 , [正/d, 树说/nr, ，/w], 
高野一 /nr 2	  ，/w], [高野一/nrj, 脸/n, 
和创介 /nr 2	 , 我/rr, 和创介/nrj, 的/ude
佐伯 /nr 2	 , 出/vf, 佐伯/nr, 洋子/nz,
周孝志 /nr 2	 1, 一/m, 周孝志/nr, 还是/c, 
田你 /nr 2	 , 森/ag, 田你/nr, 有/vyou
那女 /nr 2	 , [“/w, 那女/nr, 的/ude1
黑田心 /nr 2	  ，/w], [黑田心/nrj, 中/f, 
孝志便 /nr 2	  ，/w], [孝志便/nr, 已/d, 逃
望月直美 /nr 2	  ，/w], [望月直美/nrj, 在/p, 
都挺 /nr 2	 的/ude1, 都挺/nr, 熟/a, 的
孝志在 /nr 2	  。/w], [孝志在/nr, 原地/n, 
荻原启 /nr 2	 的/ude1, 荻原启/nr, 三/m, 。
有洋子 /nr 2	 , 存在/v, 有洋子/nrj, 开始/v,
关达也 /nr 2	 有/vyou, 关达也/nr, 的/ude1
高二 /nr 2	  了/ule, 高二/nr, 的/ude1
才对 /nr 2	 , 满足/v, 才对/nr, 。/w], 
木岛 /nr 2	 , [但/c, 木岛/nr, 礼/n, 子
永井 /nr 2	 是/vshi, 永井/nr, 。/w], 
田就 /nr 2	  [森/ag, 田就/nr, 追上/v, 
真想 /nr 2	  [有时/d, 真想/nr, 煽/n, 他
