关谷 /nr 172	 [”/w], [关谷/nr, 拿起/v, 
并木先生 /nr 106	 , 既然/c, 并木先生/nrj, 也/d, 
章太 /nr 61	 , 和/cc, 章太/nr, 平日/t, 
藤间先生 /nr 47	 是/vshi, 藤间先生/nrj, 的/ude
关谷靖子 /nr 33	 , [”/w, 关谷靖子/nrj, 说/v, 
高阶英里子 /nr 28	  。/w], [高阶英里子/nrj, （/w, 
高阶小姐 /nr 27	 v, 将/d, 高阶小姐/nrj, 当做/v,
藤间一 /nr 27	 , [”/w, 藤间一/nrj, 枝/ng,
坂崎先生 /nr 20	 是/vshi, 坂崎先生/nrj, ，/w],
东野圭吾 /nr 15	 , ——/w, 东野圭吾/nrj, 的/ude
关谷先生 /nr 15	 , [“/w, 关谷先生/nrj, 他们/rr
靖子 /nr 14	 是/vshi, 靖子/nr, 他们/rr,
日月光 /nr 14	 , [※/w, 日月光/nrj, 华/b, 
才对 /nr 12	  起床/vi, 才对/nr, ，/w], 
坂崎君子 /nr 11	  。/w], [坂崎君子/nrj, 从/p, 
才行 /nr 10	 , 澡/vg, 才行/nr, 。/w], 
卡拉 /nr 8	  [就是/v, 卡拉/nrf, OK/nx
木先生 /nr 8	  既然/c, 并木先生/nrj, 也/d, 
藤间将 /nr 7	 [于是/cc, 藤间将/nrj, 视线/n,
关谷问 /nr 6	 , [”/w, 关谷问/nr, 。/w], 
那你 /nr 5	 , [“/w, 那你/nr, 是/vshi
向俊介 /nr 5	 z, 转/v, 向俊介/nrj, 问道/vi
西玛 /nr 4	 的/ude1, 西玛/nr, （/w, 注
藤间等 /nr 4	 , 看看/v, 藤间等/nrj, 人/n, 
才要 /nr 3	 , 现在/t, 才要/nr, 开始/v, 
张开嘴 /nr 3	 地/ude2, 张开嘴/nr, ，/w], 
来过 /nr 3	 里子/nrj, 来过/nr, 这里/rzs
那是 /nr 2	 , [“/w, 那是/nr, 暑假作业/n
关谷一 /nr 2	  。/w], [关谷一/nrj, 边/k, 
求美菜子 /nr 2	 v, 寻/v, 求美菜子/nrj, 的/ude
藤间伸 /nr 2	 , [”/w, 藤间伸/nrj, 手拿/v,
章太问 /nr 2	 , [”/w, 章太问/nr, 。/w], 
高阶英里子小姐 /nr 2	  [就是/v, 高阶英里子小姐/nrj, 。/w],
和英里子 /nr 2	 , 我/rr, 和英里子/nrj, 的/ude
关谷站 /nr 2	 , [”/w, 关谷站/nr, 起来/vf,
间先生 /nr 2	 /vshi, 藤间先生/nrj, 的/ude
儿子拓也 /nr 2	 的/ude1, 儿子拓也/nrj, 也/d, 
大家一 /nr 2	 , 因为/c, 大家一/nrj, 时/qt,
关谷和 /nr 2	 是/vshi, 关谷和/nr, 藤/n, 间
上前一步 /nr 2	 , 介/vg, 上前一步/nrj, ，/w],
关谷靖 /nr 2	 , 和/cc, 关谷靖/nr, 子/ng, 
天亮了 /nr 2	 n, 就/d, 天亮了/nrj, 。/w],
披萨 /nr 2	 是/vshi, 披萨/nrf, 和/cc,
关谷也 /nr 2	 , [”/w, 关谷也/nr, 接着/c, 
里俊介 /nr 2	  这/rzv, 里俊介/nrj, 咬/vi,
关谷靖子一 /nr 2	 , [”/w, 关谷靖子一/nrj, 边/k, 
都是 /nr 2	 d, 也/d, 都是/nr, 这样/rzv
布里 /nr 2	 , 塑胶/n, 布里/nrf, 的/ude
章太画 /nr 2	 是/vshi, 章太画/nr, 的/ude1
白晰 /nr 2	 , 脸色/n, 白晰/nr, 到/v, 几
