慎介 /nr 1416	 n, 村/n, 慎介/nr, 丧失/v, 
木内 /nr 211	 , 接近/v, 木内/nr, 先生/n, 
成美 /nr 99	 /w], [村上成美/nrj, 跟/p, 
岸中玲 /nr 50	 , 叫/vi, 岸中玲/nrj, 二/m, 
岸中美菜 /nr 43	  ，/w], [岸中美菜/nrj, 绘/v, 
慎介问 /nr 28	 , [”/w, 慎介问/nr, 。/w], 
木内先生 /nr 17	 , [“/w, 木内先生/nrj, 啊/y, 
慎介站 /nr 17	  ，/w], [慎介站/nr, 在/p, 邮
慎介点 /nr 14	 , [”/w, 慎介点/nr, 了/ule,
江岛先生 /nr 14	  。/w], [江岛先生/nrj, 劝/v, 
慎介也 /nr 13	  ，/w], [慎介也/nr, 和/cc, 
小慎 /nr 12	 , [“/w, 小慎/nr, ！/w], 
法拉利 /nr 12	 , 红色/n, 法拉利/nrf, 。/w],
马克杯 /nr 11	 m, 个/q, 马克杯/nr, ，/w], 
秋山 /nr 11	 , [”/w, 秋山/nr, 警官/nnt
才对 /nr 11	 , 时候/n, 才对/nr, 。/w], 
慎介却 /nr 10	  [然而/c, 慎介却/nr, 难以想象/l
慎介摇 /nr 9	 , [”/w, 慎介摇/nr, 了/ule,
村先生 /nr 8	 w, 雨/n, 村先生/nrj, ，/w],
汤口律 /nr 8	 , 请教/v, 汤口律/nrj, 师/ng,
奇特 /nr 8	 c, 太/d, 奇特/nrf, 少见/a,
慎介一 /nr 7	  ？/w], [慎介一/nr, 把/pba,
岸中先生 /nr 7	 是/vshi, 岸中先生/nrj, 的/ude
慎介没 /nr 7	  。/w], [慎介没/nr, 办法/n, 
堀田纯一 /nr 7	 是/vshi, 堀田纯一/nrj, 同学/n,
莱姆 /nr 6	 m, 口/n, 莱姆/nrf, 伏特加/n
慎介又 /nr 6	  。/w], [慎介又/nr, 把手/n, 
慎介想 /nr 6	 n, 问/v, 慎介想/nr, 点/qt, 
慎介正 /nr 6	 这时/rzt, 慎介正/nr, 打算/v, 
慎介并 /nr 5	  [其实/d, 慎介并/nr, 不是/c, 
义幸 /nr 5	  冈部/nz, 义幸/nr, 最先/d, 
慎介从 /nr 5	  。/w], [慎介从/nr, 床上/n, 
卡拉 /nr 4	 f, 唱/v, 卡拉/nrf, OK/nx
久等了 /nr 4	 , 您/rr, 久等了/nrj, 。/w],
慎介来 /nr 4	 的/ude1, 慎介来/nr, 说/v, ，
木内没 /nr 4	  ，/w], [木内没/nr, 告诉/v, 
亚历山大 /nr 4	 , 叫/vi, 亚历山大/nrf, 。/w],
成岸 /nr 4	  变身/nz, 成岸/nr, 中美/n, 
汤口 /nr 4	 [”/w], [汤口/nr, 律师/nnt
木内问 /nr 4	 v, 找/v, 木内问/nr, 问/v, 了
才会 /nr 4	  ，/w], [才会/nr, 拼了命/l,
那件 /nr 4	  不论是/c, 那件/nr, 长/a, 下
马丁尼 /nr 4	  辛口/nr, 马丁尼/nrf, 。/w],
与瑠璃子 /nr 3	 r, 想/v, 与瑠璃子/nrj, 更/d, 
轩尼诗 /nr 3	 来一杯/nr, 轩尼诗/nrf, 吗/y, 
慎介和 /nr 3	 [”/w], [慎介和/nr, 警官/nnt
慎介能 /nr 3	 , 希望/v, 慎介能/nr, 问/v, 他
慎你 /nr 3	 w, 小/a, 慎你/nr, 啊/y, …
起成美 /nr 3	  调查/vn, 起成美/nrj, 的/ude
慎介要 /nr 3	  [正当/a, 慎介要/nr, 按/p, 下
慎介边 /nr 3	  。/w], [慎介边/nr, 解开/v, 
慎介先 /nr 3	 , [请/v, 慎介先/nr, 帮/v, 她
慎介以 /nr 3	 1, ”/w, 慎介以/nr, 眼神/n, 
慎介听 /nr 3	 [”/w], [慎介听/nr, 了/ule,
成美会 /nr 3	 无法想象/v, 成美会/nr, 买/v, 这
木内叹 /nr 3	 , [”/w, 木内叹/nr, 了/ule,
那你 /nr 3	 , [“/w, 那你/nr, 告诉/v, 
慎介才 /nr 3	  ，/w], [慎介才/nr, 注意到/v,
清洲桥 /nr 3	 , 位于/v, 清洲桥/nr, 道上/s, 
成美问 /nr 3	 , [”/w, 成美问/nr, 。/w], 
木内也 /nr 3	  ，/w], [木内也/nr, 在/p, 那
木内住 /nr 3	 , 离开/v, 木内住/nr, 的/ude1
施力 /nr 3	 , 可以/v, 施力/nr, 旋转/vi,
慎介则 /nr 3	  。/w], [慎介则/nr, 没想/l, 
慎介答 /nr 3	 , [”/w, 慎介答/nr, 。/w], 
朝慎介 /nr 2	  [女人/n, 朝慎介/nr, 呼出/v, 
慎介仍 /nr 2	 , [当/p, 慎介仍/nr, 处于/v, 
那张 /nr 2	 , 看过/v, 那张/nr, 长得/v, 
慎介合 /nr 2	  。/w], [慎介合/nr, 上周/t, 
慎介就 /nr 2	  ，/w], [慎介就/nr, 把/pba,
住瑠璃子 /nr 2	 d, 抓/v, 住瑠璃子/nrj, 双肩/n,
慎介松 /nr 2	  ，/w], [慎介松/nr, 了/ule,
饶富 /nr 2	  ，/w], [饶富/nr, 兴趣/n, 
慎介往 /nr 2	 , [”/w, 慎介往/nr, 前/f, 迈
双眉 /nr 2	 , 起/vf, 双眉/nr, 。/w], 
慎介直 /nr 2	  感觉到/v, 慎介直/nr, 盯着/v, 
香奈儿 /nr 2	 , 穿着/n, 香奈儿/nrf, 的/ude
樫本先生 /nr 2	 , [“/w, 樫本先生/nrj, 。/w],
那支 /nr 2	 a, 让/v, 那支/nr, 手机/n, 
沙龙 /nr 2	  美容/vn, 沙龙/nrf, 用/p, 
朝瑠璃子 /nr 2	  [不断/d, 朝瑠璃子/nrj, 的/ude
慎介将 /nr 2	  。/w], [慎介将/nr, 两/m, 个
门后 /nr 2	 i, 在/p, 门后/nr, 。/w], 
慎介遭 /nr 2	 [调查/vn, 慎介遭/nr, 攻击/vn,
慎介会 /nr 2	 , 担心/v, 慎介会/nr, 来/vf, 
袭向慎 /nr 2	 , 感觉/n, 袭向慎/nr, 介/vg, 
都有 /nr 2	 学院/nis, 都有/nr, 。/w], 
一口凉 /nr 2	  了/ule, 一口凉/nrj, 气/n, 
为了让 /nr 2	 是/vshi, 为了让/nrj, 樫/w, 
木内付 /nr 2	  。/w], [木内付/nr, 完/vi, 
闻言 /nr 2	 刑警/nnt, 闻言/nr, 脸色/n, 
小成 /nr 2	 , 好友/n, 小成/nr, ，/w], 
慎介鞠 /nr 2	 , [”/w, 慎介鞠/nr, 了/ule,
拉门 /nr 2	 u, 扇/q, 拉门/nrf, 。/w],
起千都子 /nr 2	 z, 拿/v, 起千都子/nrj, 的/ude
辛口 /nr 2	 , [“/w, 辛口/nr, 马丁尼/nr
边说 /nr 2	 , 准备/v, 边说/nr, 。/w], 
汤口先生 /nr 2	 ……/w], [汤口先生/nrj, 吧/y, 
都能 /nr 2	  [他/rr, 都能/nr, 自由行动/n
小野 /nr 2	 妈妈桑/nz, 小野/nr, 千/m, 都
