友彦 /nr 190	 /w], [园村友彦/nrj, 扫/v, 
松浦 /nr 123	 , [”/w, 松浦/nr, 歪着头/v,
康晴 /nr 112	 , 堂兄/n, 康晴/nr, 强烈/a, 
唐泽雪穗 /nr 112	 , 找到/v, 唐泽雪穗/nrj, 的/ude
秋吉 /nr 108	 w, “/w, 秋吉/nr, ，/w], 
高宫 /nr 84	 , [“/w, 高宫/nr, 先生/n, 
古贺 /nr 82	 刑警/nnt, 古贺/nr, 进来/vf,
弘惠 /nr 62	 中岛/nrf, 弘惠/nr, 瞄/v, 了
今枝先生 /nr 43	 , [“/w, 今枝先生/nrj, 的/ude
桐原亮司 /nr 39	  。/w], [桐原亮司/nrj, （/w, 
唐泽 /nr 37	  ，/w], [唐泽/nr, 尽可能/d,
田川 /nr 36	 , [但/c, 田川/nr, 不想/v, 
高宫诚 /nr 35	  ，/w], [高宫诚/nr, 站/vi, 
桐原洋介 /nr 35	 [被害人/n, 桐原洋介/nrj, 是/vsh
筱冢先生 /nr 34	 是/vshi, 筱冢先生/nrj, 的/ude
筱冢一成 /nr 31	  ，/w], [筱冢一成/nrj, 来到/v,
文代 /nr 29	 名叫/v, 西本文代/nrj, 的/ude
和雪穗 /nr 25	  [他/rr, 和雪穗/nrj, 的/ude
桐原先生 /nr 25	 , 听说/v, 桐原先生/nrj, 是/vsh
牟田 /nr 25	  。/w], [牟田/nr, 把/pba,
西本文代 /nr 23	 , 名叫/v, 西本文代/nrj, 的/ude
滨本夏美 /nr 22	 着/uzhe, 滨本夏美/nrj, 。/w],
唐泽小姐 /nr 21	 , 采访/v, 唐泽小姐/nrj, ？/w],
唐泽礼子 /nr 21	  ，/w], [唐泽礼子/nrj, 随即/d,
高宫先生 /nr 21	  ，/w], [高宫先生/nrj, 好像/v,
吉田 /nr 19	 i, “/w, 吉田/nr, 公寓/n, 
笹垣先生 /nr 18	 , [“/w, 笹垣先生/nrj, ……/w]
朱美 /nr 17	 [”/w, 上野朱美/nrj, 把/pba
夏美 /nr 17	 , [“/w, 夏美/nr, ？/w], 
唐泽雪 /nr 16	 , 想起/v, 唐泽雪/nr, 穗/b, 的
唐泽雪穗小姐 /nr 16	 ……/w], [唐泽雪穗小姐/nrj, ？/w],
川岛江利子 /nr 15	  ，/w], [川岛江利子/nrj, 都和唐/n
马里奥 /nr 15	 , 超级/b, 马里奥/nrf, ”/w, 
拉门 /nr 15	  和式/nz, 拉门/nrf, ，/w],
花冈夕子 /nr 15	 , 看到/v, 花冈夕子/nrj, 正坐/v,
秋吉雄一 /nr 14	  。/w], [秋吉雄一/nrj, 右手/n,
三泽千都 /nr 14	  。/w], [三泽千都/nrj, 留/v, 
永明大学 /nr 12	 , 来自/v, 永明大学/nrj, 的/ude
仓桥学 /nr 12	 , [“/w, 仓桥学/nrj, 姐/n, 
藤村都子 /nr 12	 , 知道/v, 藤村都子/nrj, 吗/y, 
都子 /nr 11	 知道/v, 藤村都子/nrj, 吗/y, 
元冈 /nr 11	 , 叫/vi, 元冈/nr, 邦/ng, 
西本雪穗 /nr 11	 w, “/w, 西本雪穗/nrj, 。/w],
桐原一 /nr 10	 , [”/w, 桐原一/nrj, 面/nf,
花冈 /nr 10	 是/vshi, 花冈/nr, 郁雄/nr,
友彦问 /nr 10	 , [”/w, 友彦问/nr, 。/w], 
与雪穗 /nr 10	  ，/w], [与雪穗/nrj, 的/ude
园村友彦 /nr 10	  。/w], [园村友彦/nrj, 扫/v, 
欧巴桑 /nr 9	 的/ude1, 欧巴桑/nrf, 对/p, 
西本太太 /nr 9	 , 请教/v, 西本太太/nrj, ，/w],
西口奈美江 /nr 8	  。/w], [西口奈美江/nrj, 走近/v,
熊泽 /nr 8	 , [姓/v, 熊泽/nr, 。/w], 
菊池文彦 /nr 8	  ，/w], [菊池文彦/nrj, 正坐/v,
筱冢学 /nr 8	  ，/w], [筱冢学/nrj, 长/a, 
才对 /nr 8	 , 资料/n, 才对/nr, 。/w], 
松浦先生 /nr 7	 , [“/w, 松浦先生/nrj, ，/w],
松浦勇 /nr 7	 , 叫/vi, 松浦勇/nr, ，/w], 
今枝一 /nr 7	 i, 帮/v, 今枝一/nrj, 把/pba
笹垣将 /nr 7	  。/w], [笹垣将/nrj, 这些/rz
小亮 /nr 7	 , [“/w, 小亮/nr, ，/w], 
今枝伸 /nr 7	 , [”/w, 今枝伸/nrj, 手/n, 
那件 /nr 6	 , 遇到/v, 那件/nr, 意外/a, 
向友彦 /nr 6	 n, 看/v, 向友彦/nrj, ，/w],
卡德 /nr 6	 v, 理/n, 卡德/nrf, 的/ude
中岛 /nr 6	 的/ude1, 中岛/nrf, 弘惠/nr
那孩子 /nr 6	 , [“/w, 那孩子/nr, 也/d, 是
才说 /nr 6	  [她/rr, 才说/nr, 到/v, 一
陈尸 /nr 6	 , 与/cc, 陈尸/nr, 现场/s, 
今枝等 /nr 6	 的/ude1, 今枝等/nrj, 人/n, 
都是 /nr 6	 的/ude1, 都是/nr, 没有/v, 
筱冢康晴 /nr 6	 , 了解/v, 筱冢康晴/nrj, 对/p, 
马克杯 /nr 5	 的/ude1, 马克杯/nr, 装/v, 了
花冈夕 /nr 5	 , 明白/v, 花冈夕/nr, 子/ng, 
崎忠 /nr 5	 , 寺/ng, 崎忠/nr, 夫/ng, 
笹垣一 /nr 5	 [”/w], [笹垣一/nrj, 边/k, 
笹垣润三 /nr 5	  。/w], [笹垣润三/nrj, 的/ude
奇特 /nr 5	 n, 很/d, 奇特/nrf, 。/w],
那好 /nr 5	 , [“/w, 那好/nr, ，/w], 
三泽小姐 /nr 5	 , [“/w, 三泽小姐/nrj, 。/w],
桐原弥生子 /nr 5	  ，/w], [桐原弥生子/nrj, 就/d, 
洋介 /nr 5	 害人/n, 桐原洋介/nrj, 是/vsh
门后 /nr 5	 , [让/v, 门后/nr, 的/ude1
菅原绘里 /nr 5	 的/ude1, 菅原绘里/nrj, 问/v, 
才会 /nr 5	  ，/w], [才会/nr, 被/pbei
