真琴 /nr 216	 , [“/w, 真琴/nr, 和菜穗子/n
江波 /nr 123	  ，/w], [江波/nr, 也好/y, 
玛丽亚 /nr 41	 , [‘/w, 玛丽亚/nrf, 何时/ry
公一 /nr 36	 , [但/c, 公一/nr, 自己/rr,
中村 /nr 30	 n, 姓/v, 中村/nr, ，/w], 
村政 /nr 20	  [而/cc, 村政/nr, 的/ude1
江波先生 /nr 17	 是/vshi, 江波先生/nrj, 。/w],
杰克 /nr 17	 w, ‘/w, 杰克/nrf, 与/cc,
吉尔 /nr 17	 , 与/cc, 吉尔/nrf, ’/w, 
古川 /nr 15	 d, 姓/v, 古川/nr, 。/w], 
老鹅 /nr 14	 c, “/w, 老鹅/nr, 妈妈/n, 
上条先生 /nr 13	 , [“/w, 上条先生/nrj, 。/w],
保罗 /nr 13	 g, ·/w, 保罗/nrf, ’/w, 
那孩子 /nr 13	 , 留给/v, 那孩子/nr, 的/ude1
原先生 /nr 12	 , 发现/v, 原先生/nr, 的/ude1
名刑警 /nr 11	  这/rzv, 名刑警/nrj, 与/cc,
才对 /nr 10	  目击者/n, 才对/nr, 。/w], 
和菜穗子 /nr 9	  真琴/nr, 和菜穗子/nrj, 你们/rr
原公一 /nr 7	 , 那位/r, 原公一/nr, 先生/n, 
回房 /nr 7	 , 之后/f, 回房/nr, 的/ude1
与菜穗子 /nr 7	 , 房间/n, 与菜穗子/nrj, 她们/rr
高濑先生 /nr 6	  ，/w], [高濑先生/nrj, 。/w],
和久留美 /nr 6	 经理/nnt, 和久留美/nrj, 的/ude
高濑一 /nr 5	  ，/w], [高濑一/nrj, 边/k, 
那张 /nr 5	 , 她/rr, 那张/nr, 一/m, 脸
那件 /nr 5	  把/pba, 那件/nr, 外衣/n, 
川崎一夫 /nr 5	 i, “/w, 川崎一夫/nrj, ”/w, 
中村和 /nr 5	 是/vshi, 中村和/nr, 古川/nr,
上条一 /nr 4	 [”/w], [上条一/nrj, 脸/n, 
夫太太 /nr 4	 c, 大/a, 夫太太/nrj, 交谈/vi
与真琴 /nr 4	  。/w], [与真琴/nrj, 擦肩而过/
大木先生 /nr 4	  ，/w], [大木先生/nrj, 就要/d,
那副 /nr 4	 , 当时/t, 那副/nr, 光景/n, 
才好 /nr 4	  道歉/vi, 才好/nr, 。/w], 
银和金 /nr 3	 , [用/p, 银和金/nr, 来/vf, 
原公 /nr 3	  [当时/t, 原公/nr, 一对/mq,
上条笑 /nr 3	  ，/w], [上条笑/nrj, 着/uzh
启一 /nr 3	 , [“/w, 启一/nr, ，/w], 
江波一 /nr 3	 [”/w], [江波一/nrj, 边/k, 
中林刑警 /nr 3	 的/ude1, 中林刑警/nrj, 对/p, 
那事 /nr 3	 的/ude1, 那事/nr, ，/w], 
江波和 /nr 3	 , 与/cc, 江波和/nr, 大木/n, 
向菜穗子 /nr 3	 a, 琴/n, 向菜穗子/nrj, 投去/nz
都是 /nr 3	  ，/w], [都是/nr, 两/m, 向
一口凉 /nr 3	  了/ule, 一口凉/nrj, 气/n, 
当菜穗子和真 /nr 3	 [1/m], [当菜穗子和真/nrj, 琴/n, 
凯尔特 /nr 3	 , 本/rz, 凯尔特/nrf, 民间传说/
福尔摩斯 /nr 3	 的/ude1, 福尔摩斯/nrf, 呢/y, 
公一在 /nr 3	  [哥哥/n, 公一在/nr, 看/v, 《
当菜穗子 /nr 3	 ……/w], [当菜穗子/nrj, 的/ude
公一也 /nr 3	 , 估计/v, 公一也/nr, 就/d, 不
阿依努 /nr 3	 , 据说/v, 阿依努/nrf, 人/n, 
风起 /nr 3	 , [“/w, 风起/nr, 风车/n, 
中村先生 /nr 3	 , [“/w, 中村先生/nrj, ，/w],
玛丽 /nr 3	 , [《/w, 玛丽/nrf, 的/ude
原菜穗子小姐 /nr 3	 是/vshi, 原菜穗子小姐/nrj, 吧/y, 
那女 /nr 3	  [当时/t, 那女/nr, 的/ude1
十一 /nr 3	 , [“/w, 十一/nrj, 点/qt,
关键就 /nr 2	  ，/w], [关键就/nr, 在于/v, 
那起 /nr 2	  [当时/t, 那起/nr, 案子/n, 
任谁 /nr 2	  ，/w], [任谁/nr, 都/d, 无
方的 /nr 2	 g, 对/p, 方的/nr, 这/rzv,
都曾 /nr 2	 界各地/nz, 都曾/nr, 有/vyou
浦时雄 /nr 2	 , 芝/ng, 浦时雄/nr, 年纪/n, 
濑先生 /nr 2	 ，/w], [高濑先生/nrj, 。/w],
向真琴 /nr 2	 t, 投/v, 向真琴/nrj, 的/ude
起菜穗子 /nr 2	 , 时/qt, 起菜穗子/nrj, 就/d, 
那事来 /nr 2	 , 提起/v, 那事来/nr, ，/w], 
都是听 /nr 2	 d, 不/d, 都是听/nr, 经理/nnt
那处 /nr 2	 , 到达/v, 那处/nr, 就/d, 跟
爱丽丝 /nr 2	 1, 《/w, 爱丽丝/nrf, 梦游/v,
房去吧 /nr 2	 d, 回/v, 房去吧/nr, 。/w], 
那间 /nr 2	 , 住在/v, 那间/nr, 房里/s, 
那盘棋 /nr 2	 , 昨晚/t, 那盘棋/nr, 分出/v, 
都再难 /nr 2	  这辈子/l, 都再难/nr, 遇上/v, 
出旅馆 /nr 2	 n, 溜/v, 出旅馆/nrj, ……/w]
益田太太 /nr 2	 , [“/w, 益田太太/nrj, 的/ude
那尊 /nr 2	  把/pba, 那尊/nr, 玛丽亚/nr
浦用 /nr 2	  [芝/ng, 浦用/nr, 滑稽/a, 
益田 /nr 2	 o, “/w, 益田/nr, ”/w, 这
浦佐 /nr 2	  [芝/ng, 浦佐/nr, 纪子/n, 
冲菜穗子 /nr 2	  ，/w], [冲菜穗子/nrj, 说/v, 
才行 /nr 2	 , 到底/d, 才行/nr, 。/w], 
正中央 /nr 2	 n, 在/p, 正中央/nrj, ，/w],
那名 /nr 2	  [刚才/t, 那名/nr, 身穿/v, 
波洛 /nr 2	 侦探/nnd, 波洛/nrf, ，/w],
浦说 /nr 2	 , 芝/ng, 浦说/nr, 。/w], 
房外 /nr 2	 , 来到/v, 房外/nr, ，/w], 
古川也 /nr 2	 中村和/nr, 古川也/nr, 终于/d, 
浦也 /nr 1	 , 芝/ng, 浦也/nr, 转过身/v,
走出太太 /nr 1	 [3/m], [走出太太/nrj, 他们/rr
为了让 /nr 1	 是/vshi, 为了让/nrj, 自杀/vi
封进 /nr 1	 v, 也/d, 封进/nr, 了/ule,
甚了了 /nr 1	 r, 不/d, 甚了了/nrj, 的/ude
风息 /nr 1	 e, ‘/w, 风息/nr, 时/qt, 
来带 /nr 1	  [你/rr, 来带/nr, 她们/rr,
门便 /nr 1	 的/ude1, 门便/nr, 已经/d, 
田小姐 /nr 1	 ……/w], [田小姐/nr, 吧/y, ？
安扶 /nr 1	 e, 个/q, 安扶/nr, 太太/n, 
起爱丽丝 /nr 1	 , 回想/v, 起爱丽丝/nrj, 与/cc,
