汤川 /nr 668	 教授/nnt, 汤川/nr, 学/v, ”
成实 /nr 298	 , [”/w, 成实/nr, 回答/v, 
冢原先生 /nr 120	 , 那位/r, 冢原先生/nrj, 吧/y, 
内海薰 /nr 93	 [”/w], [内海薰/nrj, 靠/v, 
三宅伸子 /nr 56	 , 名叫/v, 三宅伸子/nrj, ，/w],
敬一 /nr 56	 , 父亲/n, 敬一/nr, 抿/v, 了
冢原正次 /nr 31	  。/w], [冢原正次/nrj, 。/w],
冢原太太 /nr 31	 w, 听/v, 冢原太太/nrj, 说/v, 
野野 /nr 28	 的/ude1, 野野/nr, 垣/ng, 
小关玲子 /nr 27	  。/w], [小关玲子/nrj, 睁大/v,
野垣 /nr 25	 n, 野/b, 野垣/nr, 似乎/d, 
桑野 /nr 18	 的/ude1, 桑野/nr, ，/w], 
汤川先生 /nr 17	  [那位/r, 汤川先生/nrj, 说/v, 
仙波先生 /nr 16	  [当时/t, 仙波先生/nrj, 做事/vi
川畑重治 /nr 16	 , 姑父/n, 川畑重治/nrj, 。/w],
柴本 /nr 16	 v, “/w, 柴本/nr, 综合医院/n
才行 /nr 12	 保持联系/n, 才行/nr, 。/w], 
才对 /nr 11	 的/ude1, 才对/nr, 啊/y, 。
泽村一 /nr 10	  ，/w], [泽村一/nrj, 边/k, 
成实一 /nr 10	  。/w], [成实一/nrj, 眼/n, 
川畑先生 /nr 9	  ，/w], [川畑先生/nrj, 的/ude
仙波一 /nr 9	  了/ule, 仙波一/nrj, 通/v, 
山本 /nr 9	 , 叫/vi, 山本/nr, 。/w], 
那张 /nr 8	 n, 里/f, 那张/nr, 包饭/v, 
仙波 /nr 8	 /vyou, 关仙波/nr, 的/ude1
畑重治 /nr 8	  姑父/n, 川畑重治/nrj, 。/w],
才会 /nr 8	  ，/w], [才会/nr, 放心/v, 
拉门 /nr 8	 的/ude1, 拉门/nrf, ，/w],
田中 /nr 7	 , 自称/v, 田中/nr, 。/w], 
汤川一 /nr 7	  了/ule, 汤川一/nrj, 眼/n, 
成实心 /nr 7	  ，/w], [成实心/nrj, 想/v, 
关仙波 /nr 7	 有/vyou, 关仙波/nr, 的/ude1
西口心 /nr 7	  。/w], [西口心/nrj, 想/v, 
那你 /nr 7	 , [“/w, 那你/nr, 就/d, 去
川畑节子 /nr 7	 r, 让/v, 川畑节子/nrj, 带着/vn
开发课长 /nr 6	 [4/m], [开发课长/nrj, 站/vi,
川畑太太 /nr 6	 , 住着/v, 川畑太太/nrj, 和/cc,
浦去 /nr 6	 , 玻璃/n, 浦去/nr, 了/ule,
草薙先生 /nr 6	  ，/w], [草薙先生/nrj, 。/w],
野野垣一 /nr 6	  。/w], [野野垣一/nrj, 脸/n, 
那只 /nr 5	 的/ude1, 那只/nr, 塑料袋/n,
关川 /nr 5	 有/vyou, 关川/nr, 畑重治/nr
名刑警 /nr 5	 , 这位/r, 名刑警/nrj, 。/w],
汤川伸 /nr 5	 [”/w], [汤川伸/nrj, 向/p, 
那件 /nr 5	 v, 对/p, 那件/nr, 案子/n, 
西口一 /nr 5	 d, 像/v, 西口一/nrj, 样/ng,
帕杰罗 /nr 5	 的/ude1, 帕杰罗/nrf, 。/w],
敬一一 /nr 4	  ，/w], [敬一一/nr, 边/k, 站
浦来 /nr 4	 , 玻璃/n, 浦来/nr, 的/ude1
久等了 /nr 4	 , 你/rr, 久等了/nrj, 。/w],
矶部等 /nr 4	 [”/w], [矶部等/nrj, 人/n, 
指恭平 /nr 4	  了/ule, 指恭平/nrj, 的/ude
冢原先生一 /nr 4	  ，/w], [冢原先生一/nrj, 直/d, 
仙波了 /nr 4	 , 找到/v, 仙波了/nrj, ——/w,
内海薰一 /nr 4	  。/w], [内海薰一/nrj, 身/ng,
多多良管理官 /nr 4	 是/vshi, 多多良管理官/nrj, 吧/y, 
常去 /nr 3	 , 一家/n, 常去/nr, 的/ude1
披萨 /nr 3	 的/ude1, 披萨/nrf, 店里/n,
多多良一 /nr 3	  ，/w], [多多良一/nrj, 个人/n,
我妻子 /nr 3	 是/vshi, 我妻子/nrj, 的/ude
浦港 /nr 3	 , 玻璃/n, 浦港/nr, 。/w], 
原先生 /nr 3	  那位/r, 冢原先生/nrj, 吧/y, 
向节子 /nr 3	  [他/rr, 向节子/nrj, 提议/v,
矶部一 /nr 3	 是/vshi, 矶部一/nrj, 个人/n,
包里 /nr 3	 s, 在/p, 包里/nr, 翻/v, 了
江户川 /nr 3	  ，/w], [江户川/nr, 区/n, 的
