平介 /nr 1399	 [杉田/nz, 平介/nr, 的/ude1
文也 /nr 51	 , [”/w, 文也/nr, 表情/n, 
桥本多惠子 /nr 48	  。/w], [桥本多惠子/nrj, 是/vsh
和直子 /nr 32	  平介/nr, 和直子/nrj, 第一/mq
根岸典子 /nr 31	 , 叫/vi, 根岸典子/nrj, 的/ude
平介也 /nr 30	 , [”/w, 平介也/nr, 是/vshi
林田 /nr 23	 , 名叫/v, 林田/nr, 的/ude1
藤崎 /nr 22	 , 叫/vi, 藤崎/nr, 和/cc, 
平介来 /nr 21	 , [对/p, 平介来/nr, 说/v, ，
相马春树 /nr 19	 , 叫/vi, 相马春树/nrj, 的/ude
平介想 /nr 19	  。/w], [平介想/nr, 她/rr, 
小坂 /nr 18	 科长/nnt, 小坂/nr, ，/w], 
桥本多 /nr 17	 , [”/w, 桥本多/nr, 惠子/nz,
梶川幸广 /nr 17	 1, “/w, 梶川幸广/nrj, ”/w, 
木岛 /nr 17	 , 叫/vi, 木岛/nr, ，/w], 
平介问 /nr 16	 , [”/w, 平介问/nr, 。/w], 
田端 /nr 14	 , [“/w, 田端/nr, 制作/v, 
梶川先生 /nr 11	 , 知道/v, 梶川先生/nrj, 已经/d,
梶川逸美 /nr 11	 , [“/w, 梶川逸美/nrj, 。/w],
平介很 /nr 11	 [”/w], [平介很/nr, 想/v, 表
拓朗 /nr 11	 的/ude1, 拓朗/nr, 。/w], 
向井 /nr 11	 律师/nnt, 向井/nr, 向/p, 公
吉本 /nr 11	 的/ude1, 吉本/nrf, 和/cc,
平介站 /nr 10	 , [”/w, 平介站/nr, 在/p, 妻
那你 /nr 10	 , [“/w, 那你/nr, 还/d, 记
平介点 /nr 10	 , [”/w, 平介点/nr, 了/ule,
向直子 /nr 9	 d, 在/p, 向直子/nrj, 打招呼/v
平介并 /nr 9	 , [”/w, 平介并/nr, 拢/v, 了
平介听 /nr 8	 [”/w], [平介听/nr, 了/ule,
梶川女士 /nr 8	 , 就是/v, 梶川女士/nrj, 。/w],
平介又 /nr 7	  。/w], [平介又/nr, 粗略地/n,
平介边 /nr 7	 , [”/w, 平介边/nr, 微笑/vi,
山下公园 /nr 7	  了/ule, 山下公园/nrj, 。/w],
那只 /nr 6	  了/ule, 那只/nr, 怀表/n, 
平介上 /nr 6	  。/w], [平介上/nr, 了/ule,
谢谢你 /nr 6	 , [“/w, 谢谢你/nr, 。/w], 
田岛君 /nr 6	 , 一些/m, 田岛君/nr, ……/w],
平介正 /nr 6	  。/w], [平介正/nr, 一个/mq,
起直子 /nr 6	 d, 抓/v, 起直子/nrj, 的/ude
有直子 /nr 6	 r, 还/d, 有直子/nrj, 呢/y, 
国屋 /nr 5	  纪伊/nz, 国屋/nr, 书店/nis
平介才 /nr 5	 , 时/qt, 平介才/nr, 开始/v, 
平介挠 /nr 5	 , [”/w, 平介挠/nr, 了/ule,
为直子 /nr 5	 , 重新/d, 为直子/nrj, 盖/v, 
玛丽 /nr 5	 是/vshi, 玛丽/nrf, ，/w],
平介先 /nr 5	 , [”/w, 平介先/nr, 是/vshi
桥本 /nr 5	  ，/w], [桥本/nr, 老师/nnt
薄野 /nr 5	 , 去/vf, 薄野/nr, （/w, 街
那好 /nr 4	 w, “/w, 那好/nr, ，/w], 
平介本 /nr 4	  。/w], [平介本/nr, 想/v, 装
平介跟 /nr 4	 , 之前/f, 平介跟/nr, 容子/n, 
井律师 /nr 4	 , [向/p, 井律师/nr, 不加/v, 
平介和 /nr 4	  ，/w], [平介和/nr, 两/m, 名
杉田先生 /nr 4	 是/vshi, 杉田先生/nrj, 吧/y, 
平介向 /nr 4	  。/w], [平介向/nr, 笠/ng, 
久等了 /nr 3	 , 你/rr, 久等了/nrj, 。/w],
白巧克力 /nr 3	 是/vshi, 白巧克力/nrf, ，/w],
平介刚 /nr 3	  。/w], [平介刚/nr, 一/m, 进
