松宫 /nr 285	 是/vshi, 松宫/nr, 为/p, 他
八重子 /nr 153	 , 妻子/n, 八重子/nrj, 的/ude
隆正 /nr 75	  ，/w], [隆正/nr, 突然/ad,
小林 /nr 31	 主任/nnt, 小林/nr, ，/w], 
章一郎 /nr 25	 r, 说/v, 章一郎/nr, 正在/d, 
原家 /nr 22	 , [前/f, 原家/nr, 的/ude1
松宫问 /nr 19	 , [”/w, 松宫问/nr, 。/w], 
前原先生 /nr 15	  是因为/c, 前原先生/nrj, 的/ude
原昭夫 /nr 12	 w, 前/f, 原昭夫/nr, 如此/rzv
练马署 /nr 11	 是/vshi, 练马署/nr, 的/ude1
奈津 /nr 10	 , 叫/vi, 奈津/nr, 子/ng, 
松宫也 /nr 10	 [”/w], [松宫也/nr, 掏出/v, 
阿恭 /nr 9	  ，/w], [阿恭/nr, ，/w], 
春日井优菜 /nr 9	 , 名叫/v, 春日井优菜/nrj, 。/w],
拉门 /nr 9	 的/ude1, 拉门/nrf, 刚/d, 
金森登纪子 /nr 8	 , 名叫/v, 金森登纪子/nrj, ，/w],
石垣 /nr 7	 q, 长/a, 石垣/nr, 就/d, 把
田岛 /nr 6	 z, 姓/v, 田岛/nr, 。/w], 
松宫一 /nr 6	 [”/w], [松宫一/nrj, 边/k, 
那张 /nr 5	 , 刚才/t, 那张/nr, 少女/n, 
金森登 /nr 5	 , [”/w, 金森登/nrf, 纪子/n,
小优菜 /nr 5	 , 多次/m, 小优菜/nrj, 的/ude
松宫想 /nr 5	  。/w], [松宫想/nr, 过/uguo
原直巳 /nr 5	 v, 前/f, 原直巳/nr, 的/ude1
我妻子 /nr 5	 w, 据/p, 我妻子/nrj, 说/v, 
巴士路 /nr 5	 , 住在/v, 巴士路/nr, 的/ude1
夫知道 /nr 4	  [昭/ag, 夫知道/nrj, 自己/rr
田岛女士 /nr 4	  ，/w], [田岛女士/nrj, ，/w],
八重子一 /nr 4	  ，/w], [八重子一/nrj, 声/qv,
松宫便 /nr 4	 , 之后/f, 松宫便/nr, 离开了/v,
高崎 /nr 4	 v, 在/p, 高崎/nr, 。/w], 
隆正那 /nr 4	  了/ule, 隆正那/nr, 瘦骨嶙峋/v
山本 /nr 4	  。/w], [山本/nr, 和/cc, 
贺来 /nr 4	 1, 加/v, 贺来/nr, 说/v, ，
那孩子 /nr 4	 , [“/w, 那孩子/nr, 真的/d, 
都只会 /nr 3	 [他们/rr, 都只会/nr, 说/v, “
松宫和 /nr 3	  。/w], [松宫和/nr, 克子/q, 
田中 /nr 3	  ？/w], [田中/nr, ？/w], 
阿直 /nr 3	 , [“/w, 阿直/nr, ，/w], 
小林和 /nr 3	  [看来/v, 小林和/nr, 坂上/ns,
那副 /nr 3	 , 就是/v, 那副/nr, 样子/n, 
拉得 /nr 3	 被/pbei, 拉得/nrf, 严严实实/
令昭夫 /nr 3	 , 都会/n, 令昭夫/nr, 觉得/v, 
田岛春美 /nr 3	 , 叫/vi, 田岛春美/nrj, 。/w],
优菜 /nr 3	 叫/v, 春日井优菜/nrj, 。/w],
前原太太 /nr 3	 , [“/w, 前原太太/nrj, 以前/f,
叮铃 /nr 3	 q, “/w, 叮铃/nr, ”/w, 的
和春美 /nr 3	 , [”/w, 和春美/nrj, 二/m, 
才对 /nr 2	 , 发现/v, 才对/nr, ，/w], 
那户 /nr 2	 是/vshi, 那户/nr, 人家/n, 
世田谷 /nr 2	 , [“/w, 世田谷/nr, 的/ude1
常去 /nr 2	 r, 就/d, 常去/nr, 酒馆/nis
安地 /nr 2	 n, 不/d, 安地/nr, 徘徊/vi,
下一步 /nr 2	 , 完/vi, 下一步/nrj, 的/ude
松宫点 /nr 2	 [”/w], [松宫点/nr, 了/ule,
那你 /nr 2	 , [“/w, 那你/nr, 快点/d, 
隆正却 /nr 2	  [而/cc, 隆正却/nr, 恰好/d, 
原问 /nr 2	 w, 前/f, 原问/nr, 加贺/ns,
夫心 /nr 2	  [昭/ag, 夫心/nrj, 想/v, 
那起 /nr 2	 , 和/cc, 那起/nr, 有/vyou
经你 /nr 2	 , [“/w, 经你/nr, 这么/rz,
松宫按 /nr 2	  。/w], [松宫按/nr, 下/f, 对
春日井先生 /nr 2	 , [“/w, 春日井先生/nrj, 。/w],
隆正听 /nr 2	  [如果/c, 隆正听/nr, 他/rr, 
桂马 /nr 2	 是/vshi, 桂马/nr, 啊/y, 。
向松宫 /nr 2	 n, 望/v, 向松宫/nr, ，/w], 
夫一 /nr 2	 , 昭/ag, 夫一/nrj, 眼/n, 
松宫很 /nr 2	  ，/w], [松宫很/nr, 有/vyou
向昭夫 /nr 2	 n, 望/v, 向昭夫/nr, ，/w], 
原政惠 /nr 2	 n, 前/f, 原政惠/nr, 女士/n, 
隆正便 /nr 2	  ，/w], [隆正便/nr, 决定/v, 
加贺恭一郎 /nr 2	  ，/w], [加贺恭一郎/nrj, 是/vsh
才行 /nr 2	 , 清除/v, 才行/nr, 。/w], 
松宫又 /nr 2	 , [”/w, 松宫又/nr, 看/v, 了
那支 /nr 2	 , 就是/v, 那支/nr, 口红/n, 
田中家 /nr 2	 , 那么/c, 田中家/nr, 的/ude1
松宫听 /nr 2	 [”/w], [松宫听/nr, 着/uzhe
松宫站 /nr 2	  ，/w], [松宫站/nr, 了/ule,
名刑警 /nr 2	 , [两/m, 名刑警/nrj, 已经/d,
松宫朝 /nr 2	  。/w], [松宫朝/nr, 里面/f, 
松宫并 /nr 2	  [当然/d, 松宫并/nr, 没有/v, 
松宫叹 /nr 2	 的/ude1, 松宫叹/nr, 了/ule,
松宫在 /nr 2	  。/w], [松宫在/nr, 时/qt, 
连一 /nr 1	 , 外面/f, 连一/nr, 滴雨/n, 
松宫却 /nr 1	  [然而/c, 松宫却/nr, 摇/v, 了
起笑容 /nr 1	 d, 泛/v, 起笑容/nrj, 。/w],
那是 /nr 1	  [不过/c, 那是/nr, 很久以前/n
平君你 /nr 1	 w, 脩/n, 平君你/nr, 走出/v, 
都是很 /nr 1	  ，/w], [都是很/nr, 熟悉/v, 
主妇道 /nr 1	 , [”/w, 主妇道/nrj, ，/w],
都快 /nr 1	  自己/rr, 都快/nr, 无法/v, 
时要 /nr 1	 , 见到/v, 时要/nr, 平静/a, 
那小子 /nr 1	 v, 让/v, 那小子/nr, 也/d, 看
方式在 /nr 1	 的/ude1, 方式在/nr, 跟/p, 儿
连春美 /nr 1	 , 终于/d, 连春美/nrj, 都/d, 
那就请 /nr 1	 , [“/w, 那就请/nr, 吧/y, 。
和优菜 /nr 1	 v, 人/n, 和优菜/nrj, 事先/d,
住院了 /nr 1	  脑梗/nz, 住院了/nrj, ，/w],
那只 /nr 1	  了/ule, 那只/nr, 铃铛/n, 
原家并 /nr 1	 p, 前/f, 原家并/nr, 无/v, 任
