佐仓翔子 /nr 30	 A/nx], [佐仓翔子/nrj], [SYO
村山 /nr 24	 , 自称/v, 村山/nr, 的/ude1
安生拓 /nr 21	  。/w], [安生拓/nrj, 马/n],
山科 /nr 21	 的/ude1, 山科/nr, 警/ng, 
高圆寺 /nr 20	 d, 在/p, 高圆寺/nr, 租/v, 了
金井 /nr 18	 的/ude1, 金井/nr, 刑事/b, 
友实子 /nr 14	 , [“/w, 友实子/nrj, ……/w]
小笠原彰 /nr 10	 , 叫/vi, 小笠原彰/nrj, ，/w],
中斋教授 /nr 10	 的/ude1, 中斋教授/nrj, 说/v, 
紫藤心 /nr 9	  ？/w], [紫藤心/nrj, 想/v, 
紫藤等 /nr 8	 , 回到/v, 紫藤等/nrj, 人/n, 
浦有介 /nr 8	 , [日/b, 浦有介/nr], [YUSU
才对 /nr 8	 , 逃走/v, 才对/nr, 。/w], 
紫藤一 /nr 8	 [”/w], [紫藤一/nrj, 边/k, 
日浦小夜子 /nr 7	 , 就是/v, 日浦小夜子/nrj, 的/ude
友实 /nr 5	 是/vshi, 友实/nr, 子/ng, 
名刑警 /nr 5	 , [两/m, 名刑警/nrj, 带着/vn
高山刑警 /nr 4	 的/ude1, 高山刑警/nrj, 则/d, 
加斯佩 /nr 4	 , 知道/v, 加斯佩/nrf, 半岛/n,
田代 /nr 4	  。/w], [田代/nr, 刑事/nr,
与翔子 /nr 4	 v, 也/d, 与翔子/nrj, 也/d, 
马也 /nr 4	 , [拓/v, 马也/nr, 同意/v, 
深刑警 /nr 3	 , 资/ng, 深刑警/nrj, 说道/v,
都内 /nr 3	  了/ule, 都内/nr, ，/w], 
王子署 /nr 3	 p, 八/m, 王子署/nr, 搜查/v, 
披萨 /nr 3	  冷冻/vn, 披萨/nrf, 。/w],
紫藤一行 /nr 3	  。/w], [紫藤一行/nrj, 人/n, 
圣劳伦斯 /nr 3	 有/vyou, 圣劳伦斯/nrf, 河/n, 
都还 /nr 3	 , 现在/t, 都还/nr, 没消/v, 
才行 /nr 3	 片甲不留/i, 才行/nr, 。/w], 
铃木美绘子 /nr 3	  ，/w], [铃木美绘子/nrj, ……/w]
马说 /nr 3	 w, 拓/v, 马说/nr, ：/w, “
武藏野 /nr 3	 A/nx], [武藏野/nr, 市/n, 吉
芦田先生 /nr 3	  。/w], [芦田先生/nrj, 相当/d,
为翔子 /nr 3	 d, 认/v, 为翔子/nrj, 能/v, 
才会 /nr 2	 , 明天/t, 才会/nr, 出席/v, 
山科一 /nr 2	 i, 在/p, 山科一/nrj, 旁/f, 
刚过 /nr 2	 [”/w], [刚过/nr, 晚上/t, 
