葛原 /nr 75	 是/vshi, 葛原/nr, 。/w], 
滨崎 /nr 52	 是/vshi, 滨崎/nr, 会计/nnt
高屋 /nr 43	  》/w], [高屋/nr, 敷/v, 秀
金潮 /nr 32	  ，/w], [金潮/nr, 社/n, 文
门马 /nr 27	 n, 到/v, 门马/nr, 家/q, ，
樱木弘子 /nr 17	 秘书/nnt, 樱木弘子/nrj, ，/w],
哈伯 /nr 14	 , 解释/v, 哈伯/nrf, 定律/n,
恩田 /nr 13	 所长/nnt, 恩田/nrf, 博士/nn
梅田房 /nr 12	 , [”/w, 梅田房/nr, 江/n, 微
青足河 /nr 11	 1, 《/w, 青足河/nr, 童/ng, 
葛原先生 /nr 10	  [倒是/d, 葛原先生/nrj, ，/w],
金潮社 /nr 9	 是/vshi, 金潮社/nr, ，/w], 
要太郎 /nr 9	 , 木/ng, 要太郎/nrj, 的/ude
邸介 /nr 9	 q, 川/b, 邸介/nr, 书展/n, 
石博士 /nr 8	 , [一/m, 石博士/nr, 确实/ad,
文福 /nr 8	 r, 在/p, 文福/nr, 出版社/ni
爱因斯坦 /nr 8	  ，/w], [爱因斯坦/nrf, 错/v, 
金教授 /nr 8	 n, 法/n, 金教授/nr, 的/ude1
康正 /nr 8	 g, 见/v, 康正/nr, 肯定/v, 
曲球 /nr 7	 , [《/w, 曲球/nr, 》/w], 
冰街 /nr 7	 , [《/w, 冰街/nr, 杀人/vi,
才行 /nr 7	 , 饵/ng, 才行/nr, 。/w], 
赤颜鬼 /nr 7	 p, 《/w, 赤颜鬼/nr, 》/w, 获
友引 /nr 6	  把/pba, 友引/nr, 先生/n, 
卡拉 /nr 5	 , 买了/v, 卡拉/nrf, OK/nx
元木刑警 /nr 5	 , [”/w, 元木刑警/nrj, 问道/vi
田小文 /nr 5	  [猿/ng, 田小文/nr, 吾/rr, 
贺和 /nr 5	  [芳/ag, 贺和/nr, 静香/nz,
真智子 /nr 5	  [杀死/v, 真智子/nrj, 的/ude
门马先生 /nr 5	  ，/w], [门马先生/nrj, 吗/y, 
银一郎 /nr 4	 , 袋/ng, 银一郎/nr, 的/ude1
曼尼 /nr 4	 v, 亚/b, 曼尼/nrf, 的/ude
葛原万太郎 /nr 4	  ）/w], [葛原万太郎/nrj, 看着/v,
竹中加世子 /nr 4	 z, 、/w, 竹中加世子/nrj, 的/ude
门马心 /nr 4	 [”/w], [门马心/nrj, 想/v, 
大森 /nr 4	 编辑/nnt, 大森/nrf, 啦/y, 
江本 /nr 4	 的/ude1, 江本/nr, 。/w], 
一本书 /nr 4	 , 每/rz, 一本书/nrj, 都/d, 
沙龙 /nr 4	  美容/vn, 沙龙/nrf, 的/ude
樱木小姐 /nr 4	 , [“/w, 樱木小姐/nrj, 、/w, 
那一段 /nr 4	 的/ude1, 那一段/nr, 。/w], 
牟田 /nr 4	  》/w], [牟田/nr, 高志/n, 
迈森 /nr 3	 的/ude1, 迈森/nrf, （/w, 
松井家 /nr 3	 , 打到/v, 松井家/nr, ，/w], 
久等了 /nr 3	  你们/rr, 久等了/nrj, 、/w, 
芳贺将 /nr 3	  [昨晚/t, 芳贺将/nrj, 那/rzv
远藤一 /nr 3	 , [”/w, 远藤一/nrj, 副/b, 
名刑警 /nr 3	 r, 两/m, 名刑警/nrj, 进屋/vi
台小姐 /nr 3	 , 柜/ng, 台小姐/nrj, 。/w],
梅田健介 /nr 3	 , 听到/v, 梅田健介/nrj, 这么/rz
才是 /nr 3	  写稿/vi, 才是/nr, 。/w], 
才会 /nr 3	 , 现在/t, 才会/nr, 这样/rzv
坂东先生 /nr 3	 d, 像/v, 坂东先生/nrj, 说/v, 
杉山卓也 /nr 3	 , 名叫/v, 杉山卓也/nrj, 的/ude
梅田 /nr 3	  。/w], [梅田/nr, 夫妇/n, 
边说 /nr 3	  开门/vi, 边说/nr, 。/w], 
爱伦坡 /nr 3	 是/vshi, 爱伦坡/nrf, 喔/o, 
房江 /nr 3	 的/ude1, 房江/nr, 还/d, 来
步下 /nr 3	  ，/w], [步下/nr, 楼梯/n, 
松井在 /nr 3	 , [”/w, 松井在/nr, 远/a, 藤
远藤将 /nr 3	 的/ude1, 远藤将/nrj, 手掌/n,
成一册 /nr 2	 d, 做/v, 成一册/nr, 。/w], 
张数 /nr 2	 的/ude1, 张数/nr, 来/vf, 
白学 /nr 2	 是/vshi, 白学/nr, 。/w], 
