沙也加 /nr 207	 /w], [仓桥沙也加/nrj, ”/w],
沙也 /nr 35	 , 和/cc, 沙也/nr, 加在/v, 
启一郎 /nr 32	 /b], [御厨启一郎/nrj], [中野/
御厨启一郎 /nr 14	  日/b], [御厨启一郎/nrj], [中野/
御厨雅和 /nr 10	 w, 即/v, 御厨雅和/nrj, 不是/c,
才对 /nr 9	  十字架/n, 才对/nr, ”/w, 我
那孩子 /nr 7	 r, 对/p, 那孩子/nr, 的/ude1
那你 /nr 6	 , [“/w, 那你/nr, 今天/t, 
那本 /nr 6	  了/ule, 那本/nr, 杂志/n, 
和佑介 /nr 5	 , 父母/n, 和佑介/nrj, 组成/v,
御厨佑介 /nr 5	  班/n], [御厨佑介/nrj, ”/w, 
松原湖 /nr 4	 e, “/w, 松原湖/nr, 入口/n, 
代奈 /nr 3	 , [“/w, 代奈/nr, ，/w], 
仓桥沙也加 /nr 3	  ，/w], [仓桥沙也加/nrj, ”/w],
兴会 /nr 3	 是/vshi, 兴会/nr, 了/ule,
清里 /nr 3	 d, 在/p, 清里/nr, 住/vi, 
满是 /nr 3	 i, 在/p, 满是/nr, 土坑/n, 
那是 /nr 2	 , [“/w, 那是/nr, 另一回事/i
有道理 /nr 2	 , [“/w, 有道理/nrj, ”/w, 
那只 /nr 2	 , 挂着/v, 那只/nr, 一个/mq,
代婶 /nr 2	 , 她/rr, 代婶/nr, ，/w], 
起沙也加 /nr 2	 r, 想/v, 起沙也加/nrj, 曾/d, 
小仓刑警 /nr 2	  ，/w], [小仓刑警/nrj, 的/ude
才会 /nr 2	 , 钥匙/n, 才会/nr, 是/vshi
都是 /nr 2	  壁钟/nz, 都是/nr, 用/p, 电
明佑介 /nr 2	 v, 说/v, 明佑介/nrj, 果然/d,
有佑介 /nr 2	 d, 没/d, 有佑介/nrj, 是/vsh
小沙也加 /nr 2	 , [“/w, 小沙也加/nrj, 和/cc,
定佑介 /nr 2	 v, 不/d, 定佑介/nrj, 的/ude
都有 /nr 2	 各种类型/l, 都有/nr, 。/w], 
老光 /nr 2	 是/vshi, 老光/nr, 眼镜/n, 
才是沙 /nr 2	  这/rzv, 才是沙/nr, 也/d, 加
高园 /nr 1	 , [从/p, 高园/nr, 寺/ng, 
藤本 /nr 1	 , 时候/n, 藤本/nrf, 在/p, 
于两年 /nr 1	  [妻子/n, 于两年/nr, 后/f, 去
房子让 /nr 1	  把/pba, 房子让/nrj, 给/p, 
高约 /nr 1	 , 一块/s, 高约/nr, 一/m, 米
那户 /nr 1	 , 和/cc, 那户/nr, 人家/n, 
山本君 /nr 1	  [晚上/t, 山本君/nr, 带来/v, 
那张 /nr 1	  了/ule, 那张/nr, 纸/n, ，
张开嘴 /nr 1	 , 吃惊/a, 张开嘴/nr, ，/w], 
长子雅和 /nr 1	 j, 对/p, 长子雅和/nrj, 断/v, 
盖建 /nr 1	 , 重新/d, 盖建/nr, 的话/udh
须玉 /nr 1	  了/ule, 须玉/nr, 。/w], 
御厨久美 /nr 1	  ，/w], [御厨久美/nrj, 对/p, 
科诺索斯 /nr 1	 , 知道/v, 科诺索斯/nrf, 宫殿/n,
开佑介 /nr 1	 r, 打/v, 开佑介/nrj, 的/ude
为了沙也加 /nr 1	 是/vshi, 为了沙也加/nrj, 吗/y, 
都快 /nr 1	  螺丝刀/n, 都快/nr, 弯/ng, 
安地 /nr 1	 d, 不/d, 安地/nr, 瞪大/nz,
成是 /nr 1	 , 叫/vi, 成是/nr, 父亲/n, 
中间伸 /nr 1	  [而/cc, 中间伸/nrj, 出/vf,
我有美晴 /nr 1	  。/w], [我有美晴/nrj, 这样/rz
才种上 /nr 1	  变化/vn, 才种上/nr, 了/ule,
沙也家 /nr 1	 n, ”/w, 沙也家/nr, 两手/m, 
久等了 /nr 1	 , 你/rr, 久等了/nrj, ”/w, 
小口子 /nr 1	  一个/mq, 小口子/nrj, 呢/y, 
野政 /nr 1	 , 从中/d, 野政/nr, 嗣/ng, 
成是佑 /nr 1	 , 理解/v, 成是佑/nr, 介/vg, 
连正在 /nr 1	  [因为/c, 连正在/nr, 建造/v, 
花好大 /nr 1	 v, 要/v, 花好大/nr, 的/ude1
山本宏美 /nr 1	 幸福/a], [山本宏美/nrj, ”/w],
前佑介 /nr 1	 , 年/qt, 前佑介/nrj, 为/p, 
蓝天上 /nr 1	 [3/m], [蓝天上/nr, 飘着/v, 
伊藤博文 /nr 1	 , 印有/v, 伊藤博文/nrj, 的/ude
连心 /nr 1	  ，/w], [连心/nr, 也/d, 被
何而生 /nr 1	 g, 由/p, 何而生/nr, 。/w], 
金井家 /nr 1	  了/ule, 金井家/nr, ，/w], 
阴转雨 /nr 1	  日/b], [阴转雨/nr], [那/rz
朝南 /nr 1	 , 可能/v, 朝南/nrf, ，/w],
里一步 /nr 1	  这/rzv, 里一步/nrj, 。/w],
孙子佑介 /nr 1	  把/pba, 孙子佑介/nrj, 当成/v,
都还在 /nr 1	 , 指针/n, 都还在/nr, 。/w], 
捧日记 /nr 1	 r, 手/n, 捧日记/nrj, ，/w],
