田所义雄 /nr 149	 , [”/w, 田所义雄/nrj, 做出/v,
中西贵子 /nr 146	 , [”/w, 中西贵子/nrj, 很/d, 
本多雄一 /nr 141	 的/ude1, 本多雄一/nrj, 。/w],
田所 /nr 138	 , [”/w, 田所/nr, 突然/ad,
雅美 /nr 99	  麻仓/nr, 雅美/nrf, 。/w],
温子 /nr 86	 [”/w, 笠原温子/nrj, 代表/nn
京介 /nr 63	 , 宫/ng, 京介/nr, 。/w], 
麻仓 /nr 57	 是/vshi, 麻仓/nr, 雅美/nrf
元村由梨 /nr 57	 z, 　/w, 元村由梨/nrj, 江/n, 
笠原温子 /nr 47	 , [”/w, 笠原温子/nrj, 代表/nn
宫京介 /nr 37	 , [雨/n, 宫京介/nr, 说/v, 。
和由梨 /nr 25	  [能够/v, 和由梨/nrj, 江/n, 
东乡先生 /nr 21	  ，/w], [东乡先生/nrj, 还/d, 
麻仓雅 /nr 13	 , 及/cc, 麻仓雅/nr, 美的/nz,
幸说 /nr 12	 , 和/cc, 幸说/nr, 。/w], 
笠原小姐 /nr 12	  ，/w], [笠原小姐/nrj, 不见得/d
连络 /nr 11	 , 毫无/v, 连络/nr, ，/w], 
江小姐 /nr 11	 由梨/nrj, 江小姐/nr, 呢/y, ？
中西小姐 /nr 9	  ，/w], [中西小姐/nrj, 在/p, 
元村小姐 /nr 8	 , [“/w, 元村小姐/nrj, 。/w],
伦敦 /nr 7	 , 去/vf, 伦敦/nrf, 或/c, 
仓雅美 /nr 7	 f, 麻/n, 仓雅美/nrj, 的/ude
宫和由 /nr 7	 , [雨/n, 宫和由/nr, 梨/nf, 
和田 /nr 7	 , 必须/d, 和田/nr, 所及/c, 
田所问 /nr 6	 , [”/w, 田所问/nr, 。/w], 
江和雨 /nr 5	 , 梨/nf, 江和雨/nr, 宫/ng, 
小田伸一 /nr 5	 息室/n], [小田伸一/nrj, 边/k, 
江问 /nr 5	 由梨/nrj, 江问/nr, 。/w], 
所义雄 /nr 5	  [”/w, 田所义雄/nrj, 做出/v,
田所义 /nr 5	 j, 对/p, 田所义/nr, 雄/ag, 
才对 /nr 5	  啤酒罐/n, 才对/nr, ，/w], 
江说 /nr 5	 由梨/nrj, 江说/nr, 。/w], 
江也 /nr 4	 , 梨/nf, 江也/nr, 颌/n, 首
幸问 /nr 4	 , 和/cc, 幸问/nr, 笠原温子/n
雨宫一 /nr 4	  集中于/v, 雨宫一/nrj, 人/n, 
本多雄一望 /nr 4	 , [”/w, 本多雄一望/nrj, 向/p, 
中西贵子望 /nr 4	  。/w], [中西贵子望/nrj, 着/uzh
幸也 /nr 4	 , 和/cc, 幸也/nr, 说/v, 。
罗蜜欧 /nr 4	 c, 《/w, 罗蜜欧/nr, 与/cc, 
西贵子 /nr 4	  [”/w, 中西贵子/nrj, 很/d, 
京介问 /nr 3	 , 宫/ng, 京介问/nr, 。/w], 
何去 /nr 3	 r, 为/p, 何去/nr, 她/rr, 
奥赛罗 /nr 3	 e, 《/w, 奥赛罗/nrf, 》/w, 
田所先生 /nr 3	 , [“/w, 田所先生/nrj, 是/vsh
哈姆雷特 /nr 3	 1, 《/w, 哈姆雷特/nrf, 》/w, 
久我先生 /nr 3	 , [“/w, 久我先生/nrj, ，/w],
宫也 /nr 3	 , [雨/n, 宫也/nr, 说/v, 过
物了 /nr 3	 i, 人/n, 物了/nrj, ，/w],
田所义雄将 /nr 3	  ，/w], [田所义雄将/nrj, 纸条/n,
宫和本 /nr 3	 , [雨/n, 宫和本/nr, 多/a, 负
都是 /nr 3	  ，/w], [都是/nr, 二十五/m,
雨宫先生 /nr 3	 , [“/w, 雨宫先生/nrj, ，/w],
温子和 /nr 3	 , 知道/v, 温子和/nr, 贵子/n, 
莎士比亚 /nr 3	 q, 将/d, 莎士比亚/nrf, 作品/n,
那是 /nr 2	 , [但/c, 那是/nr, 办不到/v,
令叔 /nr 2	 , [“/w, 令叔/nrf, 就/d, 
和温子 /nr 2	  ，/w], [和温子/nrj, 曾/d, 
都快 /nr 2	 , 脑筋/n, 都快/nr, 有/vyou
京介也 /nr 2	 , 宫/ng, 京介也/nr, 眯着眼/v,
望向 /nr 2	 的/ude1, 望向/nr, 一旁/f, 
那幕 /nr 2	 的/ude1, 那幕/nr, 场景/n, 
幸仍 /nr 2	 , 和/cc, 幸仍/nr, 保持/v, 
江有 /nr 2	 , 梨/nf, 江有/nr, 雄厚/a, 
义雄 /nr 2	 [”/w, 田所义雄/nrj, 做出/v,
门时 /nr 2	  休息室/n, 门时/nr, ，/w], 
那出 /nr 2	 , [“/w, 那出/nr, 戏/n, 还
有温子 /nr 2	 n, 只/d, 有温子/nrj, 和/cc,
都怪 /nr 2	  ，/w], [都怪/nr, 本/rz, 
孔内 /nr 2	 , 端子/n, 孔内/nr, ，/w], 
本多将 /nr 2	 , [”/w, 本多将/nrj, 下巴/n,
都已 /nr 2	 , 之事/r, 都已/nr, 忘掉/v, 
久我望 /nr 2	  ，/w], [久我望/nrj, 向/p, 
本多可 /nr 2	  ，/w], [本多可/nrj, 能/v, 
和田所 /nr 2	 宫京介/nr, 和田所/nr, 义/ng, 
若知道 /nr 2	  。/w], [若知道/nrj, 此项/r,
田所站 /nr 2	 , [”/w, 田所站/nr, 起身/vi,
向本多 /nr 2	 , 决定/v, 向本多/nr, 直接/ad,
传温子 /nr 2	 , 谣/ng, 传温子/nrj, 和/cc,
幸及 /nr 2	 , 和/cc, 幸及/nr, 本多雄三/n
田所义雄一 /nr 2	  。/w], [田所义雄一/nrj, 定/v, 
田所和 /nr 2	  ，/w], [田所和/nr, 雨/n, 宫
多雄一 /nr 2	 /ude1, 本多雄一/nrj, 。/w],
中西贵子一 /nr 2	  ，/w], [中西贵子一/nrj, 脸/n, 
那你 /nr 2	 , [“/w, 那你/nr, 明天/t, 
江要 /nr 2	 由梨/nrj, 江要/nr, 扮演/v, 
令久我 /nr 2	 , 似/vg, 令久我/nr, 有些/rz,
为贵子 /nr 2	 r, 认/v, 为贵子/nrj, 没有/v,
江之 /nr 2	 , 梨/nf, 江之/nr, 美貌/n, 
田所又 /nr 2	 , [”/w, 田所又/nr, 走近/v, 
诺克斯 /nr 2	 , 知道/v, 诺克斯/nrf, 的/ude
才行 /nr 2	  下山/vi, 才行/nr, 。/w], 
关系了 /nr 2	 的/ude1, 关系了/nrj, ，/w],
麦克白 /nr 2	 r, 演/v, 麦克白/nrf, 夫人/n,
笠原温子小姐 /nr 2	 是/vshi, 笠原温子小姐/nrj, ？/w],
田所漫 /nr 2	 [”/w], [田所漫/nr, 哼/e, ：
中西贵子准 /nr 2	  ，/w], [中西贵子准/nrj, 备/v, 
江从 /nr 2	 由梨/nrj, 江从/nr, 厨房/n, 
江就 /nr 2	 , 梨/nf, 江就/nr, 不/d, 一
温子也 /nr 2	  ，/w], [温子也/nr, 有/vyou
连涌 /nr 1	  [似乎/d, 连涌/nr, 升/v, 自
