汤川 /nr 295	 , 去/vf, 汤川/nr, 老师/nnt
弥生 /nr 33	 , [”/w, 弥生/nr, 低下/a, 
高野 /nr 29	 , 和/cc, 高野/nr, 女士/n, 
牧田 /nr 29	 的/ude1, 牧田/nr, 偷/v, 偷
森崎礼 /nr 25	 c, “/w, 森崎礼/nrj, 美/b, 
长井清美 /nr 21	 [1/m], [长井清美/nrj, 穿着/n,
菅原 /nr 19	 是/vshi, 菅原/nr, 的/ude1
秋穗 /nr 16	 的/ude1, 秋穗/nr, 和/cc, 
富由子 /nr 16	  ，/w], [富由子/nrj, 。/w],
高野秀 /nr 12	 e, “/w, 高野秀/nr, ”/w, ，
坂本信彦 /nr 9	  [——/w, 坂本信彦/nrj, ”/w, 
物理学 /nr 8	  ，/w], [物理学/nrj, 家/q, 
矢岛贵子 /nr 8	 [4/m], [矢岛贵子/nrj, 突然/ad
那你 /nr 7	 , [“/w, 那你/nr, 可得/v, 
神崎 /nr 7	  ，/w], [神崎/nr, 休/v, 生
田中 /nr 6	 是/vshi, 田中/nr, 次郎/nz,
高野家 /nr 6	  了/ule, 高野家/nr, 。/w], 
菅原直树 /nr 6	 , 情人/n, 菅原直树/nrj, 的/ude
神崎俊 /nr 6	 , 丈夫/n, 神崎俊/nr, 之/uzhi
都是 /nr 5	  所有人/n, 都是/nr, 被/pbei
敏夫 /nr 5	  。/w], [敏夫/nr, 看起来/v,
前田千晶 /nr 4	 的/ude1, 前田千晶/nrj, ，/w],
草薙知道 /nr 4	  ，/w], [草薙知道/nrj, ，/w],
织田不二子 /nr 4	 是/vshi, 织田不二子/nrj, 的/ude
神崎弥 /nr 4	 , 名叫/v, 神崎弥/nr, 生/v, 。
菅原静子 /nr 4	  [看到/v, 菅原静子/nrj, 正在/d,
坂井善之 /nr 4	 , 看到/v, 坂井善之/nrj, 的/ude
田谷 /nr 3	 [在世/vi, 田谷/nr, 发生/v, 
草薙先生 /nr 3	 , [“/w, 草薙先生/nrj, ，/w],
坂本一 /nr 3	  ，/w], [坂本一/nrj, 直/d, 
小杉浩一 /nr 3	 e, “/w, 小杉浩一/nrj, ”/w, 
尼桑 /nr 3	 m, 辆/q, 尼桑/nrf, 阳光/n,
梦里 /nr 3	 [把/pba, 梦里/nr, 的/ude1
当直树 /nr 3	 , 或者/c, 当直树/nrj, 和静/nz
崎敏 /nr 3	 , 森/ag, 崎敏/nr, 夫/ng, 
那户 /nr 2	 的/ude1, 那户/nr, 人家/n, 
汤川让 /nr 2	 [”/w], [汤川让/nrj, 左边/f,
草薙俊介 /nr 2	 [2/m], [草薙俊介/nrj, 叼/v, 
包里 /nr 2	  放回/vf, 包里/nr, 。/w], 
梦之 /nr 2	  [预知/v, 梦之/nr, 少女/n, 
树在 /nr 2	 , [直/d, 树在/nr, 宣传部/ni
刚过 /nr 2	  。/w], [刚过/nr, 晚上/t, 
伽利略 /nr 2	 , 去/vf, 伽利略/nrf, 那里/rz
