上村 /ns 77	  [吓得/d, 上村/ns, 宏/nz, 
长江 /ns 13	 d, 按/p, 长江/ns, 以往/t, 
街道 /ns 11	 的/ude1, 街道/ns, 里/f, 回
湘南 /ns 9	 是/vshi, 湘南/ns, 海岸/n, 
东京 /ns 7	 v, 在/p, 东京/nsf, 一家/n,
日本 /ns 7	 的/ude1, 日本/ns, ，/w], 
夏天 /ns 6	 , 今年/t, 夏天/ns, 失踪/vi,
上站 /ns 6	 , 椅子/n, 上站/ns, 了/ule,
伊势 /ns 5	 , 名叫/v, 伊势/ns, 。/w], 
火星 /ns 5	 n, 《/w, 火星/ns, 编年史/n,
神奈川 /ns 5	 , [“/w, 神奈川/ns, 警方/n, 
松山 /ns 4	 , 和/cc, 松山/ns, 文/ng, 
上都 /ns 4	 1, 睑/g, 上都/ns, 有/vyou
高台 /ns 3	  坂上/ns, 高台/ns, 住户/n, 
中上 /ns 3	  [名叫/v, 中上/ns, 。/w], 
成田 /ns 3	 , 是从/v, 成田/ns, 出发/vi,
琦玉县 /ns 3	 d, 在/p, 琦玉县/ns, 的/ude1
坂上 /ns 3	 , 接到/v, 坂上/ns, 高台/ns,
银座 /ns 2	 , 去/vf, 银座/ns, 也/d, 不
江东 /ns 2	  自己/rr, 江东/ns, 地区/n, 
横滨 /ns 2	 r, 在/p, 横滨/ns, 约会/vi,
新泻 /ns 2	 f, 回/v, 新泻/ns, ，/w], 
中国 /ns 2	  [去/vf, 中国/ns, 玩/v, 了
三鹰 /ns 2	 w, 从/p, 三鹰/ns, 车站/n, 
日和 /ns 2	 , 12/m, 日和/ns, 17/m, 
成城 /ns 2	 v, 在/p, 成城/ns, 的/ude1
不存在 /ns 2	 a, 就/d, 不存在/ns, 必须/d, 
上望 /ns 1	  朝天/nz, 上望/ns, 。/w], 
大阪 /ns 1	 , 前往/v, 大阪/nsf, ，/w],
几米远 /ns 1	 , 池塘/n, 几米远/ns, 的/ude1
美国 /ns 1	  。/w], [美国/nsf, 曾/d, 
吉祥寺 /ns 1	  了/ule, 吉祥寺/ns, 的/ude1
那能 /ns 1	  ，/w], [那能/ns, 允许/v, 
水后 /ns 1	 p, 遇/v, 水后/ns, 不久/d, 
在里 /ns 1	 v, 脚/n, 在里/ns, 看/v, 。
将门 /ns 1	  [然后/c, 将门/ns, 敞开/v, 
伊豆 /ns 1	 , 去/vf, 伊豆/ns, 还是/c, 
江东区 /ns 1	 , 朝/tg, 江东区/ns, 驶去/v, 
从中学 /ns 1	  良子/nz, 从中学/ns, 时代/n, 
等上 /ns 1	 n, 没/d, 等上/ns, 村/n, 说
炉中 /ns 1	 , 高速/b, 炉中/ns, 提取/v, 
俄罗斯 /ns 1	 是/vshi, 俄罗斯/nsf, 蓝猫/nr
天连 /ns 1	 t, 三/m, 天连/ns, 放/v, 。
到水 /ns 1	 , 接触/v, 到水/ns, 了/ule,
印度 /ns 1	 w, 在/p, 印度/nsf, ，/w],
长岛 /ns 1	 的/ude1, 长岛/ns, 茂雄/nr,
朝海 /ns 1	 着/uzhe, 朝海/ns, 走去/v, 
英国 /ns 1	 , [在/p, 英国/ns, 有/vyou
