春美 /ns 82	 的/ude1, 春美/ns, 在/p, 床
西原 /ns 76	 是/vshi, 西原/ns, 君/ng, 
中野 /ns 23	 , 叫/vi, 中野/ns, 的/ude1
中尾 /ns 15	  ，/w], [中尾/ns, 好像/v, 
天台 /ns 10	  了/ule, 天台/ns, 。/w], 
小田 /ns 10	 , 叫/vi, 小田/ns, 的/ude1
坂上 /ns 4	 , 叫/vi, 坂上/ns, 的/ude1
日本 /ns 3	 v, ：/w, 日本/ns, 的/ude1
汉堡 /ns 2	 着/uzhe, 汉堡/nsf, 套餐/n,
上站 /ns 2	 , 位置/n, 上站/ns, 起/vf, 
安顺 /ns 2	 n, 平/v, 安顺/ns, 利/n, 的
马尾 /ns 2	 , 扎成/v, 马尾/ns, 辫/ng, 
上川 /ns 2	 , 叫/vi, 上川/ns, 合/v, 一
地球 /ns 2	 , 善待/v, 地球/ns, 的/ude1
不存在 /ns 2	 , 应该/v, 不存在/ns, 见到/v, 
夏天 /ns 1	 , 今年/t, 夏天/ns, 说/v, 不
壶里 /ns 1	 v, 在/p, 壶里/ns, 的/ude1
上望 /ns 1	 i, 望/v, 上望/ns, 了望/v, 
一职 /ns 1	 教师/nnt, 一职/ns, 的/ude1
中站 /ns 1	  [昏暗/a, 中站/ns, 着/uzhe
再下 /ns 1	 , 周/qt, 再下/ns, 周/qt, 
上都 /ns 1	 , 报纸/n, 上都/ns, 没有/v, 
满城 /ns 1	 , 已经/d, 满城/ns, 风雨/n, 
蒙上 /ns 1	 s, 又/d, 蒙上/ns, 了/ule,
石狮 /ns 1	 的/ude1, 石狮/ns, 子/ng, 
工薪阶层 /ns 1	 的/ude1, 工薪阶层/ns, ，/w], 
上完 /ns 1	 , 今天/t, 上完/ns, 第/mq, 
西园 /ns 1	 , 叫/vi, 西园/ns, 的/ude1
从江 /ns 1	  把/pba, 从江/ns, 岛/n, 那
太行 /ns 1	 n, 老/a, 太行/ns, 列/v, 。
合水 /ns 1	 , [川/b, 合水/ns, 平/v, 一
后很 /ns 1	 , 看见/v, 后很/ns, 害怕/v, 
和春 /ns 1	 , 我/rr, 和春/ns, 美/b, 面
花都 /ns 1	 的/ude1, 花都/ns, 会/v, 吓
大洞 /ns 1	 的/ude1, 大洞/ns, ，/w], 
