美国 /ns 5	 r, 在/p, 美国/nsf, 分公司/n
中庭 /ns 4	  。/w], [中庭/ns, 里/f, 有
汉堡 /ns 3	 v, 吃/v, 汉堡/nsf, 吗/y, 
江一 /ns 3	 , 奈/vg, 江一/ns, 坐下/vi,
日本 /ns 3	 是/vshi, 日本/ns, 手/n, 染
喀拉 /ns 3	 n, “/w, 喀拉/ns, ”/w, 一
希腊 /ns 2	  [还有/v, 希腊/ns, 数字/n, 
江都 /ns 2	 , 奈/vg, 江都/ns, 一/m, 脸
上站 /ns 2	 , 椅子/n, 上站/ns, 起来/vf,
不晓得 /ns 2	 , [“/w, 不晓得/ns, 。/w], 
西班牙 /ns 2	 的/ude1, 西班牙/nsf, 料理/v,
群马县 /ns 1	  了/ule, 群马县/ns, 的/ude1
那大 /ns 1	  ，/w], [那大/ns, 部分/n, 
名护 /ns 1	 [这/rzv, 名护/ns, 士/ng, 
张得 /ns 1	 , 嘴巴/n, 张得/ns, 好/a, 大
罗马 /ns 1	 , 之为/c, 罗马/nsf, 拼音/n,
从医院 /ns 1	  。/w], [从医院/ns, 溜出来/i,
大石 /ns 1	 , 一块/s, 大石/ns, 地/ude2
内建 /ns 1	 , 大都/d, 内建/ns, 了/ule,
火星 /ns 1	 , 一点/m, 火星/ns, ，/w], 
吐舌头 /ns 1	  了/ule, 吐舌头/ns, ，/w], 
临盆时 /ns 1	 , [快/a, 临盆时/ns, 却/d, 发
以桐 /ns 1	 , 特别/d, 以桐/ns, 生/v, 枝
天都 /ns 1	 e, 几/d, 天都/ns, 知道/v, 
桥市 /ns 1	 1, 一/m, 桥市/ns, 。/w], 
天回 /ns 1	 z, 一/m, 天回/ns, 美国/nsf
法国 /ns 1	 v, 或/c, 法国/nsf, 料理/v,
