春美 /ns 53	 的/ude1, 春美/ns, 将/d, 罐
中野 /ns 48	 , 名叫/v, 中野/ns, 文/ng, 
前村 /ns 36	 , 叫/vi, 前村/ns, 。/w], 
日本 /ns 19	 v, “/w, 日本/ns, 推理/vn,
金泽 /ns 14	 主任/nnt, 金泽/ns, 巡查/vn,
山中湖 /ns 11	 , 位于/v, 山中湖/ns, 的/ude1
金田 /ns 8	  。/w], [金田/ns, 、/w, 田
白石街道 /ns 6	 , 名为/v, 白石街道/ns, 的/ude1
美国 /ns 6	  联想起/l, 美国/nsf, 悬疑/n,
街道 /ns 5	 的/ude1, 街道/ns, 》/w, 、
东京 /ns 5	 , 离开/v, 东京/nsf, 。/w],
花屋 /ns 5	 , 道/qv, 花屋/ns, 通/v, 。
上站 /ns 3	 , 椅子/n, 上站/ns, 起来/vf,
富士山 /ns 3	 , 去/vf, 富士山/ns, 的/ude1
夏威夷 /ns 3	 , 要到/v, 夏威夷/nsf, 去/vf,
上冲 /ns 3	 , [三/m, 上冲/ns, 着/uzhe
田村 /ns 3	  ，/w], [田村/ns, 真/a, 智
静冈 /ns 2	 , 位于/v, 静冈/ns, 的/ude1
上都 /ns 2	 , 脖子/n, 上都/ns, 绑/v, 着
向东 /ns 2	 i, 西/f, 向东/ns, ，/w], 
河口 /ns 2	 j, 从/p, 河口/ns, 湖/n, 步
五湖 /ns 2	 富士/ntc, 五湖/ns, 【/w, 注
夏天 /ns 1	 , 他/rr, 夏天/ns, 认识/v, 
上香 /ns 1	 , 他/rr, 上香/ns, 的/ude1
大阪 /ns 1	  日本/ns, 大阪/nsf, 市/n, 
山梨 /ns 1	 , 位于/v, 山梨/ns, 县境/n, 
九和 /ns 1	 , 一一/d, 九和/ns, 一一/d, 
不晓得 /ns 1	 , 我/rr, 不晓得/ns, ……/w],
小树林 /ns 1	 的/ude1, 小树林/ns, 的/ude1
有点悬 /ns 1	 , 似乎/d, 有点悬/ns, 。/w], 
大阪府 /ns 1	  ，/w], [大阪府/ns, 立/v, 大
关中 /ns 1	 有/vyou, 关中/ns, 野/b, 的
吐舌头 /ns 1	  了/ule, 吐舌头/ns, 。/w], 
檀香山 /ns 1	 d, 在/p, 檀香山/nsf, 机场/ni
新堂 /ns 1	  ，/w], [新堂/ns, 冬/tg, 
西湖 /ns 1	 s, 、/w, 西湖/ns, 、/w, 本
瓦胡岛 /ns 1	 i, 以/p, 瓦胡岛/nsf, 为/p, 
真如 /ns 1	  ，/w], [真如/ns, 作者/nnt
加拿大 /ns 1	 是/vshi, 加拿大/nsf, 风格/n,
朝外 /ns 1	 , 缝隙/n, 朝外/ns, 面/nf, 
上自 /ns 1	 , 车身/n, 上自/ns, 带/v, 的
马山 /ns 1	 w, 白/a, 马山/ns, 庄/ag, 
太高兴 /ns 1	 c, 不/d, 太高兴/ns, 。/w], 
巴塞罗那 /ns 1	 着/uzhe, 巴塞罗那/nsf, 冲刺/vi
西村 /ns 1	 想起/l], [西村/ns, 京太郎/nr
英国 /ns 1	  。/w], [英国/ns, 作家/nnt
