米泽 /ns 18	 的/ude1, 米泽/ns, ，/w], 
不晓得 /ns 7	  ，/w], [不晓得/ns, 会用/n, 
桥前 /ns 6	 [日本/ns, 桥前/ns, 是/vshi
银座 /ns 4	 v, 在/p, 银座/ns, 碰面/vi,
日本 /ns 4	 v, 到/v, 日本/ns, 桥/n, 。
污水处理厂 /ns 3	 , 看到/v, 污水处理厂/ns, 。/w], 
大桥路 /ns 3	 i, 新/a, 大桥路/ns, 。/w], 
子耳 /ns 2	 v, 靖/b, 子耳/ns, 中/f, 。
千叶 /ns 2	 , 没有/v, 千叶/ns, 或/c, 琦
意大利 /ns 2	 的/ude1, 意大利/nsf, 菜/n, 
江户 /ns 2	 , 带回/v, 江户/ns, 川/b, 分
夏天 /ns 1	 , 去年/t, 夏天/ns, ，/w], 
那大 /ns 1	 r, 想/v, 那大/ns, 概/d, 意
西新 /ns 1	 z, 区/n, 西新/ns, 宿/vg, 
张得 /ns 1	 , 顿时/d, 张得/ns, 老大/n, 
东京 /ns 1	 , 位于/v, 东京/nsf, 的/ude
江东区 /ns 1	 n, 在/p, 江东区/ns, 森/ag, 
保靖 /ns 1	 d, 难/a, 保靖/ns, 子/ng, 
离石 /ns 1	 f, 距/p, 离石/ns, 神/n, 住
美国 /ns 1	  某家/nz, 美国/nsf, 企业/n,
等上 /ns 1	  ，/w], [等上/ns, 了/ule,
大名 /ns 1	 的/ude1, 大名/ns, 多时/mq,
青州 /ns 1	 r, 在/p, 青州/ns, 桥前/ns,
三明 /ns 1	 是/vshi, 三明/ns, 治/v, ，
匈牙利 /ns 1	 , 生于/v, 匈牙利/nsf, 的/ude
美得 /ns 1	 , 那种/r, 美得/ns, 足以/d, 
大理 /ns 1	  [帝都/n, 大理/ns, 学院/nis
德国 /ns 1	 , 迷你/b, 德国/nsf, 腊肠狗/n
向东 /ns 1	 , 一路/m, 向东/ns, 走/v, ，
将门 /ns 1	 g, 只/d, 将门/ns, 打开/v, 
公园前 /ns 1	  。/w], [公园前/ns, 的/ude1
黄河 /ns 1	  跳到/vf, 黄河/ns, 也/d, 洗
后见 /ns 1	  下班/vi, 后见/ns, 个/q, 面
之江 /ns 1	 1, 一/m, 之江/ns, 车站/n, 
是勒 /ns 1	 , 如果/c, 是勒/ns, 杀/v, ，
千叶县 /ns 1	 , 就是/v, 千叶县/ns, ，/w], 
泰山 /ns 1	 , 稳如/a, 泰山/ns, 地/ude2
法国 /ns 1	 [无论是/c, 法国/nsf, 菜/n, 
连城 /ns 1	  ，/w], [连城/ns, 镇/n, 的
沿河 /ns 1	  ，/w], [沿河/ns, 边/k, 迈
好莱坞 /ns 1	 是/vshi, 好莱坞/nsf, 电影/n,
