西方 /ns 132	 的/ude1, 西方/ns, 警/ng, 
上原 /ns 98	  了/ule, 上原/ns, 脑/n, 神
松村 /ns 85	 , ——/w, 松村/ns, 显/v, 治
澄江 /ns 43	 女佣/nnd, 澄江/ns, 倒/vi, 
夏天 /ns 6	 , 那年/r, 夏天/ns, 。/w], 
日本 /ns 6	 是/vshi, 日本/ns, 屈指可数/v
中国 /ns 4	 是/vshi, 中国/ns, 人/n, 的
大洞 /ns 3	 , [个/q, 大洞/ns, ……/w],
竹行 /ns 3	  。/w], [竹行/ns, 惠/vg, 
将门 /ns 3	 , [至/p, 将门/ns, 锁上/nz,
真如 /ns 2	 , 事实/n, 真如/ns, 弘昌/nz,
前门 /ns 2	 v, 走/v, 前门/ns, ，/w], 
名护 /ns 2	 z, 一/m, 名护/ns, 士/ng, 
英国 /ns 2	 是/vshi, 英国/ns, 。/w], 
竹山 /ns 2	  。/w], [竹山/ns, 上/f, 老
欧洲 /ns 2	 q, 从/p, 欧洲/ns, 旅/vg, 
苏格兰 /ns 1	 是/vshi, 苏格兰/nsf, 威士忌/n
非洲 /ns 1	 g, 经/p, 非洲/nsf, 到/v, 
我白 /ns 1	 , [“/w, 我白/ns], [天/qt
新进 /ns 1	 , 接受/v, 新进/ns, 员/ng],
西四 /ns 1	 1, 东/f, 西四/ns, 处/n, 走
不晓得 /ns 1	  。/w], [不晓得/ns, 晃彦/nr,
地球 /ns 1	 , 感觉/n, 地球/ns, 是/vshi
内都 /ns 1	 , 小时/n, 内都/ns, 待/vi, 
望都 /ns 1	 1, 欲/d, 望都/ns, 没了/v, 
上站 /ns 1	  安乐椅/n, 上站/ns, 起/vf, 
比兴 /ns 1	 [看起来/v, 比兴/ns, 司/ng, 
长野县 /ns 1	 n, 在/p, 长野县/ns, 茅多郡/nr
马尾 /ns 1	 , 扎成/v, 马尾/ns, 的/ude1
中一路 /ns 1	 , 错误/n, 中一路/ns, 摸索/v, 
天都 /ns 1	 z, 一/m, 天都/ns, 像/v, 在
曾随 /ns 1	  [他/rr, 曾随/ns, 口/n, 提
后山 /ns 1	 的/ude1, 后山/ns, 慢跑/nz,
昌都 /ns 1	 , 弘/nz, 昌都/ns, 去/vf, 
格子里 /ns 1	 的/ude1, 格子里/ns, ，/w], 
名上 /ns 1	 , [一/m, 名上/ns, 原/b, 脑
竹江 /ns 1	 ……/w], [竹江/ns, 岛/n, 壮
竹林 /ns 1	 m, 片/q, 竹林/ns, ，/w], 
之列 /ns 1	 , 选手/n, 之列/ns, 。/w], 
