新堂 /ns 86	  小伙子/n, 新堂/ns, 微微/d, 
大阪 /ns 73	  日本/ns, 大阪/nsf, 市/n, 
名古屋 /ns 71	 , [下/f, 名古屋/nsf, 交流/vn
东京 /ns 63	 , 前往/v, 东京/nsf, 戮力/nz
不晓得 /ns 43	 , 你/rr, 不晓得/ns, 是/vshi
日本 /ns 15	  出生于/v, 日本/ns, 大阪/nsf
高岛 /ns 10	  ，/w], [高岛/ns, 勇/ag, 
美国 /ns 8	 c, 在/p, 美国/nsf, 的/ude
中野 /ns 7	 , 名叫/v, 中野/ns, 秋代/nr,
横须贺 /ns 4	  了/ule, 横须贺/ns, ，/w], 
静冈 /ns 3	 , 进入/v, 静冈/ns, 。/w], 
千叶 /ns 3	 桥本回/nr, 千叶/ns, 老家/n, 
夏天 /ns 2	 的/ude1, 夏天/ns, 和/cc, 
银座 /ns 2	 j, 到/v, 银座/ns, 的/ude1
新进 /ns 2	 , 当作/v, 新进/ns, 员工/n, 
四坪 /ns 2	 是/vshi, 四坪/ns, 大/a, 的
大阪府 /ns 2	 v, 于/p, 大阪府/ns, 立/v, 大
名门 /ns 2	 , 出身/v, 名门/ns, 并不/d, 
横滨 /ns 2	 r, 、/w, 横滨/ns, ，/w], 
大道 /ns 2	  田谷/nr, 大道/ns, 稍微/d, 
王子 /ns 2	 w, 八/m, 王子/ns, 的/ude1
苏格兰 /ns 2	 , 坛/ng, 苏格兰/nsf, 威士忌/n
法国 /ns 2	  ，/w], [法国/nsf, 历史/n,
福冈 /ns 2	 n, 在/p, 福冈/nsf, ，/w],
上完 /ns 2	  。/w], [上完/ns, 香/a, 后
西班牙 /ns 2	 , 一家/n, 西班牙/nsf, 餐厅/ni
和春 /ns 2	  直美/nz, 和春/ns, 子/ng, 
上地 /ns 1	 , 实质/n, 上地/ns, 断绝/v, 
大洞 /ns 1	  一个/mq, 大洞/ns, 。/w], 
上香 /ns 1	  了/ule, 上香/ns, 的/ude1
惹毛 /ns 1	 , 好像/v, 惹毛/ns, 了/ule,
日照 /ns 1	  [感觉/n, 日照/ns, 也/d, 很
西南 /ns 1	 奈川县/ns, 西南/ns, 的/ude1
太嫩 /ns 1	  [感觉/n, 太嫩/ns, 了/ule,
夏威夷 /ns 1	 n, 到/v, 夏威夷/nsf, 蜜月旅行/
上站 /ns 1	 , 位子/n, 上站/ns, 起来/vf,
小马路 /ns 1	  转进/nz, 小马路/ns, ，/w], 
之岛 /ns 1	 p, 中/f, 之岛/ns, 附近/f, 
滋贺县 /ns 1	 , 生于/v, 滋贺县/ns, ，/w], 
神奈川县 /ns 1	 v, 到/v, 神奈川县/ns, 西南/ns,
城中 /ns 1	 , 太阳/n, 城中/ns, 工作/vn,
五台 /ns 1	 有/vyou, 五台/ns, ，/w], 
岐阜 /ns 1	 r, 、/w, 岐阜/ns, 羽/ng, 
天桥 /ns 1	 v, 一/m, 天桥/ns, 本/rz, 
爱知 /ns 1	 , [“/w, 爱知/ns, 县/n, 的
北海 /ns 1	 , 去/vf, 北海/ns, 道/qv, 
爱知县 /ns 1	 , 寻求/v, 爱知县/ns, 警力/n, 
一职 /ns 1	 室长/nnt, 一职/ns, 。/w], 
东区 /ns 1	 v, 名/q, 东区/ns, 的/ude1
哥本哈根 /ns 1	 , 皇家/n, 哥本哈根/nsf, 的/ude
保康 /ns 1	 , [难/a, 保康/ns, 子/ng, 
鹿儿岛 /ns 1	 , [在/p, 鹿儿岛/ns, 的/ude1
东京都 /ns 1	 v, 在/p, 东京都/nsf, 内/f, 
蒙上 /ns 1	  [稍微/d, 蒙上/ns, 了/ule,
丹凤 /ns 1	 的/ude1, 丹凤/ns, 眼/n, ，
五和 /ns 1	  上星期/t, 五和/ns, 这/rzv,
群马县 /ns 1	 v, 于/p, 群马县/ns, 。/w], 
清美 /ns 1	  。/w], [清美/ns, 前年/t, 
福中 /ns 1	 g, 在/p, 福中/ns, 不知/v, 
马山 /ns 1	 w, 白/a, 马山/ns, 庄/ag, 
涩谷 /ns 1	  [譬如/v, 涩谷/ns, 的/ude1
上流社会 /ns 1	  挤进/nz, 上流社会/ns, ，/w], 
之列 /ns 1	 , 嫌犯/n, 之列/ns, ，/w], 
伊豆 /ns 1	 , 去/vf, 伊豆/ns, 。/w], 
中坪 /ns 1	 , 大楼/n, 中坪/ns, 数/n, 最
