美国 /ns 55	 , 设在/v, 美国/nsf, 的/ude
敦贺 /ns 34	 , 听说/v, 敦贺/ns, 也/d, 在
东京 /ns 27	 是/vshi, 东京/nsf, 迪斯尼乐园
洛杉矶 /ns 22	 , 正在/d, 洛杉矶/nsf, 的/ude
广岛 /ns 18	 是/vshi, 广岛/ns, ，/w], 
东北 /ns 10	  京滨/nr, 东北/ns, 线/n, 就
静冈 /ns 9	 , [在/p, 静冈/ns, 的/ude1
高田 /ns 6	 , 住在/v, 高田/ns, 马场/nis
街道 /ns 6	  青梅/nf, 街道/ns, 开入/v, 
日本 /ns 5	 r, 找/v, 日本/ns, 研究员/nn
伊势 /ns 4	 , 宿/vg, 伊势/ns, 丹/b, 附
新进 /ns 4	 , 只有/c, 新进/ns, 员工/n, 
夏威夷 /ns 4	 , 具有/v, 夏威夷/nsf, 风情/n,
意大利 /ns 4	 f, 吃/v, 意大利/nsf, 料理/v,
三明 /ns 3	 着/uzhe, 三明/ns, 治/v, 。
吐舌头 /ns 3	  了/ule, 吐舌头/ns, 。/w], 
三津 /ns 3	 s, “/w, 三津/ns, 轮/qv, 
夏天 /ns 2	 , 去年/t, 夏天/ns, 举行/v, 
蒙上 /ns 2	 , 上面/f, 蒙上/ns, 了/ule,
上都 /ns 2	  [脖子/n, 上都/ns, 是/vshi
板桥 /ns 2	 是/vshi, 板桥/ns, 区/n, ，
汉堡 /ns 2	  了/ule, 汉堡/nsf, 套餐/n,
天台 /ns 2	 r, 到/v, 天台/ns, 上去/vf,
上站 /ns 2	 , 椅子/n, 上站/ns, 了/ule,
马尾 /ns 2	  了/ule, 马尾/ns, 。/w], 
底朝天 /ns 2	 e, 个/q, 底朝天/ns, 。/w], 
白跑 /ns 1	 , 你/rr, 白跑/ns, 一/m, 次
印第安 /ns 1	 v, ‘/w, 印第安/nsf, ’/w, 
后所 /ns 1	 , 招牌/n, 后所/ns, 萌生/v, 
美人归 /ns 1	 得/ude3, 美人归/ns, 的/ude1
达拉斯 /ns 1	 , 出现/v, 达拉斯/nsf, 小牛/n,
新泻 /ns 1	 是/vshi, 新泻/ns, ？/w], 
上涂 /ns 1	  面包/nf, 上涂/ns, 了/ule,
亚马孙 /ns 1	 的/ude1, 亚马孙/ns, 大/a, 树
新开 /ns 1	 , 年前/t, 新开/ns, 了/ule,
张店 /ns 1	 v, 一/m, 张店/ns, 内/f, 宣
亚美 /ns 1	 r, 在/p, 亚美/ns, 身后/f, 
北海 /ns 1	 , 趟/qv, 北海/ns, 道/qv, 
夸下海口 /ns 1	 d, 会/v, 夸下海口/ns, ，/w], 
加拿大 /ns 1	 , [由/p, 加拿大/nsf, 的/ude
小茂 /ns 1	 , 叫/vi, 小茂/ns, 的/ude1
纽约 /ns 1	 t, 在/p, 纽约/nsf, 呢/y, 
太高兴 /ns 1	 v, 不/d, 太高兴/ns, ，/w], 
长田镇 /ns 1	 , 坐到/v, 长田镇/ns, ，/w], 
清水 /ns 1	 d, 像/v, 清水/ns, 里/f, 滴
新桥 /ns 1	 , 位于/v, 新桥/ns, 的/ude1
上曾 /ns 1	 , 本书/r, 上曾/ns, 写道/v, 
格后 /ns 1	 e, 一/m, 格后/ns, 她/rr, 
孔里 /ns 1	 p, 门/n, 孔里/ns, 观察/v, 
东西连 /ns 1	 的/ude1, 东西连/ns, 到/v, 了
后很 /ns 1	 , 看到/v, 后很/ns, 意外/a, 
太旧 /ns 1	  这个/rz, 太旧/ns, 了/ule,
