长野 /ns 44	 ……/w], [长野/ns, 的/ude1
长野县 /ns 38	  ？/w], [长野县/ns, 吗/y, ？
小田 /ns 36	 , 和/cc, 小田/ns, 切/v, 和
上野 /ns 35	 是/vshi, 上野/ns, 。/w], 
天桥 /ns 22	 的/ude1, 天桥/ns, 吧/y, ？
东京 /ns 17	 v, 全/a, 东京/nsf, ，/w],
爱知县 /ns 12	 , 和/cc, 爱知县/ns, 之间/f, 
将门 /ns 11	 , 只要/c, 将门/ns, 上/f, 的
日本 /ns 10	 i, 全/a, 日本/ns, 最/d, 会
元村 /ns 7	 , 叫做/v, 元村/ns, 的/ude1
大道 /ns 6	 , 昭和/n, 大道/ns, 的/ude1
上站 /ns 5	 , 沙发/n, 上站/ns, 起身/vi,
轻井泽 /ns 5	 , 去/vf, 轻井泽/ns, 就/d, 没
王子 /ns 4	 p, 八/m, 王子/ns, 一带/n, 
太高兴 /ns 4	 d, 不/d, 太高兴/ns, 的/ude1
不晓得 /ns 3	 c, 也/d, 不晓得/ns, 该/rz, 
夏天 /ns 2	 是/vshi, 夏天/ns, ，/w], 
江东 /ns 2	 s, 在/p, 江东/ns, 区/n, 。
埼玉县 /ns 2	 , [在/p, 埼玉县/ns, 川口/nz,
天都 /ns 2	  好几/mq, 天都/ns, 没有/v, 
街道 /ns 2	 , 日光/n, 街道/ns, 上/f, ，
爱知 /ns 2	 i, 在/p, 爱知/ns, 县境/n, 
江东区 /ns 2	  ，/w], [江东区/ns, 城东/s, 
群马县 /ns 2	 , 和/cc, 群马县/ns, 的/ude1
上车时 /ns 2	 r, 坐/v, 上车时/ns, ，/w], 
伊势 /ns 1	  东武/nr, 伊势/ns, 崎/ng, 
夸下海口 /ns 1	 , 老婆/n, 夸下海口/ns, 了/ule,
马赛 /ns 1	 v, 打/v, 马赛/ns, 克/q, 、
东阳 /ns 1	 , 位于/v, 东阳/ns, 町/n, 的
西非 /ns 1	 y, 东/f, 西非/ns, 带走/v, 
二站 /ns 1	 , 佑/ng, 二站/ns, 起来/vf,
上香 /ns 1	 , 点/qt, 上香/ns, ，/w], 
上都 /ns 1	 , 菜刀/n, 上都/ns, 沾满/v, 
米店 /ns 1	 , 崎/ng, 米店/ns, ”/w, 的
如山 /ns 1	 , 不动/v, 如山/ns, ，/w], 
连平 /ns 1	  [她/rr, 连平/ns, 常会/nr,
新居里 /ns 1	 的/ude1, 新居里/ns, ，/w], 
下包 /ns 1	 的/ude1, 下包/ns, 厂/n, 员
那大 /ns 1	  。/w], [那大/ns, 约/d, 是
太黑 /ns 1	 , [“/w, 太黑/ns, 了/ule,
名古屋 /ns 1	 r, 在/p, 名古屋/nsf, 的/ude
小高 /ns 1	 , [“/w, 小高/ns, 。/w], 
诸城 /ns 1	 , [小/a, 诸城/ns, 最/d, 有
等上 /ns 1	 得/ude3, 等上/ns, 好/a, 一
东查西 /ns 1	 n, 查/v, 东查西/ns, 的/ude1
夏威夷 /ns 1	 , 穿着/n, 夏威夷/nsf, 衫/ng,
不太熟悉 /ns 1	 , 至少/d, 不太熟悉/ns, “/w, 冰
西新 /ns 1	 q, 在/p, 西新/ns, 并/cc, 
意大利 /ns 1	  [附有/v, 意大利/nsf, 制/v, 
过西 /ns 1	 , 去/vf, 过西/ns, 新/a, 并
好莱坞 /ns 1	  。/w], [好莱坞/nsf, 的/ude
前门 /ns 1	 , 离开/v, 前门/ns, ，/w], 
不存在 /ns 1	 一样/uyy, 不存在/ns, 的/ude1
