日本 /ns 22	 , 这家/r, 日本/ns, 首屈一指/b
东京 /ns 12	 是/vshi, 东京/nsf, 某/rz,
哥斯达黎加 /ns 12	 之谜/n], [哥斯达黎加/nsf, 的/ude
加拿大 /ns 11	  派往/vf, 加拿大/nsf, 多伦多/n
圣何塞 /ns 10	  开往/vf, 圣何塞/nsf, 的/ude
金泽 /ns 8	  了/ule, 金泽/ns, ，/w], 
日本海 /ns 6	 c, 到/v, 日本海/ns, 去/vf, 
夏威夷 /ns 6	 2, 向/p, 夏威夷/nsf, 驶去/v,
中山 /ns 6	 的/ude1, 中山/ns, 也/d, 来
多伦多 /ns 4	 拿大/nsf, 多伦多/nsf, 工作/vn
大道 /ns 4	 的/ude1, 大道/ns, 上/f, 。
房地产公司 /ns 3	  河源/ns, 房地产公司/ns, 敬请/v, 
欧洲 /ns 3	 , 去/vf, 欧洲/ns, 旅行/vi,
仙台 /ns 2	  了/ule, 仙台/ns, 站/vi, 
代家 /ns 2	 堀内秋/nr, 代家/ns, 打电话/vi
卡拉拉 /ns 2	 , 叫做/v, 卡拉拉/ns, 的/ude1
美国 /ns 2	  [望着/v, 美国/nsf, 人/n, 
中南美 /ns 2	 , 位于/v, 中南美/ns, 的/ude1
石川 /ns 2	  出生于/v, 石川/ns, 县/n, 的
开阳 /ns 2	 是/vshi, 开阳/ns, 高中/nis
上站 /ns 2	 , 座位/n, 上站/ns, 起身/vi,
绷起 /ns 2	  ，/w], [绷起/ns, 了/ule,
青森县 /ns 2	 , 朝/tg, 青森县/ns, 进发/vi,
中国 /ns 2	 其他/rzv, 中国/ns, 商人/nnt
夏天 /ns 1	 的/ude1, 夏天/ns, 。/w], 
青森 /ns 1	 , 返回/v, 青森/ns, 车站/n, 
上香 /ns 1	 , 等待/v, 上香/ns, 的当/a, 
大阪 /ns 1	 [以及/cc, 大阪/nsf, 平民/n,
我拐 /ns 1	  把/pba, 我拐/ns, 到/v, 这
平泉 /ns 1	 , 途径/n, 平泉/ns, 到达/v, 
亚洲 /ns 1	 的/ude1, 亚洲/ns, 人/n, 做
东亚 /ns 1	  了/ule, 东亚/ns, 人/n, 。
檀香山 /ns 1	 n, 在/p, 檀香山/nsf, 机场/ni
双新 /ns 1	 v, 一/m, 双新/ns, 的/ude1
天都 /ns 1	  好几/mq, 天都/ns, 没/d, 换
北海道 /ns 1	 , 想到/v, 北海道/nsf, 去/vf,
东北 /ns 1	 , 周游/v, 东北/ns, 的/ude1
街道 /ns 1	 , 繁华/a, 街道/ns, 上/f, 闲
苏格兰 /ns 1	 , 身着/v, 苏格兰/nsf, 绒/ng,
新进 /ns 1	 a, 名/q, 新进/ns, 职员/nnt
瓦胡岛 /ns 1	 , 位于/v, 瓦胡岛/nsf, 最/d, 
酒都 /ns 1	 /ulian, 酒都/ns, 准备/v, 
琦玉县 /ns 1	 , 家住/v, 琦玉县/ns, ，/w], 
等上 /ns 1	 d, 要/v, 等上/ns, 十/m, 余
大名 /ns 1	 , 报上/v, 大名/ns, 呢/y, 。
三公里 /ns 1	 , 大约/d, 三公里/ns, 处/n, 的
上野 /ns 1	 r, 从/p, 上野/ns, 乘了/p, 
上完 /ns 1	  。/w], [上完/ns, 香/a, 以
河源 /ns 1	  招租/vi, 河源/ns, 房地产公司/
地球 /ns 1	 是/vshi, 地球/ns, 保卫/v, 
上门来 /ns 1	 , 女人/n, 上门来/ns, 了/ule,
长布 /ns 1	 , 裹着/v, 长布/ns, 的/ude1
近江 /ns 1	 j, 到/v, 近江/ns, 町/n, 集
太平洋 /ns 1	 , 住在/v, 太平洋/ns, 边上/f, 
