山西 /ns 146	 是/vshi, 山西/ns, 繁/ag, 
东京 /ns 25	  。/w], [东京/nsf, 铁塔/n,
日本 /ns 17	  ，/w], [日本/ns, 的/ude1
银座 /ns 16	 d, 到/v, 银座/ns, 了/ule,
地球 /ns 15	  牵涉到/l, 地球/ns, 全体/n, 
上野 /ns 12	 , 部下/n, 上野/ns, 说/v, 。
中国 /ns 11	  [还有/v, 中国/ns, ，/w], 
美国 /ns 10	  。/w], [美国/nsf, 在/p, 
松山 /ns 10	 , 叫作/v, 松山/ns, 。/w], 
大道 /ns 7	 i, 海/n, 大道/ns, 的/ude1
不晓得 /ns 5	 , 名片/n, 不晓得/ns, 都/d, 到
天黑 /ns 4	 /udeng, 天黑/ns, ，/w], 
北美 /ns 4	 的/ude1, 北美/ns, 驯鹿/vn,
三明 /ns 4	 , 与/cc, 三明/ns, 治/v, 。
内藏 /ns 4	  ，/w], [内藏/ns, 防灾/vn,
上都 /ns 4	  每辆车/n, 上都/ns, 没人/l, 
不存在 /ns 4	 v, 就/d, 不存在/ns, 似的/u, 
为善 /ns 3	 , 何者/c, 为善/ns, 何者/c, 
天台 /ns 3	 , 楼顶/n, 天台/ns, 。/w], 
汉堡 /ns 3	  。/w], [汉堡/nsf, 也/d, 
上站 /ns 3	 1, 田/n, 上站/ns, 在/p, 他
非洲 /ns 2	 , 和/cc, 非洲/nsf, 政策/n,
中野 /ns 2	 v, 在/p, 中野/ns, 的/ude1
从医院 /ns 2	 , 立刻/d, 从医院/ns, 出发/vi,
那大 /ns 2	 , [“/w, 那大/ns, 家/q, 都
阪神 /ns 2	  。/w], [阪神/ns, 大/a, 震
东京都 /ns 2	  ，/w], [东京都/nsf, 的/ude
朝外 /ns 2	 , 入口/n, 朝外/ns, 张/q, 望
中央大街 /ns 2	 是/vshi, 中央大街/ns, 对面/f, 
和春 /ns 2	 , 雄/ag, 和春/ns, 子/ng, 
台子上 /ns 2	 , 放在/v, 台子上/ns, ，/w], 
白宫 /ns 2	 v, 在/p, 白宫/ns, 进行/vn,
铺展开来 /ns 1	  [眼前/s, 铺展开来/ns, 的/ude1
后冲 /ns 1	 , 东西/n, 后冲/ns, 向/p, 冬
美都 /ns 1	  菜菜/nz, 美都/ns, 垂/v, 下
中原 /ns 1	 中生/nnd, 中原/ns, 明日香/nz
山西站 /ns 1	  [帮助/v, 山西站/ns, 起来/vf,
莫斯科 /ns 1	  [生于/v, 莫斯科/nsf, 的/ude
东南亚 /ns 1	 是/vshi, 东南亚/nsf, 。/w],
那能 /ns 1	  ，/w], [那能/ns, 填饱/nz,
江户 /ns 1	 过/uguo, 江户/ns, 时代/n, 
静冈 /ns 1	 , 来自/v, 静冈/ns, 县/n, ，
西方 /ns 1	  ，/w], [西方/ns, 天空/n, 
光和 /ns 1	  。/w], [光和/ns, 电磁波/n,
泰山 /ns 1	 , 稳如/a, 泰山/ns, 吧/y, 。
鹅肝酱 /ns 1	  这/rzv, 鹅肝酱/ns, 冷/a, 的
天都 /ns 1	  。/w], [天都/ns, 已/d, 亮
瀛台 /ns 1	 v, ┃/w, 瀛台/ns, 寂/ag, 
中庭 /ns 1	 的/ude1, 中庭/ns, 有/vyou
大洞 /ns 1	  一个/mq, 大洞/ns, 。/w], 
安西 /ns 1	 是/vshi, 安西/ns, 先生/n, 
德国 /ns 1	  。/w], [德国/nsf, 的/ude
浏海 /ns 1	  [撩起/v, 浏海/ns, 。/w], 
法国 /ns 1	 , 准备/v, 法国/nsf, 菜/n, 
各县市 /ns 1	 , 和/cc, 各县市/ns, 警/ng, 
蒙上 /ns 1	  [眼中/s, 蒙上/ns, 一/m, 层
三公里 /ns 1	 , 只有/c, 三公里/ns, 左右/f, 
大理 /ns 1	 v, 在/p, 大理/ns, 石/ng, 
太高兴 /ns 1	 , [不/d, 太高兴/ns, 的/ude1
水乡泽国 /ns 1	 d, 成/v, 水乡泽国/ns, ，/w], 
即将来临 /ns 1	  [黎明/t, 即将来临/ns, 。/w], 
半藏 /ns 1	 d, 在/p, 半藏/ns, 门/n, 附
壶盖 /ns 1	 , 打开/v, 壶盖/ns, ，/w], 
名护 /ns 1	 , [一/m, 名护/ns, 士/ng, 
确保安全 /ns 1	 如何/ryv, 确保安全/ns, 住处/n, 
后很 /ns 1	 , 过水/n, 后很/ns, 软/a, ，
英国 /ns 1	 , 与/cc, 英国/ns, ，/w], 
