加贺 /ns 502	 [”/w], [加贺/ns, 点点头/v,
日本 /ns 48	 是/vshi, 日本/ns, 桥/n, 警
亚美 /ns 23	  ，/w], [亚美/ns, 好像/v, 
银座 /ns 18	 , 去/vf, 银座/ns, ”/w, ，
大道 /ns 12	 清洲桥/nr, 大道/ns, ，/w], 
佐川 /ns 9	  。/w], [佐川/ns, 心想/v, 
伊势 /ns 8	 , 去/vf, 伊势/ns, ？/w], 
江户 /ns 8	 的/ude1, 江户/ns, 风情/n, 
英国 /ns 6	 , 去/vf, 英国/ns, 留学/v, 
东京 /ns 4	 i, 在/p, 东京/nsf, 迪斯尼乐园
横滨 /ns 4	 n, 在/p, 横滨/ns, ，/w], 
比萨 /ns 3	 , 看着/v, 比萨/ns, 菜单/n, 
新桥 /ns 3	 , [在/p, 新桥/ns, 的/ude1
街道 /ns 2	 的/ude1, 街道/ns, ，/w], 
西雅图 /ns 2	 , 住在/v, 西雅图/nsf, 。/w],
灵台 /ns 2	  [看着/v, 灵台/ns, 上/f, 的
上川 /ns 2	 , [在/p, 上川/ns, 家/q, ，
蒲田 /ns 2	 , [在/p, 蒲田/ns, 一带/n, 
江东 /ns 1	 , [在/p, 江东/ns, 区/n, 。
西亚 /ns 1	 鲁特/nrf, 西亚/ns, 珠宝店/n,
新布 /ns 1	 d, 用/p, 新布/ns, 做/v, 的
秋田县 /ns 1	 是/vshi, 秋田县/ns, 的/ude1
从中学 /ns 1	 r, 就/d, 从中学/ns, 到/v, 了
美国 /ns 1	  了/ule, 美国/nsf, 后/f, 
三明 /ns 1	 f, 放/v, 三明/ns, 治/v, 和
上新 /ns 1	 , 下巴/n, 上新/ns, 长/a, 出
从江 /ns 1	 , 末期/f, 从江/ns, 户/q, 短
不安宁 /ns 1	 n, 也/d, 不安宁/ns, 了/ule,
天都 /ns 1	 , 点/qt, 天都/ns, 不会/v, 
上都 /ns 1	 , 肩膀/n, 上都/ns, 是/vshi
夏威夷 /ns 1	 , 穿着/n, 夏威夷/nsf, 衫/ng,
富山 /ns 1	 是/vshi, 富山/ns, 的/ude1
朝西南 /ns 1	  ，/w], [朝西南/ns, 行进/vi,
下关 /ns 1	 p, 按/p, 下关/ns, 门/n, 按
里加 /ns 1	 , 烧/vi, 里加/ns, 了/ule,
江东区 /ns 1	 , 位于/v, 江东区/ns, 木/ng, 
上野 /ns 1	 , 住在/v, 上野/ns, 的/ude1
群马县 /ns 1	 , 产自/v, 群马县/ns, ，/w], 
福中 /ns 1	 g, 在/p, 福中/ns, 不知/v, 
镰仓 /ns 1	  ，/w], [镰仓/ns, 世代/n, 
天水 /ns 1	 , [在/p, 天水/ns, 宫前/s, 
东阳 /ns 1	 v, 对/p, 东阳/ns, 盯/v, 新
前门 /ns 1	 [走到/vf, 前门/ns, 。/w], 
不存在 /ns 1	  ，/w], [不存在/ns, 三/m, 十
