日本 /ns 21	  */w], [日本/ns, 小学/nis
中上 /ns 13	 , 名叫/v, 中上/ns, 的/ude1
银座 /ns 11	  了/ule, 银座/ns, ，/w], 
夏天 /ns 10	 的/ude1, 夏天/ns, ，/w], 
不晓得 /ns 7	 , [“/w, 不晓得/ns, ，/w], 
西山 /ns 7	 , 名叫/v, 西山/ns, 的/ude1
上村 /ns 7	 , 听说/v, 上村/ns, 他妈/nz,
大道 /ns 6	 , 堀/ng, 大道/ns, 上/f, 车
东京 /ns 6	  日本/ns, 东京/nsf, 丰岛/nr
新进 /ns 5	 过/uguo, 新进/ns, 员工/n, 
上原 /ns 5	 r, 姓/v, 上原/ns, 。/w], 
美国 /ns 4	 是/vshi, 美国/nsf, FBI/n
三坪 /ns 4	  隔成/nz, 三坪/ns, 和/cc, 
成田 /ns 4	 是/vshi, 成田/ns, 山/n, 的
之门 /ns 4	 [杀人/vi, 之门/ns, （/w, さ
东京都 /ns 4	 q, 在/p, 东京都/nsf, 内/f, 
不存在 /ns 4	 n, 也/d, 不存在/ns, 。/w], 
广岛县 /ns 3	 , 住在/v, 广岛县/ns, 名叫/v, 
札幌 /ns 3	 的/ude1, 札幌/ns, 。/w], 
将门 /ns 3	 , 我/rr, 将门/ns, 再/d, 开
法国 /ns 3	 v, 吃/v, 法国/nsf, 料理/v,
蒙上 /ns 3	 v, 会/v, 蒙上/ns, 多么/d, 
意大利 /ns 3	 r, 到/v, 意大利/nsf, 家具/n,
上香 /ns 2	  进来/vf, 上香/ns, 了/ule,
大阪市 /ns 2	  。/w], [大阪市/nsf, 生/v, 
德国 /ns 2	 r, 到/v, 德国/nsf, 制/v, 
上都 /ns 2	 c, 信/n, 上都/ns, 写/v, 得
西班牙 /ns 2	 , 中意/a, 西班牙/nsf, 制/v, 
北海 /ns 2	 是/vshi, 北海/ns, 道/qv, 
上完 /ns 2	 i, 刚/d, 上完/ns, 晚班/n, 
上站 /ns 2	 , 椅子/n, 上站/ns, 起来/vf,
古田 /ns 2	 p, 江/n, 古田/ns, 。/w], 
新桥 /ns 2	 q, 在/p, 新桥/ns, 工作/vn,
大石 /ns 2	 , 一块/s, 大石/ns, 。/w], 
京都 /ns 2	 , 在/p, 东京都/nsf, 内/f, 
太高兴 /ns 2	 r, 不/d, 太高兴/ns, 。/w], 
滑稽地 /ns 2	  [他/rr, 滑稽地/ns, 张/q, 大
茶都 /ns 1	 , 喝杯/v, 茶都/ns, 得/ude3
害怕会 /ns 1	 是/vshi, 害怕会/ns, 被/pbei
荣华富贵 /ns 1	  享尽/nz, 荣华富贵/ns, ，/w], 
天黑 /ns 1	 , 因为/c, 天黑/ns, ，/w], 
上地 /ns 1	 , 形式/n, 上地/ns, 写/v, 在
开关门 /ns 1	 , 厕所/n, 开关门/ns, 的/ude1
土城 /ns 1	 , 安/ag, 土城/ns, ，/w], 
新乐 /ns 1	 , 发现/v, 新乐/ns, 子/ng, 
内藏 /ns 1	  [取出/v, 内藏/ns, 不好/a, 
新泻 /ns 1	 , 去/vf, 新泻/ns, 了/ule,
上涂 /ns 1	  [嘴唇/n, 上涂/ns, 了/ule,
近江 /ns 1	  [担任/v, 近江/ns, 坂/n, 本
天都 /ns 1	 w, 三/m, 天都/ns, 没/d, 回
连山 /ns 1	 , 不要/d, 连山/ns, 姆/x, 都
西葛 /ns 1	  搬到/vf, 西葛/ns, 西/f, ，
到流 /ns 1	  [接着/c, 到流/ns, 理/n, 台
板桥 /ns 1	 q, 在/p, 板桥/ns, 的/ude1
十坪 /ns 1	 , [近/a, 十坪/ns, 的/ude1
夏威夷 /ns 1	 , 去/vf, 夏威夷/nsf, 打/v, 
三鹰 /ns 1	  [住在/v, 三鹰/ns, 的/ude1
印上 /ns 1	 , 其/rz, 印上/ns, 店名/n, 
后很 /ns 1	 , 收下/v, 后很/ns, 感动/v, 
那大 /ns 1	  [她/rr, 那大/ns, 方/q, 爽
平顺 /ns 1	 , 可谓/v, 平顺/ns, 。/w], 
江东区 /ns 1	 v, 在/p, 江东区/ns, 南/b, 砂
里约 /ns 1	 , 商事/n, 里约/ns, 有/vyou
商业大楼 /ns 1	 的/ude1, 商业大楼/ns, 唷/x, ！
江一 /ns 1	 z, 房/n, 江一/ns, 脸/n, 摸
春一 /ns 1	 , [阿/b, 春一/ns, 走进/v, 
英国 /ns 1	 m, 名/q, 英国/ns, 绅士/n, 
福冈 /ns 1	  日本/ns, 福冈/nsf, 、/w, 
大理 /ns 1	 m, 张/q, 大理/ns, 石/ng, 
挪威 /ns 1	 n, 焗/n, 挪威/nsf, 小龙/n,
马尾 /ns 1	  束成/nz, 马尾/ns, 。/w], 
千叶 /ns 1	 n, 到/v, 千叶/ns, 之后/f, 
大破 /ns 1	  。/w], [大破/ns, 今/tg, 
弹子台 /ns 1	 , 就是/v, 弹子台/ns, 和/cc, 
上门来 /ns 1	 , 每天/r, 上门来/ns, ，/w], 
于小 /ns 1	  ，/w], [于小/ns, 粟栖/nr,
二七 /ns 1	 , 一九/m, 二七/ns, 年/qt, 
太旧 /ns 1	 d, 、/w, 太旧/ns, ，/w], 
