东京 /ns 18	 w, 从/p, 东京/nsf, 都/d, 
日本 /ns 11	 , 有着/v, 日本/ns, 娃娃/n, 
三明 /ns 3	 是/vshi, 三明/ns, 治/v, 。
四坪 /ns 2	 n, 约/d, 四坪/ns, 大/a, ，
搞了 /ns 2	 n, 们/k, 搞了/ns, 一个/mq,
将门 /ns 2	  ，/w], [将门/ns, 锁上/nz,
之列 /ns 2	 , 考虑/v, 之列/ns, 。/w], 
图拉 /ns 1	 g, 试/v, 图拉/ns, 开/v, 大
张得 /ns 1	 , [嘴/n, 张得/ns, 很大/d, 
王子 /ns 1	 p, 八/m, 王子/ns, 、/w, 大
甲府 /ns 1	 r, 、/w, 甲府/ns, 、/w, 同
不晓得 /ns 1	 , [“/w, 不晓得/ns, 那份/r, 
大石 /ns 1	 d, 颗/q, 大石/ns, 头/n, 随
东京都 /ns 1	 , 介在/v, 东京都/nsf, 里/f, 
陈国 /ns 1	 艺术/n], [陈国/ns, 伟/ag, 
上站 /ns 1	 , 椅子/n, 上站/ns, 起来/vf,
太高兴 /ns 1	 d, 不/d, 太高兴/ns, 的/ude1
孔里 /ns 1	 , 挂锁/n, 孔里/ns, ，/w], 
俄罗斯 /ns 1	 , 像是/v, 俄罗斯/nsf, 轮盘/nz
五坪 /ns 1	 是/vshi, 五坪/ns, 大/a, 的
兵库县 /ns 1	 , 抵达/v, 兵库县/ns, 西宫市/nz
意大利 /ns 1	 是/vshi, 意大利/nsf, 面/nf,
台湾 /ns 1	 , 出/vf, 台湾/ns, 也/d, 播
不存在 /ns 1	 , 大概/d, 不存在/ns, 吧/y, 。
