大阪 /ns 93	 , 调到/v, 大阪/nsf, 警察/nn
东京 /ns 46	 的/ude1, 东京/nsf, 口音/n,
成田 /ns 30	 q, 姓/v, 成田/ns, 的/ude1
金城 /ns 28	 q, 姓/v, 金城/ns, 。/w], 
美浓 /ns 27	 究生/nnt, 美浓/ns, 部/q, 叫
西本 /ns 21	 e, “/w, 西本/ns, ”/w, 。
马尾 /ns 18	 , 扎成/v, 马尾/ns, ，/w], 
关西 /ns 14	 没什么/vl, 关西/ns, 口音/n, 
日本 /ns 13	  [这下/r, 日本/ns, 的/ude1
园村 /ns 11	  [只有/c, 园村/ns, 一个/mq,
藤村 /ns 10	 , [“/w, 藤村/ns, ？/w], 
名古屋 /ns 9	 r, 在/p, 名古屋/nsf, 的/ude
夏天 /ns 8	  [不到/v, 夏天/ns, ，/w], 
大阪府 /ns 8	 , 担任/v, 大阪府/ns, 法医/nnt
和村 /ns 8	  友彦/nr, 和村/ns, 下/f, 。
意大利 /ns 7	 n, 、/w, 意大利/nsf, 菜/n, 
东京都 /ns 6	 i, 、/w, 东京都/nsf, 江东/ns
长岛 /ns 6	  ，/w], [长岛/ns, 又/d, 失
银座 /ns 6	 r, 在/p, 银座/ns, 购物/vn,
上站 /ns 6	 , 长凳/n, 上站/ns, 起/vf, 
阪神 /ns 6	 v, 在/p, 阪神/ns, 高速公路/n
成城 /ns 6	 , 家住/v, 成城/ns, ，/w], 
美国 /ns 5	  [年/qt, 美国/nsf, 修正/v,
马里 /ns 5	 , 超级/b, 马里/ns, 奥/b, 兄
宫崎 /ns 4	 , [“/w, 宫崎/ns, 不/d, 知
江桥 /ns 4	 p, 深/a, 江桥/ns, 经营/vn,
街道 /ns 4	 v, 条/q, 街道/ns, 。/w], 
札幌 /ns 4	 n, 在/p, 札幌/ns, 。/w], 
大名 /ns 4	 的/ude1, 大名/ns, 转告/v, 
金村 /ns 4	 刑警/nnt, 金村/ns, 。/w], 
江西 /ns 3	 v, 大/a, 江西/ns, 六/m, 丁
中央大道 /ns 3	 , 道/qv, 中央大道/ns, 转弯/vi,
大道 /ns 3	  ，/w], [大道/ns, 上/f, 也
名门 /ns 3	 的/ude1, 名门/ns, 闺秀/n, 
大阪市 /ns 3	 i, “/w, 大阪市/nsf, 生/v, 
蒙上 /ns 3	 , 心里/s, 蒙上/ns, 一/m, 层
尼斯 /ns 3	 道优/nrj, 尼斯/ns, 制药/vn,
上完 /ns 3	 一样/uyy, 上完/ns, 两/m, 个
法国 /ns 3	 r, 像/v, 法国/nsf, 洋娃娃/n
从医院 /ns 2	 [典子/nz, 从医院/ns, 回到/v, 
三明 /ns 2	 , 点/qt, 三明/ns, 治/v, 了
原平 /ns 2	 , 桐/ng, 原平/ns, 常/d, 的
张得 /ns 2	 a, 腿/n, 张得/ns, 更/d, 开
等上 /ns 2	 得/ude3, 等上/ns, 好/a, 一
王寺 /ns 2	 , 天/qt, 王寺/ns, 前站/n, 
中国 /ns 2	  发生于/v, 中国/ns, 上海/ns,
日龙 /ns 2	 o, 中/f, 日龙/ns, 队/n, 赢
田村 /ns 2	 是/vshi, 田村/ns, 纪子/n, 
苏格兰 /ns 2	 , 和/cc, 苏格兰/nsf, 威士忌/n
比萨 /ns 2	 q, 大/a, 比萨/ns, 。/w], 
关东 /ns 2	 , 住在/v, 关东/ns, ，/w], 
长山 /ns 2	 , 人家/n, 长山/ns, 还/d, 说
不存在 /ns 2	 , 几乎/d, 不存在/ns, ，/w], 
新加坡 /ns 1	 n, “/w, 新加坡/nsf, 司令/nn
江东 /ns 1	 京都/nsf, 江东/ns, 区/n, 7
哥伦比亚 /ns 1	 , 会点/n, 哥伦比亚/nsf, 或/c, 
面旗子 /ns 1	  那/rzv, 面旗子/ns, 。/w], 
以桐 /ns 1	  ，/w], [以桐/ns, 原/b, 当
休斯敦 /ns 1	  。/w], [休斯敦/nsf, 的/ude
色丹 /ns 1	 n, 黑/a, 色丹/ns, 宁布/nz,
高度机密 /ns 1	 公司/nis, 高度机密/ns, 地/ude2
日照 /ns 1	  三十一/m, 日照/ns, 常/d, 营
东南亚 /ns 1	 [一个/mq, 东南亚/nsf, 裔/nz,
西南 /ns 1	 , 面向/v, 西南/ns, ，/w], 
双峰 /ns 1	 n, 《/w, 双峰/ns, 》/w, 。
德国 /ns 1	 是/vshi, 德国/nsf, 造/v, 
之乐 /ns 1	  改造/vn, 之乐/ns, 。/w], 
公园前 /ns 1	 c, 在/p, 公园前/ns, 右转/nz,
之岛 /ns 1	 v, 中/f, 之岛/ns, 的/ude1
天都 /ns 1	 e, 几/d, 天都/ns, 没有/v, 
欧洲 /ns 1	 n, 到/v, 欧洲/ns, 一样/uyy
中央区 /ns 1	 f, 市/n, 中央区/ns, 日本/ns,
美得 /ns 1	 m, 幅/q, 美得/ns, 令人/v, 
上海 /ns 1	  中国/ns, 上海/ns, 近郊/s, 
新进 /ns 1	 , [”/w, 新进/ns, 职员/nnt
里加 /ns 1	  红茶/nf, 里加/ns, 了/ule,
太高兴 /ns 1	 r, 不/d, 太高兴/ns, 。/w], 
商业大楼 /ns 1	  ，/w], [商业大楼/ns, 林立/vi,
怀柔 /ns 1	 地/ude2, 怀柔/ns, 了/ule,
涩谷 /ns 1	 , [在/p, 涩谷/ns, 监视/v, 
新市镇 /ns 1	 m, 里/f, 新市镇/ns, 的/ude1
巴西 /ns 1	 r, 要/v, 巴西/nsf, 。/w],
大吉岭 /ns 1	 是/vshi, 大吉岭/nsf, 哦/e, 
赫尔辛基 /ns 1	 , [“/w, 赫尔辛基/nsf, 宣言/n,
神户 /ns 1	 n, 在/p, 神户/ns, 。/w], 
上门来 /ns 1	 , [再/d, 上门来/ns, 光顾/v, 
米苏 /ns 1	 提拉/nrf, 米苏/ns, ，/w], 
高知 /ns 1	  [私立/b, 高知/ns, 学艺/vi,
茶都 /ns 1	 /ulian, 茶都/ns, 没有/v, 
熊本 /ns 1	 s, 对/p, 熊本/ns, 水俣病/n,
天黑 /ns 1	  。/w], [天黑/ns, 后/f, 客
不晓得 /ns 1	 , [也/d, 不晓得/ns, 他/rr, 
银河 /ns 1	 1, 《/w, 银河/ns, 铁道/n, 
金边 /ns 1	 m, 副/b, 金边/nsf, 绿色/n,
铺前 /ns 1	 , 家当/n, 铺前/ns, ，/w], 
吐舌头 /ns 1	  了/ule, 吐舌头/ns, 。/w], 
南口 /ns 1	 , 站/vi, 南口/ns, 对面/f, 
新泻 /ns 1	  [与/cc, 新泻/ns, 水/n, 俣
佛脚 /ns 1	 , 抱抱/v, 佛脚/ns, 的/ude1
成都 /ns 1	 c, 一/m, 成都/ns, 以/p, 电
