加贺 /ns 307	  。/w], [加贺/ns, 隆/ag, 
春美 /ns 78	 v, 让/v, 春美/ns, 来/vf, 
坂上 /ns 11	 的/ude1, 坂上/ns, 以/p, 一
三明 /ns 8	 是/vshi, 三明/ns, 治/v, 和
东京 /ns 4	 , 搬来/v, 东京/nsf, ，/w],
汉堡 /ns 4	 v, 做/v, 汉堡/nsf, 肉/n, 
日本 /ns 3	  [发现/v, 日本/ns, 酒/nf, 
和政 /ns 3	 , 此事/r, 和政/ns, 惠/vg, 
街道 /ns 3	  了/ule, 街道/ns, 内/f, 的
夏天 /ns 2	 是/vshi, 夏天/ns, ，/w], 
上野 /ns 2	 , 去/vf, 上野/ns, 。/w], 
上站 /ns 2	 , 椅子/n, 上站/ns, 起/vf, 
那能 /ns 2	 , [“/w, 那能/ns, 不能/v, 
天都 /ns 2	 a, 三/m, 天都/ns, 说/v, 不
仙台 /ns 2	 i, 在/p, 仙台/ns, 独居/v, 
后坂 /ns 1	  [听完/v, 后坂/ns, 上/f, 在
名护 /ns 1	 r, 一/m, 名护/ns, 士/ng, 
白跑 /ns 1	  ，/w], [白跑/ns, 得/ude3
太黑 /ns 1	  [因为/c, 太黑/ns, ，/w], 
天黑 /ns 1	  ，/w], [天黑/ns, 自然/n, 
从医院 /ns 1	  。/w], [从医院/ns, 回来/v, 
开关门 /ns 1	 , 和/cc, 开关门/ns, 声/qv, 
大山 /ns 1	 , [“/w, 大山/ns, ，/w], 
朝外 /ns 1	 [松宫/nr, 朝外/ns, 张/q, 望
中都 /ns 1	 , 印象/n, 中都/ns, 没/d, 见
十三户 /ns 1	 1, 为/p, 十三户/ns, 。/w], 
于都 /ns 1	 n, 终/d, 于都/ns, 得到/v, 
中央区 /ns 1	 , 位于/v, 中央区/ns, 的/ude1
不存在 /ns 1	 这里/rzs, 不存在/ns, 家人/n, 
三鹰 /ns 1	 z, 在/p, 三鹰/ns, 的/ude1
中上 /ns 1	 z, 为/p, 中上/ns, 。/w], 
