热海 /ns 130	 , [”/w, 热海/ns, 禁不住/v,
中尾 /ns 54	 , [”/w, 中尾/ns, 章/q, 代
春美 /ns 53	 的/ude1, 春美/ns, 将/d, 罐
神田 /ns 52	  [名叫/v, 神田/ns, 。/w], 
王子 /ns 31	 是/vshi, 王子/ns, 要/v, 选
青田 /ns 27	 总编/nnt, 青田/ns, 领/v, 着
日本 /ns 13	 m, 瓶/n, 日本/ns, 酒/nf, 
山中湖 /ns 12	 n, 、/w, 山中湖/ns, 、/w, 西
金田 /ns 8	  。/w], [金田/ns, 、/w, 田
银座 /ns 6	 z, 或/c, 银座/ns, 玩/v, 乐
伊势 /ns 5	 , 名叫/v, 伊势/ns, 的/ude1
东京 /ns 5	 , 离开/v, 东京/nsf, 。/w],
德黑兰 /ns 4	 , 来自/v, 德黑兰/nsf, 。/w],
富士山 /ns 4	 v, 】/w, 富士山/ns, 周边/n, 
花本 /ns 4	 , 拜访/v, 花本/ns, 老师/nnt
河口 /ns 4	 , 开到/v, 河口/ns, 湖/n, ，
新鸿 /ns 4	 , 前往/v, 新鸿/ns, 祭/v, 坟
上都 /ns 3	 , 长椅/n, 上都/ns, 不敢/d, 
平泉 /ns 3	 是/vshi, 平泉/ns, 老师/nnt
火村 /ns 3	 q, 姓/v, 火村/ns, 的/ude1
月山 /ns 3	 q, 姓/v, 月山/ns, 的/ude1
五湖 /ns 3	 富士/ntc, 五湖/ns, 【/w, 注
田村 /ns 3	  ，/w], [田村/ns, 真/a, 智
长野 /ns 2	 , 本部/n, 长野/ns, 田/n, 紧
山梨 /ns 2	 , 位于/v, 山梨/ns, 县境/n, 
火奴鲁鲁 /ns 2	 , 朝/tg, 火奴鲁鲁/ns, 飞去/v, 
美国 /ns 2	 , 落到/v, 美国/nsf, 领土/n,
三明 /ns 2	 , 火鸡/n, 三明/ns, 治/v, ’
静冈 /ns 2	 , 位于/v, 静冈/ns, 的/ude1
西湖 /ns 2	 s, 、/w, 西湖/ns, 、/w, 本
喀麦隆 /ns 2	 是/vshi, 喀麦隆/nsf, 共和国/n
雅温得 /ns 2	 , 是从/v, 雅温得/ns, 。/w], 
布拉柴维尔 /ns 2	 的/ude1, 布拉柴维尔/nsf, ，/w],
苏里南 /ns 1	 是/vshi, 苏里南/nsf, 共和国/n
上望 /ns 1	 l, 往/p, 上望/ns, ，/w], 
泰山 /ns 1	 的/ude1, 泰山/ns, 北斗/n, 
冈山 /ns 1	  了/ule, 冈山/nsf, 县/n, 
井户川 /ns 1	 的/ude1, 井户川/ns, 团/n, 步
爱琴海 /ns 1	 , 正在/d, 爱琴海/nsf, 上/f, 
挪作 /ns 1	 , 大厅/n, 挪作/ns, 待客/vi,
那能 /ns 1	 , [“/w, 那能/ns, 麻烦/an,
吐舌头 /ns 1	  了/ule, 吐舌头/ns, 。/w], 
上店 /ns 1	  [表面/n, 上店/ns, 里/f, 雇
荷兰 /ns 1	 v, ：/w, 荷兰/nsf, 货币/n,
石川县 /ns 1	 i, 在/p, 石川县/ns, 和/cc, 
天都 /ns 1	 t, 一/m, 天都/ns, 干嘛/nz,
上东 /ns 1	  [然后/c, 上东/ns, 名/q, 高
平地上 /ns 1	 的/ude1, 平地上/ns, ，/w], 
五台 /ns 1	 /udeng, 五台/ns, 巡逻车/n,
向家 /ns 1	  掉头/vi, 向家/ns, 开去/v, 
多米尼加共和国 /ns 1	 , 就是/v, 多米尼加共和国/nsf, 的/ude
巴拿马 /ns 1	 v, ：/w, 巴拿马/nsf, 货币/n,
东北 /ns 1	 车则上/nr, 东北/ns, 道/qv, 
于家 /ns 1	  往返/vi, 于家/ns, 和/cc, 
印上 /ns 1	 n, 上/f, 印上/ns, 作家/nnt
庙里 /ns 1	  ，/w], [庙里/ns, 放/v, 着
香港 /ns 1	 d, 以/p, 香港/ns, 为/p, 舞
汉堡 /ns 1	 d, 在/p, 汉堡/nsf, 店/n, 
关西 /ns 1	 v, 在/p, 关西/ns, ，/w], 
加拿大 /ns 1	 是/vshi, 加拿大/nsf, 风格/n,
之列 /ns 1	  经营/vn, 之列/ns, ，/w], 
刚果 /ns 1	 是/vshi, 刚果/nsf, 的/ude
大名 /ns 1	  了/ule, 大名/ns, ，/w], 
下隆 /ns 1	  了/ule, 下隆/ns, 司/ng, 
名古屋 /ns 1	 , 一过/c, 名古屋/nsf, ，/w],
大理 /ns 1	 , 放在/v, 大理/ns, 石/ng, 
海口 /ns 1	 w, 热/a, 海口/ns, 气/n, 坚
绷起 /ns 1	 德拉/nrf, 绷起/ns, 了/ule,
远超过 /ns 1	 , 容貌/n, 远超过/ns, 她/rr, 
上冲 /ns 1	 , 直往/v, 上冲/ns, ，/w], 
岩手县 /ns 1	  了/ule, 岩手县/ns, ，/w], 
帕拉马里博 /ns 1	 1, 都/d, 帕拉马里博/nsf, 。/w],
意大利 /ns 1	 着/uzhe, 意大利/nsf, 料理/v,
法国 /ns 1	  了/ule, 法国/nsf, 的/ude
太平洋 /ns 1	  了/ule, 太平洋/ns, 方向/n, 
香花 /ns 1	 , [线/n, 香花/ns, 火/n], 
