当时 /t 25	  。/w], [当时/t, 我/rr, 
今天 /t 16	 , 她/rr, 今天/t, 上班/vi,
刚才 /t 11	  。/w], [刚才/t, 香/a, 子
昨天 /t 10	 , 不是/c, 昨天/t, 那个/rz,
现在 /t 10	 , ["/w, 现在/t, 离开/v, 
明天 /t 8	  ，/w], [明天/t, 还/d, 上
目前 /t 7	  把/pba, 目前/t, 的/ude1
最近 /t 7	  。/w], [最近/t, 用/p, 这
上次 /t 5	  [而/cc, 上次/t, 参加/v, 
平日 /t 5	 [一个/mq, 平日/t, 常常/d, 
今后 /t 4	  [听说/v, 今后/t, '/nx, 
夜里 /t 3	  [昨天/t, 夜里/t, ，/w], 
下次 /t 3	 , 我/rr, 下次/t, 再/d, 戴
后来 /t 3	  。/w], [后来/t, ，/w], 
今晚 /t 3	  ，/w], [今晚/t, 我/rr, 
年前 /t 2	 p, 几/d, 年前/t, 病故/vi,
如今 /t 2	 , 子/ng, 如今/t, 就/d, 连
晚 /t 2	 , 他/rr, 晚/tg, 点儿/q,
昨晚 /t 2	  。/w], [昨晚/t, 回家/vi,
白天 /t 2	 , 想起/v, 白天/t, 与/cc, 
晚上 /t 2	 , [大/a, 晚上/t, 地/ude2
朝 /t 2	 n, 偏/d, 朝/tg, 一边/d,
饭后 /t 1	 , 杯/ng, 饭后/t, 咖啡/nf,
清 /t 1	 , 解释/v, 清/tg, 的/ude
会后 /t 1	 , 研修/v, 会后/t, 社长/nnt
往常 /t 1	 , 与/cc, 往常/t, 大不相同/i
早上 /t 1	  。/w], [早上/t, 起来/vf,
眼下 /t 1	 , [但/c, 眼下/t, 也/d, 只
前不久 /t 1	  。/w], [前不久/t, 我/rr, 
