现在 /t 18	  了/ule, 现在/t, 的/ude1
当时 /t 16	 , 说说/v, 当时/t, 的/ude1
星期三 /t 6	 m, 到/v, 星期三/t, 回来/v, 
昨天 /t 5	 , [“/w, 昨天/t, 您/rr, 
刚才 /t 5	 i, 刚/d, 刚才/t, 进屋/vi,
最近 /t 5	  。/w], [最近/t, 休息/v, 
早晨 /t 5	 的/ude1, 早晨/t, ，/w], 
晚上 /t 5	 , 明天/t, 晚上/t, 才/d, 回
当天 /t 4	 是/vshi, 当天/t, 夜里/t, 
今天 /t 4	 是/vshi, 今天/t, 早晨/t, 
后来 /t 4	 ……/w], [后来/t, 呢/y, ?
朝 /t 4	  出租车/n, 朝/tg, 新宿/nz
星期五 /t 3	 是/vshi, 星期五/t, 。/w], 
晚 /t 3	 , 来/vf, 晚/tg, 了/ule
夜里 /t 2	 , 当天/t, 夜里/t, 了/ule,
当初 /t 2	 , 按照/p, 当初/t, 我们/rr,
来时 /t 2	 , 进/vf, 来时/t, 可能会/nz
上周 /t 2	 是/vshi, 上周/t, 三/m, 。
星期四 /t 2	  ，/w], [星期四/t, 的/ude1
星期一 /t 2	 是/vshi, 星期一/t, 。/w], 
中午 /t 2	  ，/w], [中午/t, 时分/n, 
傍晚 /t 1	 , [从/p, 傍晚/t, 开始/v, 
白天 /t 1	 , [跟/p, 白天/t, 的/ude1
年前 /t 1	  [十二/m, 年前/t, 她/rr, 
明天 /t 1	 , [要/v, 明天/t, 晚上/t, 
平时 /t 1	 c, 跟/p, 平时/t, 没有/v, 
早上 /t 1	  [今天/t, 早上/t, 我们/rr,
秋 /t 1	  了/ule, 秋/tg, 子真/nz
刹那间 /t 1	 n, 在/p, 刹那间/t, 屏住/v, 
星期六 /t 1	 的/ude1, 星期六/t, 。/w], 
