当时 /t 156	  [或许/d, 当时/t, 正/d, 准
现在 /t 37	 , 我/rr, 现在/t, 就/d, 想
刚才 /t 37	  [直到/v, 刚才/t, 还/d, 在
今天 /t 27	  。/w], [今天/t, 运气/n, 
今晚 /t 21	 , 听说/v, 今晚/t, 你/rr, 
后来 /t 21	  ，/w], [后来/t, 就/d, 开
朝 /t 16	 , 迎面/d, 朝/tg, 他/rr,
目前 /t 15	 , [“/w, 目前/t, 就/d, 只
年前 /t 12	 , 半/mq, 年前/t, 偶然/a, 
生前 /t 11	 千夏/nrj, 生前/t, 最为/d, 
最近 /t 11	  。/w], [最近/t, ，/w], 
昨晚 /t 8	  。/w], [昨晚/t, 去/vf, 
晚上 /t 8	 r, 说/v, 晚上/t, 八/m, 点
明天 /t 7	 , 听说/v, 明天/t, 一早/t, 
夜里 /t 6	 这天/rzt, 夜里/t, ，/w], 
如今 /t 6	 , [但/c, 如今/t, 既然/c, 
平日 /t 6	 , 宏/nz, 平日/t, 把/pba,
当天 /t 5	  [案发/v, 当天/t, ，/w], 
当晚 /t 4	 , 她/rr, 当晚/t, 还/d, 准
早上 /t 4	 , 天/qt, 早上/t, ，/w], 
上次 /t 4	 , 带走/v, 上次/t, 那些/rz,
清 /t 4	 d, 太/d, 清/tg, 了/ule
夏 /t 4	 z, 千/m, 夏/tg, 住/vi,
白天 /t 3	 , 前天/n, 白天/t, 我/rr, 
往常 /t 3	 , 与/cc, 往常/t, 不同/a, 
此前 /t 3	 千夏/nrj, 此前/t, 是/vshi
下次 /t 3	  ，/w], [下次/t, 再/d, 去
一早 /t 3	 , 明天/t, 一早/t, 就/d, 要
十一月 /t 3	 m, 到/v, 十一月/t, ，/w], 
昨天 /t 3	  ，/w], [昨天/t, 夜里/t, 
夜 /t 3	  是因为/c, 夜/tg, 太深/nz
傍晚 /t 2	 , 昨天/t, 傍晚/t, 。/w], 
当夜 /t 2	 , 案发/v, 当夜/t, 的/ude1
事前 /t 2	 1, 同/p, 事前/t, 田/n, 典
今后 /t 2	 讨论一下/l, 今后/t, 该/rz, 
当年 /t 2	  幸正/nr, 当年/t, 是/vshi
深夜 /t 2	 , [“/w, 深夜/t, 打搅/v, 
先前 /t 2	 n, 像/v, 先前/t, 一样/uyy
近期 /t 2	  [我/rr, 近期/t, 还/d, 会
眼下 /t 2	  [薰/nz, 眼下/t, 正在/d, 
当初 /t 2	  。/w], [当初/t, 就是/v, 
同一天 /t 1	 n, 在/p, 同一天/t, 给/p, 你
上个月 /t 1	 , 还是/c, 上个月/t, 才/d, 发
上午 /t 1	  ，/w], [上午/t, 九/m, 点
清晨 /t 1	  [翌日/t, 清晨/t, ，/w], 
以往 /t 1	 , 和/cc, 以往/t, 不/d, 太
正午 /t 1	 [”/w], [正午/t, 过后/v, 
往日 /t 1	 , 他/rr, 往日/t, 的/ude1
翌日 /t 1	  ．/w], [翌日/t, 清晨/t, 
往年 /t 1	 v, 比/p, 往年/t, 都要冷/nr
当日 /t 1	 , 案发/v, 当日/t, 的/ude1
来时 /t 1	 这里/rzs, 来时/t, 为了/p, 
而今 /t 1	  ，/w], [而今/t, 年/qt, 
现今 /t 1	  。/w], [现今/t, 这/rzv,
下午 /t 1	 是/vshi, 下午/t, 五/m, 点
今儿 /t 1	  ？/w], [今儿/t, 可/v, 算
平时 /t 1	 , 您/rr, 平时/t, 会/v, 外
当今 /t 1	 , 像是/v, 当今/t, 的/ude1
今年 /t 1	  ，/w], [今年/t, 好像/v, 
早先 /t 1	 , 明/ag, 早先/t, 去/vf, 
冬天 /t 1	  。/w], [冬天/t, 呢/y, ，
冬 /t 1	  [虽然/c, 冬/tg, 夏/tg,
晚 /t 1	  她/rr, 当晚/t, 还/d, 准
半夜 /t 1	 人大/nis, 半夜/t, 都/d, 不
往昔 /t 1	 着/uzhe, 往昔/t, 的/ude1
八月 /t 1	 , 就是/v, 八月/t, 二十九/m,
周末 /t 1	 , 就是/v, 周末/t, 的/ude1
去年 /t 1	 r, 从/p, 去年/t, 起/vf, 
